종류,지역명,개수
LSD,서울,25
LSD,부산,8
LSD,대구,10
LSD,인천,9
LSD,광주,13
LSD,대전,4
LSD,울산,11
LSD,세종,5
LSD,경기,13
LSD,강원,9
LSD,충청,11
LSD,전라,11
LSD,경상,12
LSD,수원,15
LSD,성남,11
LSD,용인,11
LSD,창원,14
LSD,강북,3
LSD,강남,14
LSD,강동,4
LSD,전북,20
LSD,충남,10
LSD,충북,14
LSD,전남,13
LSD,경북,8
LSD,경남,13
GHB,서울,95
GHB,부산,60
GHB,대구,51
GHB,인천,73
GHB,광주,62
GHB,대전,19
GHB,울산,65
GHB,세종,10
GHB,경기,34
GHB,강원,27
GHB,충청,26
GHB,전라,31
GHB,경상,30
GHB,제주,35
GHB,강화,1
GHB,옹진,1
GHB,울주,1
GHB,수원,36
GHB,성남,40
GHB,의정,2
GHB,부천,1
GHB,평택,2
GHB,용인,28
GHB,춘천,1
GHB,원주,1
GHB,강릉,2
GHB,청주,3
GHB,천안,36
GHB,서천,1
GHB,전주,2
GHB,남원,1
GHB,임실,1
GHB,목포,6
GHB,김천,2
GHB,울릉,1
GHB,창원,50
GHB,진주,1
GHB,함안,1
GHB,합천,1
GHB,중구,1
GHB,동대,1
GHB,중랑,1
GHB,강북,12
GHB,영등,2
GHB,강남,121
GHB,강동,11
GHB,동구,4
GHB,금정,1
GHB,일산,10
GHB,이태,4
GHB,망원,1
GHB,전북,40
GHB,충남,33
GHB,충북,36
GHB,전남,23
GHB,경북,44
GHB,경남,40
MDMA,서울,289
MDMA,부산,262
MDMA,대구,94
MDMA,인천,225
MDMA,광주,84
MDMA,대전,29
MDMA,울산,87
MDMA,세종,10
MDMA,경기,172
MDMA,강원,25
MDMA,충청,50
MDMA,전라,31
MDMA,경상,28
MDMA,제주,42
MDMA,울주,1
MDMA,수원,182
MDMA,성남,42
MDMA,의정,2
MDMA,안양,2
MDMA,부천,1
MDMA,평택,2
MDMA,과천,1
MDMA,용인,32
MDMA,춘천,1
MDMA,천안,78
MDMA,서천,1
MDMA,장수,1
MDMA,창원,74
