지역명,법정동코드,경도,위도,빈도,마약류
서울특별시,11.0,126.991805,37.551903,2275,"['LSD', 'GHB', 'MDMA', '코카인', '대마', '알킬니트라이트', '케타민', '사일로시빈', '기타', '아편', '메스암페타민']"
부산광역시,26.0,129.060392,35.201633,1956,"['LSD', 'GHB', 'MDMA', '코카인', '대마', '알킬니트라이트', '케타민', '사일로시빈', '기타', '아편', '메스암페타민']"
대구광역시,27.0,128.565149,35.82976,1472,"['LSD', 'GHB', 'MDMA', '코카인', '대마', '알킬니트라이트', '케타민', '사일로시빈', '기타', '아편', '메스암페타민']"
인천광역시,28.0,126.379176,37.58369,1747,"['LSD', 'GHB', 'MDMA', '코카인', '대마', '알킬니트라이트', '케타민', '사일로시빈', '기타', '아편', '메스암페타민']"
광주광역시,29.0,126.835435,35.155737,1457,"['LSD', 'GHB', 'MDMA', '코카인', '대마', '알킬니트라이트', '케타민', '사일로시빈', '기타', '아편', '메스암페타민']"
대전광역시,30.0,127.39402,36.339722,496,"['LSD', 'GHB', 'MDMA', '코카인', '대마', '알킬니트라이트', '케타민', '사일로시빈', '기타', '아편', '메스암페타민']"
울산광역시,31.0,129.238019,35.553776,1340,"['LSD', 'GHB', 'MDMA', '코카인', '대마', '알킬니트라이트', '케타민', '사일로시빈', '기타', '아편', '메스암페타민']"
세종특별자치시,36.0,127.25878,36.560658,179,"['LSD', 'GHB', 'MDMA', '코카인', '대마', '알킬니트라이트', '케타민', '사일로시빈', '기타', '아편', '메스암페타민']"
경기도,41.0,127.180887,37.533053,872,"['LSD', 'GHB', 'MDMA', '코카인', '대마', '알킬니트라이트', '케타민', '사일로시빈', '기타', '아편', '메스암페타민']"
강원도,42.0,128.303442,37.718291,508,"['LSD', 'GHB', 'MDMA', '코카인', '대마', '알킬니트라이트', '케타민', '사일로시빈', '기타', '아편', '메스암페타민']"
수원시,41111.0,127.003452,37.313966,1034,"['LSD', 'GHB', 'MDMA', '코카인', '대마', '알킬니트라이트', '케타민', '사일로시빈', '기타', '아편', '메스암페타민']"
성남시,41131.0,127.10414520762345,37.43516624341919,640,"['LSD', 'GHB', 'MDMA', '코카인', '대마', '알킬니트라이트', '케타민', '사일로시빈', '기타', '아편', '메스암페타민']"
용인시,41461.0,127.25293314987952,37.203331895747375,456,"['LSD', 'GHB', 'MDMA', '코카인', '대마', '알킬니트라이트', '케타민', '사일로시빈', '기타', '아편', '메스암페타민']"
창원시,48121.0,128.6490422099823,35.31161419806925,1176,"['LSD', 'GHB', 'MDMA', '코카인', '대마', '알킬니트라이트', '케타민', '사일로시빈', '기타', '아편', '메스암페타민']"
강북구,11305.0,127.0111889752399,37.64347391355863,165,"['LSD', 'GHB', 'MDMA', '코카인', '대마', '알킬니트라이트', '케타민', '사일로시빈', '기타', '아편', '메스암페타민']"
강남구,11680.0,127.06298520424792,37.49664389428779,3428,"['LSD', 'GHB', 'MDMA', '코카인', '대마', '알킬니트라이트', '케타민', '사일로시빈', '기타', '아편', '메스암페타민']"
강동구,11740.0,127.14701184176552,37.5504502432305,194,"['LSD', 'GHB', 'MDMA', '코카인', '대마', '알킬니트라이트', '케타민', '사일로시빈', '기타', '아편', '메스암페타민']"
전라북도,45.0,127.142445,35.715742,1140,"['LSD', 'GHB', 'MDMA', '코카인', '대마', '알킬니트라이트', '케타민', '사일로시빈', '기타', '아편', '메스암페타민']"
충청남도,44.0,126.84947,36.529043,1232,"['LSD', 'GHB', 'MDMA', '코카인', '대마', '알킬니트라이트', '케타민', '사일로시빈', '기타', '아편', '메스암페타민']"
충청북도,43.0,127.830445,36.737887,1349,"['LSD', 'GHB', 'MDMA', '코카인', '대마', '알킬니트라이트', '케타민', '사일로시빈', '기타', '아편', '메스암페타민']"
전라남도,46.0,126.900501,34.875799,1058,"['LSD', 'GHB', 'MDMA', '코카인', '대마', '알킬니트라이트', '케타민', '사일로시빈', '기타', '아편', '메스암페타민']"
경상북도,47.0,128.748473,36.347563,1124,"['LSD', 'GHB', 'MDMA', '코카인', '대마', '알킬니트라이트', '케타민', '사일로시빈', '기타', '아편', '메스암페타민']"
경상남도,48.0,128.261608,35.324095,1148,"['LSD', 'GHB', 'MDMA', '코카인', '대마', '알킬니트라이트', '케타민', '사일로시빈', '기타', '아편', '메스암페타민']"
제주특별자치도,50.0,126.553657,33.386999,696,"['GHB', 'MDMA', '코카인', '대마', '알킬니트라이트', '케타민', '기타', '아편', '메스암페타민']"
강화군,28710.0,126.40208536016095,37.71244077960499,5,"['GHB', '알킬니트라이트', '사일로시빈', '기타', '아편']"
옹진군,28720.0,125.63606673798132,37.5439918480574,2,"['GHB', '기타']"
울주군,31710.0,129.18769388932955,35.54607928615692,4,"['GHB', 'MDMA', '아편']"
의정부시,41150.0,127.06842308117096,37.73619210869814,8,"['GHB', 'MDMA', '알킬니트라이트', '케타민', '아편']"
부천시,41190.0,126.78871088483268,37.50425833292529,8,"['GHB', 'MDMA', '알킬니트라이트', '아편']"
평택시,41220.0,126.98770073111676,37.01183071199071,16,"['GHB', 'MDMA', '알킬니트라이트', '케타민', '사일로시빈', '기타', '아편', '메스암페타민']"
춘천시,42110.0,127.7398684439042,37.88979678669261,12,"['GHB', 'MDMA', '코카인', '알킬니트라이트', '케타민', '기타', '아편', '메스암페타민']"
원주시,42130.0,127.92952533432695,37.308222877374256,3,"['GHB', '아편']"
강릉시,42150.0,128.83237885990397,37.70910197240715,6,"['GHB', '기타', '메스암페타민']"
청주시,43111.0,127.5848818454829,36.59211257410555,3,['GHB']
천안시,44131.0,127.22089460443163,36.76411722588982,846,"['GHB', 'MDMA', '코카인', '대마', '알킬니트라이트', '케타민', '기타', '아편', '메스암페타민']"
서천군,44770.0,126.70426375356196,36.10678072364823,2,"['GHB', 'MDMA']"
전주시,45111.0,127.12076441825144,35.79124936941967,15,"['GHB', '대마', '알킬니트라이트', '아편']"
