date,id,user.username,user.displayname,place,user.location,content,likeCount,retweetCount,viewCount,hashtags,media,sourceLabel,label
2023-03-30 23:57:48+00:00,1641590581523800064,godanhada,대마초김치,,대한민국 서울,https://t.co/QsytdgbuJQ,0.0,0.0,74.0,,"[Video(thumbnailUrl='https://pbs.twimg.com/ext_tw_video_thumb/1641590403043569664/pu/img/RShnFmVrVQtvp2RO.jpg', variants=[VideoVariant(url='https://video.twimg.com/ext_tw_video/1641590403043569664/pu/vid/320x568/njLujICC1zH0iWaB.mp4?tag=12', contentType='video/mp4', bitrate=632000), VideoVariant(url='https://video.twimg.com/ext_tw_video/1641590403043569664/pu/pl/mlSIqJ6KuVHKV-Mr.m3u8?tag=12&container=fmp4', contentType='application/x-mpegURL', bitrate=None), VideoVariant(url='https://video.twimg.com/ext_tw_video/1641590403043569664/pu/vid/480x852/1O6AKDMECq4EtfyE.mp4?tag=12', contentType='video/mp4', bitrate=950000), VideoVariant(url='https://video.twimg.com/ext_tw_video/1641590403043569664/pu/vid/720x1280/ZI2923avjH5LAuBq.mp4?tag=12', contentType='video/mp4', bitrate=2176000)], duration=43.723, views=19, altText=None)]",Twitter for iPhone,0
2023-03-30 23:49:34+00:00,1641588507398504448,godanhada,대마초김치,,대한민국 서울,땡기네 꿔바로우,0.0,0.0,57.0,,,Twitter for iPhone,0
2023-03-30 23:49:10+00:00,1641588409914490880,wonderfulrush00,대마초🐉💎☪️🤍,,,@Layk_Only 그럼 담주 월욜 갈까? 나 그 집 김치찌개 전부터 계속 떠오름ㅋㅋㅋㅋㅋㅋ,0.0,0.0,14.0,,,Twitter for Android,0
2023-03-30 23:44:43+00:00,1641587289662066688,godanhada,대마초김치,,대한민국 서울,인나쮸 https://t.co/bstMTKQDFu,2.0,1.0,179.0,,"[Photo(previewUrl='https://pbs.twimg.com/media/FsgW7xEaUAAn4ws?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FsgW7xEaUAAn4ws?format=jpg&name=orig', altText=None)]",Twitter for iPhone,0
2023-03-30 23:27:31+00:00,1641582959017996289,sinhaeseon4,오일남,,대한민국 파주시,"1살짜리 친구 딸 입에 대마초 물린 美 10대 베이비시터

https://t.co/dxmGyt1Vcg",1.0,0.0,9.0,,,Twitter for Android,0
2023-03-30 23:25:32+00:00,1641582459153440770,wonderfulrush00,대마초🐉💎☪️🤍,,,"@Layk_Only 휴식이 곧 근성장이긴한데 워낙 우리집이 저녁 늦게 먹어서 그런지 운동 시작도 늦음..😭😭😭

아 글고 너 토요일에 시간어떰? 오랜만에 김치찌개 ㄱ?",0.0,0.0,15.0,,,Twitter for Android,0
2023-03-30 23:20:44+00:00,1641581254809370627,wonderfulrush00,대마초🐉💎☪️🤍,,,"@Layk_Only 난 요즘 운동시간 너무 늦어져서 좀 땅겨야겠드라 
신나게 조지고 씻고 자고 일어나면 평균 수면시간이 3~4시간이여..",0.0,0.0,32.0,,,Twitter for Android,0
2023-03-30 23:16:26+00:00,1641580169197649921,hangyeo74194903,후방주의,,,1살짜리 친구 딸 입에 대마초 물린 美 10대 베이비시터https://t.co/LVwowT9en4 https://t.co/hb2OEO5IKC,3.0,2.0,88.0,,"[Photo(previewUrl='https://pbs.twimg.com/media/FsgQdmHaQAAChSU?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FsgQdmHaQAAChSU?format=jpg&name=orig', altText=None)]",Twitter for Android,0
2023-03-30 23:10:00+00:00,1641578552905834497,wonderfulrush00,대마초🐉💎☪️🤍,,,@judogatame 졸업하면 난 울거같아,0.0,0.0,19.0,,,Twitter for Android,0
2023-03-30 23:02:00+00:00,1641576539409223680,seller_kim,SELLER KIM,,,"https://t.co/aBkE9DjtDr살짜리 친구 딸 입에 대마초 물린 美 10대 베이비시터😄뉴스 전체보기 해주세욤☺️
""이 포스팅은 뉴스픽파트너스 활동으로 수수료를 제공 받을 수 있어요""https://t.co/vR7Hv38Iwj",0.0,0.0,2.0,,,Twitter for Android,0
