date,id,user.username,place,content,likeCount,retweetCount,viewCount,hashtags,media,sourceLabel
2023-03-30 22:31:31+00:00,1641568866781495297,kshin1012,,"달나라 아이스
텔레:MooNice777

아이스샘플:20만
아이스0.5:40만
아이스1.G:70만

아이스작대기 
캔디 케이 브액 떨 액상 대마 떨액 

작대기퀄리티 삥두 아이스작대기

사탕 최음제 클럽약

아이스팝니다 아이스1G 엘에디

#아이스작대기
#떨 https://t.co/TkYZ261H1c",0,0,115.0,"['아이스작대기', '떨']","[Video(thumbnailUrl='https://pbs.twimg.com/ext_tw_video_thumb/1641568847311536128/pu/img/mEKYlCyJ_oTKAr6C.jpg', variants=[VideoVariant(url='https://video.twimg.com/ext_tw_video/1641568847311536128/pu/vid/360x640/eIYJHbCQkA-6Eypc.mp4?tag=12', contentType='video/mp4', bitrate=950000), VideoVariant(url='https://video.twimg.com/ext_tw_video/1641568847311536128/pu/vid/320x568/55Y8bwzUHx1GA4q_.mp4?tag=12', contentType='video/mp4', bitrate=632000), VideoVariant(url='https://video.twimg.com/ext_tw_video/1641568847311536128/pu/pl/RVvcFDyitoJbgCzq.m3u8?tag=12&container=fmp4', contentType='application/x-mpegURL', bitrate=None)], duration=0.878, views=12, altText=None)]",Twitter Web App
2023-03-30 16:54:10+00:00,1641483969383497728,gimjinu12368417,,"텔레:MooNice777

아이스샘플:20만
아이스0.5:40만
아이스1.G:70만
캔디 케이 브액 떨 액상 대마 브액 

캔디 케이 브액 떨 액상 대마 브액 

#떨구매

아이스효능직빵 삥두 아이스작대기

떨구매 최음제 

아이스1G 작대기 아이스뽕

#빙두 https://t.co/jtCTuxNMnI",0,0,55.0,"['떨구매', '빙두']","[Photo(previewUrl='https://pbs.twimg.com/media/Fse49RtacAAf1El?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Fse49RtacAAf1El?format=jpg&name=orig', altText=None)]",Twitter Web App
2023-03-30 16:49:40+00:00,1641482838443798553,photoarg,,"여러분에 안식처 아이스 하이븐 

❣텔 레 문 의 i c e haven ☠

삥두 광주아이스 엑스터시효과

케이 대마 케이
사탕 떨가격

작대기뽕 작대기아이스 작대기팝니다
케타민 작대기

#작대기 https://t.co/8h8e3azjbE",0,0,29.0,['작대기'],"[Photo(previewUrl='https://pbs.twimg.com/media/Fse37UhaMAAF2LN?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Fse37UhaMAAF2LN?format=jpg&name=orig', altText=None)]",Twitter Web App
2023-03-30 10:45:45+00:00,1641391255623180289,rkttb20,,"여러분에 안식처 아이스 하이븐 

♨텔 레 문 의 i c e haven ✉

삥두 작대기주사 클럽캔디
작대기사용법 한작대기

엑스터시 캔디 사탕
엑시 최음제

아이스1G 아이스뽕 샘플20만
아이스드랍 샘플20만

#아이스술
#작기술 https://t.co/GpWKYTWEqx",0,0,22.0,"['아이스술', '작기술']","[Photo(previewUrl='https://pbs.twimg.com/media/FsdkofRakAA69eF?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FsdkofRakAA69eF?format=jpg&name=orig', altText=None)]",Twitter Web App
2023-03-30 09:45:44+00:00,1641376153335373824,amorajejen,,"★ 오방약국 텔레그램 &gt; p i n k m a n 1 1 4 &lt; 
  
최음제  
삥두구입하는방법  
클럽drug  
패치  
작대기술  
전라도좌표딜러구함  
#허브액상 https://t.co/0tam4h6FzW",0,0,394.0,['허브액상'],"[Photo(previewUrl='https://pbs.twimg.com/media/FsdW5XlaEAEBBIw?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FsdW5XlaEAEBBIw?format=jpg&name=orig', altText=None)]",Twitter Web App
2023-03-30 05:29:44+00:00,1641311725101400064,stynerk,,"텔 레 i c e p i c k s

✎ 퀄리티승부 ♦
샘플 20만 아이스작대기

술의효능 광주아이스 삥두
아이스가격아이스샘플아이스선드랍

케타민 파티약 떨파는곳
 떨가격 떨가격

LSD 아이스1G 아이스팝니다
허브 아이스뽕

☎ #아이스작대기 ♠
↔ #대마 ✏ https://t.co/67idCIrVwT",0,0,19.0,"['아이스작대기', '대마']","[Photo(previewUrl='https://pbs.twimg.com/media/FsccTR8aMAAUXTE?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FsccTR8aMAAUXTE?format=jpg&name=orig', altText=None)]",Twitter Web App
2023-03-30 04:28:39+00:00,1641296356265590784,mindle06301,,"텔 레 i c e p i c k s

☀ 퀄리티승부 ☀
샘플 20만 아이스작대기

삥두 작대기주사 ㅈㄷㄱㅇㄹ
술파는곳

떨판매 떨팝니다 떨판매
 엑스터시 엑시

빙두 작대기뽕 아이스1G
아이스1G 작대기팝니다

♥ #사끼 ♣
☺ #빙두 ☀ https://t.co/a6OK5fPZg6",0,0,19.0,"['사끼', '빙두']","[Photo(previewUrl='https://pbs.twimg.com/media/FscOT6RagAAkivh?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FscOT6RagAAkivh?format=jpg&name=orig', altText=None)]",Twitter Web App
2023-03-29 19:21:37+00:00,1641158691151024128,tonguehal,,"▷ ㅌㄹㄱㄹ 24시상담 &gt;&gt; p i n k m a n 1 1 4 &lt;&lt; 
  
북한산아이스사는법  
뽕아이스구입  
경북허브액상  
모르핀  
합성대마초가격  
성남LSD  
  
#삥두 https://t.co/94cRqzhP67",0,0,31.0,['삥두'],"[Photo(previewUrl='https://pbs.twimg.com/media/FsaRFJ9acAAegqX?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FsaRFJ9acAAegqX?format=jpg&name=orig', altText=None)]",Twitter Web App
2023-03-29 19:15:14+00:00,1641157083973423104,mixedtapeshawn,,"☆ ㅌㄹㄱㄹ 24시상담 &gt;&gt; p i n k m a n 1 1 4 &lt;&lt; 
  
러쉬  
케이도매  
강동삥두  
북한산빙두구입  
수원밀크케이  
Molly  
  
#최음제 https://t.co/tf8Sz17J6s",0,0,47.0,['최음제'],"[Photo(previewUrl='https://pbs.twimg.com/media/FsaPnOOakAAO37U?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FsaPnOOakAAO37U?format=jpg&name=orig', altText=None)]",Twitter Web App
2023-03-29 19:09:42+00:00,1641155691288350720,YounSeok,,"✈ #빙두 ✌
☂ #아이스작대기 ✌

여러분에 안식처 하이븐

☣텔 레 문 의 i c e haven ✍

삥두 판매처 빙두판매처
히로뽕 천안아이스

떨삽니다 최음제 떨
 사티바 떨판매

작대기 엘에디 케이
작대기뽕 작대기술 https://t.co/KPR1YGejgj",0,0,11.0,"['빙두', '아이스작대기']","[Photo(previewUrl='https://pbs.twimg.com/media/FsaOY3haQAE9HsE?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FsaOY3haQAE9HsE?format=jpg&name=orig', altText=None)]",Twitter Web App
