date,id,user.username,place,content,likeCount,retweetCount,viewCount,hashtags,media,sourceLabel
2021-01-01 07:29:28+00:00,1344908586250510337,Wooung_twt,,@Ruru_00 허어ㅠㅠ~~루루님도 샤부 좋아하시는군요 우우 저도 마지막의 그 육수내음나는 계란죽을 너무좋아해요!!!ㅠㅠ 다른건 시켜먹더라두 샤부는 집에서 풀코스로먹기 쉽지않다보니... 이렇게 슬프네여 정말 제 영혼의 음식인데 . .. 그래도 케키는 사먹을수있으니 조만간 맛있는친구를 물색해봐야겠어욧👾💨,0,0,,,,Twitter for Android
2021-01-04 14:06:28+00:00,1346095654930550784,TW_IU_LOVE,,샤부 샤부 https://t.co/uz2DYtYYGK,2,0,,,"[Photo(previewUrl='https://pbs.twimg.com/media/Eq5K3DMUwAAgj96?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Eq5K3DMUwAAgj96?format=jpg&name=orig', altText=None)]",Twitter for Android
2021-01-09 04:03:56+00:00,1347755964628299779,heartlikemud,,샤부요 우버잇츠 시켜보고싶은데 휴대용버너 없어서 포기햇다 키친 추워서 키친에서 샤부샤부 해먹고싶진 않아..,0,0,,,,Twitter for iPhone
2021-01-10 12:10:16+00:00,1348240740019671043,sonnet147,,일어나자마자 샤부 먹는중,0,0,,,,Twitter for iPhone
2021-01-10 18:47:41+00:00,1348340752649121792,cokebytheocean,,@handmadepizzza 샤부 언제 계옮햇더라..? 청ㅇ년치먀,0,0,,,,Twitter for Android
2021-01-11 01:48:58+00:00,1348446772364918784,00Helia,,@springflake__ 젇두 샤부 다 먹구 칼국수 호롭,0,0,,,,Twitter for Android
2021-01-11 14:21:43+00:00,1348636208289574914,stareun_gomdol,,"그치 오늘 채연이생일🎂이지
울응비두 위즈원두💕
마니축하하구🥳사당❣️주고있당
받는것보다 항상
훨씬 더줄려구 준비많이하는🎁
멋진채연인 사당해야징🤍💙
은비 샤부🥓먹었덩?!
마딧겠당😋배불
강철의 연금 거의다?
흠🤔애니 많이는 못봐서
그나마 대중적인 원피스?👒
은비야❤️같이 보장❄️
#은비메일 https://t.co/AmBtJxOjXj",0,0,,['은비메일'],"[Photo(previewUrl='https://pbs.twimg.com/media/ErdRdQlVkAE8alU?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/ErdRdQlVkAE8alU?format=jpg&name=orig', altText=None)]",Twitter for iPhone
2021-01-12 03:25:41+00:00,1348833501504626689,CN_BlackCat,,@Anor_FF14 그아아ㅏㅏ 감사합니다ㅜㅠㅜㅠㅠㅜㅜㅠ 노르님도 오늘 행복한 하루보내세요~ 샤부의 발라당통신 넘넘 잘보고이씁니다 엏흫흫ㅎ 넘나 커여운것~,1,0,,,,Twitter Web App
2021-01-12 06:49:34+00:00,1348884808693211136,game_answer_,,달성하면 히님이 샤부 먹으러 가재 신난다,0,0,,,,Twitter for Android
2021-01-12 08:20:26+00:00,1348907679679356929,uw_borit,,샤부!! https://t.co/XopZ73XVKh,12,0,,,"[Photo(previewUrl='https://pbs.twimg.com/media/ErhIXTaVcAA93wg?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/ErhIXTaVcAA93wg?format=jpg&name=orig', altText=None), Photo(previewUrl='https://pbs.twimg.com/media/ErhIX1VVcAIzTuG?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/ErhIX1VVcAIzTuG?format=jpg&name=orig', altText=None)]",Twitter for Android
