type1,type2,date,id,user.username,user.displayname,place,user.location,content,likeCount,retweetCount,viewCount,hashtags,media,sourceLabel
LSD,엘에스디,2021-01-22 12:14:15+00:00,1.35259E+18,BoraBrown5,Bora Brown,,,"오방
배드트립
액상허브
고기소량입고
엘에스디

텔레그램 gbl42
고블린입니다

밤술에 다 잇습니다 안전거래 라이브인증",0,0,,,,Twitter Web App
LSD,엘에스디,2021-01-25 09:06:09+00:00,1.35363E+18,ElizabethGietz3,안전한 좌표 바로 발급 사칭조심,,,"엘에스디지속시간
배드트립
푸른술
케이삽니다

텔레 : nursejoy421

사기안당하는방법! 실시간물건인증 못해주면 백프로사기. https://t.co/AJw5d9wX9P",0,0,,,"[Photo(previewUrl='https://pbs.twimg.com/media/EskPfPHU4AInXlp?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/EskPfPHU4AInXlp?format=jpg&name=orig', altText=None)]",Twitter Web App
LSD,엘에스디,2021-01-27 15:44:03+00:00,1.35446E+18,iv_viviane,ㅌㄹ maojju,,,"옾화 엘에스디
cocaine 쿠쉬
CBD 도리도리팔아요

서울 경기권 최상퀄리티 대마 판매 합니다.
사칭조심 ㅡㅡ 아디정확히보고 문의해라 맞고 괜히 ㅈㄹ 하지말고

트위터 제 프로필 소개에 채널링크 있어요 https://t.co/b5Wc6jsvCb",0,0,,,"[Photo(previewUrl='https://pbs.twimg.com/media/Esv9v5tVcAYf4WH?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Esv9v5tVcAYf4WH?format=jpg&name=orig', altText=None)]",Twitter Web App
LSD,엘에스디,2022-12-06 15:33:18+00:00,1.60015E+18,memmuhhg1,몽몽,,,"°へ°🏹     #스틸녹스판매     🎯
🎸텔레:wame658🛠️라인:popu12🔭
🚀카톡:kodak8🏍️
📎클로로포름📎 
📎 
📎 #정품스틸녹스판매📎 
📎 #정품스틸녹스구입방법📎 
📎 
환각효과는 엘에스디(LSD), 엑스터시, 대마 등에서 강하게 나타난다.",0,0,,"['스틸녹스판매', '정품스틸녹스판매', '정품스틸녹스구입방법']",,Botbird tweets
LSD,엘에스디,2023-01-09 11:13:48+00:00,1.61241E+18,BeckyLe28383985,T E L : BRN7008 종이의집(강서좌표),,,"☝ 텔 레 문 의 B R N 7008 ♦  
  
▣인증보안딜러📛 좌표 최대 1시간 발급  
  
엘에스디 weed판매합니다 
#강남보안좌표 #충청도안전업체 https://t.co/kb6IBWhli7",0,0,35,"['강남보안좌표', '충청도안전업체']","[Photo(previewUrl='https://pbs.twimg.com/media/FmBr2QTaMAEz-ei?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FmBr2QTaMAEz-ei?format=jpg&name=orig', altText=None)]",Twitter Web App
LSD,엘에스디,2023-01-12 08:40:07+00:00,1.61346E+18,phildan02,코데인구매 짝대기판매합니다 마리화나(케이하는법),,Ur corner,"✐텔레 Riven420☝ ★ 
  
엘에스디 액떨 
작대기팔아요 하이브리드 
  
#디스펜서리사는방법  
#프로포폴 https://t.co/zoW8LdEVmS",0,0,69,"['디스펜서리사는방법', '프로포폴']","[Photo(previewUrl='https://pbs.twimg.com/media/FmQlcqOaAAAsF0a?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FmQlcqOaAAAsF0a?format=jpg&name=orig', altText=None)]",Twitter Web App
LSD,엘에스디,2023-01-12 22:16:37+00:00,1.61366E+18,dksehdrbs77,15,,경기도,"🍰 ⚡ 🍰 ⚡ 🍰 ⚡
🎨 🎨 🎸★텔레:apam15★🛠️🔭

🚀★카톡:han-me★🏍️.
환각효과는 엘에스디(LSD), 엑스터시, 대마 등에서 강하게 나타난다.

彡💭☽(•́ε•̀;ก)💦🍶⋆¸🦢🩹
💦#정품스틸녹스구입방법💦
🦢🩹🦢🩹🦢🩹
💦#졸피뎀판매 ⎝㋡⎠
🍰 ⚡ 🍰 ⚡ 🍰 ⚡ https://t.co/Znx1mFVAzx",0,0,29,"['정품스틸녹스구입방법', '졸피뎀판매']","[Photo(previewUrl='https://pbs.twimg.com/media/FmTgWW5aUAIVFN5?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FmTgWW5aUAIVFN5?format=jpg&name=orig', altText=None)]",Twitter Web App
LSD,엘에스디,2023-01-14 01:14:22+00:00,1.61407E+18,modytoto2013,고기구매방법 케이캔디구하는법 강북드랍(케이캔디),,"Port Said ,Egypt","TEL : Nicosi152 아이스 허브 커피파우더 케이 브액 상선 ▶ 
  
코데인구매방법  
GHB  
엘에스디구매처  
합성대마초  
#얼음술 #전북신속배송 #허브액상 https://t.co/MBJyIwm2nP",0,0,64,"['얼음술', '전북신속배송', '허브액상']","[Photo(previewUrl='https://pbs.twimg.com/media/FmZSmE9aUAADf4X?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FmZSmE9aUAADf4X?format=jpg&name=orig', altText=None)]",Twitter Web App
LSD,엘에스디,2023-01-23 18:41:06+00:00,1.61759E+18,niczxaii,TELEGRAM pinkman114(케타민원석구입하는법),,Davao Region,"☏ 고단한 하루의 마무리는 이것과 함께 
♡ 제시핑크맨 ㅌㄹㄱㄹ &lt;&lt;pinkman114&gt;&gt; 
  
#허브효과  
  
강북신속배송  
고퀄아이스  
엘에스디팔아요  
옥시코돈구입하는방법  
경북좌표 https://t.co/833KmJzuCI",0,0,85,['허브효과'],"[Photo(previewUrl='https://pbs.twimg.com/media/FnLYfVMaMAA1UqY?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FnLYfVMaMAA1UqY?format=jpg&name=orig', altText=None)]",Twitter Web App
LSD,엘에스디,2023-01-24 06:14:28+00:00,1.61777E+18,wkwdl669,풀잎,,,"사기걱정❌
믿고거래할수있는안전한거래처🅾️
전국최저가맛집❤️

캔디몰리클럽💊강남클럽💊
대마대마초작대기아이스
케이K케타민K원석케이원석
떨떨액브액허브허브액
뽕히로뽕필로폰코카인
LSD엘에스디Mdma엑스터시술사끼

🇺🇦텔레그램: @JoeLaw44🇺🇦
🇺🇦채널 https://t.co/iqF2fmppeg 🇺🇦 https://t.co/cqwi5OFWaN",0,0,57,,"[Photo(previewUrl='https://pbs.twimg.com/media/FnN3MH7acAAyxew?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FnN3MH7acAAyxew?format=jpg&name=orig', altText=None), Video(thumbnailUrl='https://pbs.twimg.com/ext_tw_video_thumb/1617767741301354498/pu/img/ActbBtHcN_m9H573.jpg', variants=[VideoVariant(url='https://video.twimg.com/ext_tw_video/1617767741301354498/pu/pl/X6kMD6-MXJIw2xzV.m3u8?tag=12&container=fmp4', contentType='application/x-mpegURL', bitrate=None), VideoVariant(url='https://video.twimg.com/ext_tw_video/1617767741301354498/pu/vid/320x584/U5PQTKHyGITbqfBU.mp4?tag=12', contentType='video/mp4', bitrate=632000), VideoVariant(url='https://video.twimg.com/ext_tw_video/1617767741301354498/pu/vid/464x848/OvgFFGeJPwKuGwmb.mp4?tag=12', contentType='video/mp4', bitrate=950000)], duration=11.566, views=6, altText=None), Video(thumbnailUrl='https://pbs.twimg.com/ext_tw_video_thumb/1617767741745946624/pu/img/5piBHTA0YDihdPoJ.jpg', variants=[VideoVariant(url='https://video.twimg.com/ext_tw_video/1617767741745946624/pu/pl/Aeq3DvtgQ9nYDXYk.m3u8?tag=12&container=fmp4', contentType='application/x-mpegURL', bitrate=None), VideoVariant(url='https://video.twimg.com/ext_tw_video/1617767741745946624/pu/vid/320x584/lZarr4DrclcVKeyY.mp4?tag=12', contentType='video/mp4', bitrate=632000), VideoVariant(url='https://video.twimg.com/ext_tw_video/1617767741745946624/pu/vid/464x848/BDBCPMagVXwu1i6f.mp4?tag=12', contentType='video/mp4', bitrate=950000)], duration=12.9, views=1, altText=None)]",Twitter for iPhone
