,date,id,user.username,user.displayname,place,user.location,content,likeCount,retweetCount,viewCount,hashtags,media,sourceLabel
10,2023-03-30 16:47:48+00:00,1641482366752526343,yun258935231,윤,,,"☄ 텔 레 그 램 J R i c e 1 ✂

☂아이스작대기 무한♨

인슐린주사기 사끼파는곳 술의효능
작대기뽕 아이스작대기 작대기팝니다 사끼

사티바 최음제 떨구매 

 클럽파티 떨팝니다 

 샘플20만 ㅅㄲ 엘에디

인천아이스 클럽약  후리하는방법 엑시 

#아이스작대기
#사끼 https://t.co/rifYBvnX4U",0,0,39.0,"['아이스작대기', '사끼']","[Photo(previewUrl='https://pbs.twimg.com/media/Fse3gAiaMAEUatV?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Fse3gAiaMAEUatV?format=jpg&name=orig', altText=None)]",Twitter Web App
47,2023-03-30 04:06:51+00:00,1641290867817463809,tjdqkr1,박성준,,,"Happy b b o n g

해피 해피뽕 

아이스작대기 전문 딜러

술파는곳 아이스얼음주사사용방법 떨판매 
사끼사용법 삥두 BD주사기

사티바 떨느낌 클럽약 
떨 떨후기 

아이스1G 빙두 
 LSD 작대기 

#작대기아이스
#아이스작대기 https://t.co/pmg4WGQem8",0,0,16.0,"['작대기아이스', '아이스작대기']","[Photo(previewUrl='https://pbs.twimg.com/media/FscJVLvaMAEMOXd?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FscJVLvaMAEMOXd?format=jpg&name=orig', altText=None)]",Twitter Web App
50,2023-03-30 03:44:37+00:00,1641285273979097089,yun258935231,윤,,,"☠ 텔 레 그 램 J R i c e 1 ☎

☂아이스작대기 무한✂

BD주사기  판매처
LSD 작대기아이스 아이스드랍 작대기술

케타민 엑시 담배 

 떨팝니다 엑스터시 

 작대기술 필로폰파는곳 작대기뽕

빙두판매처 떨후기  ㅎㄹ 떨판매 

#작대기술
#아이스팝니다 https://t.co/exh11Orpuy",0,0,36.0,"['작대기술', '아이스팝니다']","[Photo(previewUrl='https://pbs.twimg.com/media/FscEPpeaYAEV1Tw?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FscEPpeaYAEV1Tw?format=jpg&name=orig', altText=None)]",Twitter Web App
63,2023-03-29 16:39:18+00:00,1641117839624146944,songaye72127051,송아영,,,"✏ 텔 레 그 램 J R i c e 1 ❣

☑아이스작대기 사끼♨

작대기 아이스 허브 브액 대마초 떨
캔디케이 몰리 떨액 브액 

브액판매처인슐린주사기

케타민 강남파티 
떨구입

아이스술 케이 아이스1G 

#아이스 https://t.co/uv2Dh0f3Md",0,0,10.0,['아이스'],"[Photo(previewUrl='https://pbs.twimg.com/media/FsZr9k1acAA0jof?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FsZr9k1acAA0jof?format=jpg&name=orig', altText=None)]",Twitter Web App
103,2023-03-28 19:54:59+00:00,1640804699749359616,sdk32821,망치,,,"☺ 텔 레 i c e m a n k ☎
샘플0.2G 20만
사칭조심

아이스작대기  아이스술
아이스드랍 
작대기아이스

작대기팝니다 엘에디
아이스술
작대기뽕

떨사는곳 떨가격 떨구매 

샘플20만 작대기 떨후기 
떨팝니다

BD주사기 브액판매처

#빙두팝니다
#필로폰 https://t.co/VyILeB13Pu",0,0,32.0,"['빙두팝니다', '필로폰']","[Photo(previewUrl='https://pbs.twimg.com/media/FsVPKmUaUAAMAct?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FsVPKmUaUAAMAct?format=jpg&name=orig', altText=None)]",Twitter Web App
104,2023-03-28 19:18:40+00:00,1640795558658060288,LlZEDWsGgCYaVaj,w.beartae⁷,,,"✏ 텔 레 그 램 J R i c e 1 ☠

☀아이스작대기 무한☂

시원한술파는곳 대전아이스 필로폰파는곳
작대기 작대기뽕 아이스팝니다 케이

떨사는곳 최음제 대마 

 떨판매 최음제 

 아이스뽕 창원아이스 작대기아이스

인슐린주사기 케타민  케타민반응 파티약 

#아이스작대기
#샘플 https://t.co/9NohuzG948",0,0,27.0,"['아이스작대기', '샘플']","[Photo(previewUrl='https://pbs.twimg.com/media/FsVG2gHaAAAKgiy?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FsVG2gHaAAAKgiy?format=jpg&name=orig', altText=None)]",Twitter Web App
110,2023-03-28 16:24:21+00:00,1640751692382699527,kkk2424k,mirnam,,,"문의

텔 레 i c e p i c k s
텔 레 i c e p i c k s

☎ 아이스픽2 ☣
샘플 20만 아이스작대기

삥두 BD주사기 브액판매처
술구매

케타민 엑시 케이
 떨 강남파티

엘에디 작대기 LSD
아이스 엘에디

☁ #사끼 ☀
☄ #빙두 ✎ https://t.co/OxLLnI4hiT",0,0,18.0,"['사끼', '빙두']","[Photo(previewUrl='https://pbs.twimg.com/media/FsUe9AJaMAAsydS?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FsUe9AJaMAAsydS?format=jpg&name=orig', altText=None)]",Twitter Web App
135,2023-03-28 09:20:06+00:00,1640644925200158729,LlZEDWsGgCYaVaj,w.beartae⁷,,,"↔ 텔 레 그 램 J R i c e 1 ☢

✈아이스작대기 무한✈

부부만남 인슐린주사기 ㅇㅇㅅ팝니다
아이스드랍 아이스드랍 차가운술 아이스드랍

파티약 파티약 파티약 

 떨구매 케타민 

 작대기 ㅎㄹ 작대기뽕

떨판매 클럽파티  캔디파는곳 케타민 

#아이스작대기
#사끼 https://t.co/SStWAk4HcL",0,0,19.0,"['아이스작대기', '사끼']","[Photo(previewUrl='https://pbs.twimg.com/media/FsS92a3aUAAOOFl?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FsS92a3aUAAOOFl?format=jpg&name=orig', altText=None)]",Twitter Web App
159,2023-03-27 21:32:43+00:00,1640466907307573248,SY_idol,녕녕,,,"Happy b b o n g

해피 해피뽕 

아이스작대기 전문 딜러

브액판매처 술의효능 샤부 
BD주사기 천안아이스 강간데이트

떨삽니다 담배 떨삽니다 
떨가격 사탕 

LSD 샘플20만 
작대기팝니다 허브액상 아이스드랍 

#작대기아이스
#아이스작대기 https://t.co/9g0KG8fh3w",0,0,766.0,"['작대기아이스', '아이스작대기']","[Video(thumbnailUrl='https://pbs.twimg.com/ext_tw_video_thumb/1640466888420630532/pu/img/nFAt4Wsf3xHX8lsI.jpg', variants=[VideoVariant(url='https://video.twimg.com/ext_tw_video/1640466888420630532/pu/pl/rJNYRbLlVu9xlPsf.m3u8?tag=12&container=fmp4', contentType='application/x-mpegURL', bitrate=None), VideoVariant(url='https://video.twimg.com/ext_tw_video/1640466888420630532/pu/vid/270x480/WmrrILxUxLMyTHD8.mp4?tag=12', contentType='video/mp4', bitrate=632000)], duration=1.237, views=245, altText=None)]",Twitter Web App
168,2023-03-27 15:31:06+00:00,1640375901157462016,skyleehu,skyleehu,,"37.566861,126.976333","문의

텔 레 i c e p i c k s
텔 레 i c e p i c k s

✒ 아이스픽2 ♦
샘플 20만 아이스작대기

인슐린주사기 일산아이스 차가운술파는곳
아이스사용후기

떨후기 사티바 엑스터시
 엑시 강남파티

LSD 케타민 허브
아이스드랍 작대기술

# https://t.co/H56nYIRkQO",0,0,46.0,,"[Photo(previewUrl='https://pbs.twimg.com/media/FsPJLFtaAAIZpmH?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FsPJLFtaAAIZpmH?format=jpg&name=orig', altText=None)]",Twitter Web App
188,2023-03-27 10:45:17+00:00,1640303974409711616,Highlight_YH_,두둥💡💡,,,"❣ 텔 레 그 램 J R i c e 1 ❣

☺아이스작대기 무한♨

마약상인 아이스가격아이스샘플아이스선드랍 정품아이스파는곳
작대기뽕 차가운술 케이 허브

담배 엑시 사탕 

 최음제 케타민 

 작대기팝니다 광주아이스 사끼

BD주사기 떨판매  전국빠른구매 떨파는곳 

#아이스작대기
#빙두 https://t.co/StohFNvmFu",0,0,79.0,"['아이스작대기', '빙두']","[Photo(previewUrl='https://pbs.twimg.com/media/FsOHwfeacAAHibK?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FsOHwfeacAAHibK?format=jpg&name=orig', altText=None)]",Twitter Web App
192,2023-03-27 08:54:55+00:00,1640276200701722625,jjjkook_9,보라빛봄날⁷,,,"텔 레 i c e p i c k s

☺ 퀄리티승부 ✐
샘플 20만 아이스작대기

ㅎㄹ 인잭하는법 인슐린주사기
차가운술파는곳

대마 케타민 사탕
 떨 담배

아이스1G 아이스드랍 아이스팝니다
아이스팝니다 허브

✌ #아이스작대기 ☎
☀ #시원한술 ↘ https://t.co/FgF12eOPiY",0,0,36.0,"['아이스작대기', '시원한술']","[Video(thumbnailUrl='https://pbs.twimg.com/ext_tw_video_thumb/1640276183475716097/pu/img/4tlagEi0O6g-U5XW.jpg', variants=[VideoVariant(url='https://video.twimg.com/ext_tw_video/1640276183475716097/pu/vid/270x480/_mJmM0E6ckypSsNN.mp4?tag=12', contentType='video/mp4', bitrate=632000), VideoVariant(url='https://video.twimg.com/ext_tw_video/1640276183475716097/pu/pl/lyhMWBMzFk2Ji5AF.m3u8?tag=12&container=fmp4', contentType='application/x-mpegURL', bitrate=None)], duration=0.812, views=4, altText=None)]",Twitter Web App
206,2023-03-27 03:35:13+00:00,1640195744253775872,Dae_Bal_E,대발이,,대한민국,"Happy b b o n g

해피 해피뽕 

아이스작대기 전문 딜러

인슐린주사기 삥두 아이스거래방법 
아이스거래방법 반작대기 판매처

떨 떨구입 파티약 
케타민 대마 

아이스팝니다 케타민
액상 
엘에디 아이스1G 아이스1G 

#빙두
#사끼 https://t.co/g6ZDAtrHW4",0,0,46.0,"['빙두', '사끼']","[Video(thumbnailUrl='https://pbs.twimg.com/ext_tw_video_thumb/1640195725207429120/pu/img/_pN-Autu5Dqr1DPF.jpg', variants=[VideoVariant(url='https://video.twimg.com/ext_tw_video/1640195725207429120/pu/vid/320x426/8pYSqJVnit7r7ULB.mp4?tag=12', contentType='video/mp4', bitrate=632000), VideoVariant(url='https://video.twimg.com/ext_tw_video/1640195725207429120/pu/vid/640x854/gWpvpteeSPlkwvpc.mp4?tag=12', contentType='video/mp4', bitrate=2176000), VideoVariant(url='https://video.twimg.com/ext_tw_video/1640195725207429120/pu/pl/47d-aAWy0A3HpFMT.m3u8?tag=12&container=fmp4', contentType='application/x-mpegURL', bitrate=None), VideoVariant(url='https://video.twimg.com/ext_tw_video/1640195725207429120/pu/vid/480x640/jFult1a3iblLEi1H.mp4?tag=12', contentType='video/mp4', bitrate=950000)], duration=0.635, views=3, altText=None)]",Twitter Web App
