,date,id,user.username,user.displayname,place,user.location,content,likeCount,retweetCount,viewCount,hashtags,media,sourceLabel
0,2023-03-30 23:11:12+00:00,1.64158E+18,amiedeux,유정민,,,"문의

텔 레 i c e p i c k s
텔 레 i c e p i c k s

✂ 아이스픽2 ☃
샘플 20만 아이스작대기

정품아이스파는곳 창원아이스 아이스얼음작대기
서울아이스

떨사는곳 떨삽니다 클럽약
 파티약 떨팝니다

아이스사끼 아이스드랍 케이
케이 빙두

#작대기가격 https://t.co/TvvoaTlWf9",0,0,39,['작대기가격'],"[Video(thumbnailUrl='https://pbs.twimg.com/ext_tw_video_thumb/1641578833102123008/pu/img/RgpK0nuo_HkKG5SI.jpg', variants=[VideoVariant(url='https://video.twimg.com/ext_tw_video/1641578833102123008/pu/vid/270x480/gjoa8V3jWGlpdcl0.mp4?tag=12', contentType='video/mp4', bitrate=632000), VideoVariant(url='https://video.twimg.com/ext_tw_video/1641578833102123008/pu/pl/kxrGbfIBkHKteJXV.m3u8?tag=12&container=fmp4', contentType='application/x-mpegURL', bitrate=None)], duration=0.812, views=5, altText=None)]",Twitter Web App
1,2023-03-30 22:58:22+00:00,1.64158E+18,B7v8OE9bs36D53l,허서진,,,"❣ 텔 레 그 램 J R i c e 1 ♥

✂아이스작대기 무한↔

아이스가격아이스샘플아이스선드랍 샤부 아이스얼음작대기
LSD 작대기술 LSD 아이스드랍

떨구매 떨구매 떨파는곳 

 파티약 사티바 

 LSD ㅈㄷㄱㅇㄹ 작대기술

천안아이스 떨삽니다  강간데이트 떨느낌 

#작대기 https://t.co/p5YsY7PCHD",0,0,85,['작대기'],"[Photo(previewUrl='https://pbs.twimg.com/media/FsgMUENaMAE--C_?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FsgMUENaMAE--C_?format=jpg&name=orig', altText=None)]",Twitter Web App
2,2023-03-30 22:43:44+00:00,1.64157E+18,qhdud1004,모에여동생,,대한민국,"↔ 텔 레 i c e m a n k ☀
샘플0.2G 20만
사칭조심

아이스작대기 작대기팝니다
엘에디 
작대기뽕

아이스1G 아이스작대기
사끼
아이스사끼

떨후기  떨판매 
파티약

작대기술 아이스1G 떨사는곳 
강남파티

전국떨 빙두팜

#떨액
#캔디 https://t.co/7gpcY68yhR",0,0,26,"['떨액', '캔디']","[Photo(previewUrl='https://pbs.twimg.com/media/FsgI97eagAA8YMS?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FsgI97eagAA8YMS?format=jpg&name=orig', altText=None)]",Twitter Web App
3,2023-03-30 22:03:20+00:00,1.64156E+18,sk7659,이혜연,,,"문의

텔 레 i c e p i c k s
텔 레 i c e p i c k s

☑ 아이스픽2 ☀
샘플 20만 아이스작대기

빙두팜 떨파는곳소개 마약파는곳
마약상인

클럽파티 대마 떨팝니다
 떨구입 파티약

작대기뽕 케이 작대기뽕
작대기뽕 작대기뽕

#떨파는곳 https://t.co/PWAymAVIJZ",0,0,18,['떨파는곳'],"[Photo(previewUrl='https://pbs.twimg.com/media/Fsf_t-7aQAIsd7R?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Fsf_t-7aQAIsd7R?format=jpg&name=orig', altText=None)]",Twitter Web App
4,2023-03-30 20:54:55+00:00,1.64154E+18,YounSeok,bbaabb,,,"☀ #얼음술  ✌
✐ 아이스작대기  ♣

여러분에 안식처 하이븐

☑텔 레 문 의 i c e haven ☀

ㅇㅇㅅ 엑스터시효과 빙두판매처
캔디판매처 인슐린주사기

케이 클럽파티 클럽파티
 파티약 대마

작대기 샘플20만 아이스팝니다
아이스1G 아이스술 https://t.co/yogPvDOsrQ",1,0,5,['얼음술'],"[Photo(previewUrl='https://pbs.twimg.com/media/FsfwDwEakAA8b-s?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FsfwDwEakAA8b-s?format=jpg&name=orig', altText=None)]",Twitter Web App
5,2023-03-30 19:05:54+00:00,1.64152E+18,eo_junsu,ㅂ,,,"여러분에 안식처 아이스 하이븐 

☀텔 레 문 의 i c e haven ♠

허브효능 게이만남 엑스터시효능
대전아이스 아이스사용방법

케이 담배 떨구매
클럽약 파티약

작대기술 허브 작대기뽕
허브 허브

#엑스터시
#작대기아이스
#아이스작대기 https://t.co/GmJyODMMgW",0,0,335,"['엑스터시', '작대기아이스', '아이스작대기']","[Photo(previewUrl='https://pbs.twimg.com/media/FsfXG2_aUAApVfD?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FsfXG2_aUAApVfD?format=jpg&name=orig', altText=None)]",Twitter Web App
6,2023-03-30 17:56:58+00:00,1.6415E+18,HYA60999252,잇츠,,,"☀ 텔 레 그 램 J R i c e 1 ❣

☂아이스작대기 무한♨

ㅇㅇㅅ 마약효과 작대기주사
LSD 케타민 아이스작대기 아이스사끼

떨팝니다 캔디 강남파티 

 파티약 떨후기 

 샘플20만 울산아이스 작대기뽕

술구매 떨후기  정품아이스파는곳소개 떨 

#작대기 https://t.co/mD0kLjz3lZ",0,0,62,['작대기'],"[Photo(previewUrl='https://pbs.twimg.com/media/FsfHVWhaYAAfkWl?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FsfHVWhaYAAfkWl?format=jpg&name=orig', altText=None)]",Twitter Web App
7,2023-03-30 16:57:20+00:00,1.64148E+18,bmr918,라쿤뱀,,,"❣ 텔 레 그 램 J R i c e 1 ✿

✉아이스작대기 무한☀

아이스술 김치 울산아이스
작대기술 아이스팝니다 케이 케타민

떨구입 파티약  

 최음제 케이 

 빙두 아이스얼음주사사용방법 LSD

ㅈㄷㄱㅇㄹ 떨후기  ㅇㅇㅅ 담배 

#작대기아이스 https://t.co/rGnzAF2JB8",0,0,137,['작대기아이스'],"[Photo(previewUrl='https://pbs.twimg.com/media/Fse5rwcaMAAEXlk?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Fse5rwcaMAAEXlk?format=jpg&name=orig', altText=None)]",Twitter Web App
8,2023-03-30 13:48:33+00:00,1.64144E+18,wldms1331,라지벌랄라 🎗,,,"♠ 텔 레 그 램 J R i c e 1 ✐

♠아이스작대기 무한♥

빠른구매 
크리스탈아이스 판매처
차가운술 아이스술 아이스작대기 아이스드랍

떨후기 사탕 엑스터시 

 인디카 떨파는곳 

 아이스드랍 빙두판매처 아이스뽕

빙두판매처 떨구매  사끼사용법 파티약 

#아이스작대기
#빙두 https://t.co/zSk4BADoew",0,0,10,"['아이스작대기', '빙두']","[Photo(previewUrl='https://pbs.twimg.com/media/FseOeNWaAAAmp5F?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FseOeNWaAAAmp5F?format=jpg&name=orig', altText=None)]",Twitter Web App
9,2023-03-30 13:29:48+00:00,1.64143E+18,Jinha0520,평원,,,"여러분에 안식처 아이스 하이븐 

♨텔 레 문 의 i c e haven ☄

부부만남 대마초파는곳 서울아이스
BD주사기 작대기구매는

케이 케타민 엑시
파티약 떨가격

아이스작대기 샘플20만 작대기아이스
작대기팝니다 아이스작대기

#작대기
#떨후기
#안전딜러 https://t.co/a3xXCC6COp",0,0,47,"['작대기', '떨후기', '안전딜러']","[Photo(previewUrl='https://pbs.twimg.com/media/FseKLpkacAA7pM5?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FseKLpkacAA7pM5?format=jpg&name=orig', altText=None)]",Twitter Web App
