,date,id,user.username,user.displayname,place,user.location,content,likeCount,retweetCount,viewCount,hashtags,media,sourceLabel
300,2023-03-30 09:45:44+00:00,1.64E+18,amorajejen,amora jejen,,,"★ 오방약국 텔레그램 &gt; p i n k m a n 1 1 4 &lt; 
  
최음제  
삥두구입하는방법  
클럽drug  
패치  
작대기술  
전라도좌표딜러구함  
#허브액상 https://t.co/0tam4h6FzW",0,0,635,['허브액상'],"[Photo(previewUrl='https://pbs.twimg.com/media/FsdW5XlaEAEBBIw?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FsdW5XlaEAEBBIw?format=jpg&name=orig', altText=None)]",Twitter Web App
755,2023-03-29 18:53:39+00:00,1.64E+18,alkalka33,몰리구입하는방법 조인트 케이밀크구입(Molly상선),,,"○ ㅌㄹㄱㄹ 24시상담 &gt;&gt; p i n k m a n 1 1 4 &lt;&lt; 
  
하선모집  
섹스마약  
광주패치  
경남케이원석  
강북안전드랍  
전국아이스  
  
#전라도보안딜러 https://t.co/2RryUufJNa",0,0,62,['전라도보안딜러'],"[Photo(previewUrl='https://pbs.twimg.com/media/FsaKtN5aAAAsfKT?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FsaKtN5aAAAsfKT?format=jpg&name=orig', altText=None)]",Twitter Web App
765,2023-03-29 17:53:19+00:00,1.64E+18,conervirus,경기도보안드랍 경상도트라마돌 우유주사구하는곳(전라도드러그),,,"♠ ㅌㄹㄱㄹ 24시상담 &gt;&gt; p i n k m a n 1 1 4 &lt;&lt; 
  
충청도패치  
떨액구매방법  
대전하선모집  
랏슈  
충북크리스탈  
강동드랍퍼모집  
  
#인슐린 https://t.co/hapePocwx5",0,0,34,['인슐린'],"[Photo(previewUrl='https://pbs.twimg.com/media/FsZ84RVaEAAcUbe?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FsZ84RVaEAAcUbe?format=jpg&name=orig', altText=None)]",Twitter Web App
1076,2023-03-29 09:28:57+00:00,1.64E+18,esraawaled32,발정제 전북수면보조제 전국캔디(펜플루라민),,,"▷ ㅌㄹㄱㄹ 24시상담 &gt;&gt; p i n k m a n 1 1 4 &lt;&lt; 
  
수원떨  
사탕  
LSD  
버드하는방법  
전남찬술  
패치  
  
#크리스탈 https://t.co/aItuEXrcqv",0,0,78,['크리스탈'],"[Photo(previewUrl='https://pbs.twimg.com/media/FsYJdI1acAAtW9z?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FsYJdI1acAAtW9z?format=jpg&name=orig', altText=None)]",Twitter Web App
1123,2023-03-29 08:30:06+00:00,1.64E+18,sjhseojoo1587,강남엘에스디 부산뽕아이스 케이(전국하선구함),,,"♥ ㅌㄹㄱㄹ 24시상담 &gt;&gt; p i n k m a n 1 1 4 &lt;&lt; 
  
패치  
대전스페셜케타민  
마리화나  
서울뽕  
신의눈물  
전북조인트  
  
#파티drug https://t.co/z35hJFgDK2",0,0,41,['파티drug'],"[Photo(previewUrl='https://pbs.twimg.com/media/FsX7_FmagAADAXO?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FsX7_FmagAADAXO?format=jpg&name=orig', altText=None)]",Twitter Web App
1133,2023-03-29 08:18:28+00:00,1.64E+18,jinkuyng,우브액 원석케이 트라마돌(울산보안드랍),,,"★ ㅌㄹㄱㄹ 24시상담 &gt;&gt; p i n k m a n 1 1 4 &lt;&lt; 
  
크리스탈구매처  
경기도패치  
강동드라퍼구인  
각성제  
인천황술  
용인좌표딜러구함  
  
#섹스파티  
v",0,0,69,['섹스파티'],,Twitter Web App
1176,2023-03-29 07:20:16+00:00,1.64E+18,KakkOao,부산하선모성남하선모집 액상대마 합성대마구매처(울산케타민원석),,,"♥ ㅌㄹㄱㄹ 24시상담 &gt;&gt; p i n k m a n 1 1 4 &lt;&lt; 
  
클럽drug판매처  
패치  
광주얼음술  
매직머쉬룸판매처  
전국대마초  
경북도리도리  
  
#사끼구하는곳 https://t.co/fa1U0rhu1f",0,0,16,['사끼구하는곳'],"[Photo(previewUrl='https://pbs.twimg.com/media/FsXsAcGaQAESJJd?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FsXsAcGaQAESJJd?format=jpg&name=orig', altText=None)]",Twitter Web App
1235,2023-03-29 05:43:27+00:00,1.64E+18,paapaankomah,정글주스 북한산아이스팔아요 경남드랍퍼모집(매직머쉬룸),,,"◈ ㅌㄹㄱㄹ 24시상담 &gt;&gt; p i n k m a n 1 1 4 &lt;&lt; 
  
엑시터시가격  
대마  
북한산빙두  
패치  
대전액상떨  
전북드랍퍼모집  
  
#창원얼음 https://t.co/A0s5vokviF",0,0,24,['창원얼음'],"[Photo(previewUrl='https://pbs.twimg.com/media/FsXVzjIaUAEIE4a?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FsXVzjIaUAEIE4a?format=jpg&name=orig', altText=None)]",Twitter Web App
1331,2023-03-29 02:25:48+00:00,1.64E+18,kandoriyajiya,충청도마정글주스구매처 마약왕 인천랏슈(광주하선구함),,,"○ ㅌㄹㄱㄹ 24시상담 &gt;&gt; p i n k m a n 1 1 4 &lt;&lt; 
  
충북패치  
스틸녹스  
대전섹스마약  
진통제  
Molly상선  
전국수면유도제  
  
#밀크케이효과 https://t.co/gC2dnlYNLG",0,0,117,['밀크케이효과'],"[Photo(previewUrl='https://pbs.twimg.com/media/FsWokTQacAAn36O?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FsWokTQacAAn36O?format=jpg&name=orig', altText=None)]",Twitter Web App
1345,2023-03-29 01:50:07+00:00,1.64E+18,jhayjhaygopez22,버드 수면유도제 떨하는방법(경남찬술),,,"☎ ㅌㄹㄱㄹ 24시상담 &gt;&gt; p i n k m a n 1 1 4 &lt;&lt; 
  
대마초  
부산허브액상  
대전하선구함  
패치  
강원도안전딜러  
전국조인트  
  
#창원수면유도제 https://t.co/fNKKA95Cfk",0,0,41,['창원수면유도제'],"[Photo(previewUrl='https://pbs.twimg.com/media/FsWgbF5akAArloO?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FsWgbF5akAArloO?format=jpg&name=orig', altText=None)]",Twitter Web App
