,date,id,user.username,user.displayname,place,user.location,content,likeCount,retweetCount,viewCount,hashtags,media,sourceLabel
0,2023-03-30 08:57:45+00:00,1.64136E+18,Jhenbatar,Jhen batar,,,"☏ 오방약국 텔레그램 &gt; p i n k m a n 1 1 4 &lt; 
  
수면제사는법  
drug구입방법  
최음제구매하는법  
우유주사  
떨후기  
트라마돌  
#전국히로뽕 https://t.co/SSZOb6EvVs",0,0,33,['전국히로뽕'],"[Photo(previewUrl='https://pbs.twimg.com/media/FsdL6ERacAA_FA5?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FsdL6ERacAA_FA5?format=jpg&name=orig', altText=None)]",Twitter Web App
1,2023-03-30 08:13:53+00:00,1.64135E+18,assh8e7rtcc,정석훈,,,"예약⋟－Аҳŗịṅḡ－⋞

Rush Poppers 판매

#트라ㅁㅏ돌

최음제 팝니다

경남 진주  오늘🌙밤 도착",0,0,63,['트라ㅁㅏ돌'],,Twitter Web App
2,2023-03-30 07:26:52+00:00,1.64134E+18,148cve0,백민경,,,"트라마돌 파는곳 비밀📧배송⟳강동

흥분제판매

✅ #수면

𝒂𝒕𝒐➍➍➍",0,0,25,['수면'],,Twitter Web App
3,2023-03-30 07:26:48+00:00,1.64134E+18,das2d88jc,신중철,,,"#서울 

정글주스 구입방법 트라마돌판매

✅ 비밀📧배송⟳부산진

𝒂𝒕𝒐➍➍➍",0,0,70,['서울'],,Twitter Web App
4,2023-03-30 06:55:44+00:00,1.64133E+18,dsf51cv558e,이사언,,,"╒◖══Ｋạ톡 🆔══◗╕

#엑스터ㅅㅣ 

하얀색 액체 정맥 전신 마취제 프로포폴 우유주사

트라마돌 사용후기

╘◖══Knocc══◗╛

심심해 섹트 취향 ㅈㄱㅁㄴ",0,0,390,['엑스터ㅅㅣ'],,Twitter Web App
5,2023-03-30 06:11:33+00:00,1.64132E+18,borambbuzihs,정은지,,,"║▌║│█#성북║║█║▌

▊ 트라마돌판매 

🆎🅱️🆗",0,0,143,['성북'],,Twitter Web App
6,2023-03-30 04:24:17+00:00,1.6413E+18,AlimAlimmsx,alim,,,"#ㅅㅅ♻️당일바로

^Yb

﹡마약성 ه 진통제 ه 펜타닐 ه 트라마돌⭒﹡

강력*수면ㅈㅔ✉팝니다",0,0,34,['ㅅㅅ'],,Twitter Web App
7,2023-03-30 03:51:01+00:00,1.64129E+18,AlimAlimmsx,alim,,,"#우울증♻️당일바로

Ika

﹡액체 ه 가루형 ه 작업 ه 수면제⭒﹡

트라마돌✉팝니다",0,0,47,['우울증'],,Twitter Web App
8,2023-03-30 03:13:28+00:00,1.64128E+18,d06df4c4cc,남덕우,,,"╓══Ｋạ톡 🆔══╖

#최음ㅈㅔ 

트라마돌 구매

클럽용 캔디 파티 마약 엑스터시 몰

╙══Knocc══╜

애널 빅걸성애자 fwb 속살",0,0,116,['최음ㅈㅔ'],,Twitter Web App
9,2023-03-30 02:37:13+00:00,1.64127E+18,eh6cxccc10,박은향,,,"예약⋟－Аҳŗịṅḡ－⋞

#프로포폴

트라마돌 구매

수면제 판매

전남 함평  오늘🌙밤 도착",0,0,19,['프로포폴'],,Twitter Web App
10,2023-03-29 19:16:54+00:00,1.64116E+18,mgcreckless,창원좌표딜러구함 패치 스틸녹스판매(떨),,,"▶ ㅌㄹㄱㄹ 24시상담 &gt;&gt; p i n k m a n 1 1 4 &lt;&lt; 
  
부산트라마돌  
고퀄아이스  
신의눈물구입  
서울대마  
충청도안전좌표  
강남합성대마  
  
#환각버섯사는방법 https://t.co/kTieC1Flx5",0,0,54,['환각버섯사는방법'],"[Photo(previewUrl='https://pbs.twimg.com/media/FsaQA-zaMAA9S8e?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FsaQA-zaMAA9S8e?format=jpg&name=orig', altText=None)]",Twitter Web App
