,type1,type2,date,id,user.username,user.displayname,place,user.location,content,likeCount,retweetCount,viewCount,hashtags,media,sourceLabel
0,GHB,발정제,2021-03-06 14:57:45+00:00,1.36821e+18,gije_cho,조기제,,대한민국 서울,ボ[카카오톡 + EHKT ]15 빻은 깨 ∩ 떨 먹고 3시 넘어서 ロ 작대기 소스를 만들었는데 ヮ 발정제 후추를 더 넣어주면 ワ 구입 김치 겉잎으로 꽁치 한토막을 ョ 구매 오리는 와인숙성훈제오리더라고요 ワ 대마초 한식 이탈리아 스페인 태국 요리의 ミ 캔디 가능하다니 실화인가요 ⌒ 대마 ボ,0,0,,,,Twitter Web App
1,GHB,발정제,2021-03-12 14:39:17+00:00,1.37038e+18,Q54tEl2QSMCVIOI,성빙,,,ヨ[카카오톡 + EHKT ]살아온 나의 노력이 フ 떨 정확한 재료의 ペ 작대기 완벽하게 적응이 ∩ 발정제 ② 넣고 골고루 ! #아이스 한국 야쿠르트 하이프레시 밀키트 ∨ #작대기 두부김치해야겠어요 ' 대마초 * 캔디 여유롭게 만들어 보세요 ホ 대마 ヨ https://t.co/mLWAKrHpXH,0,0,,"['아이스', '작대기']","[Photo(previewUrl='https://pbs.twimg.com/media/EwSU5EjVgAEq1gu?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/EwSU5EjVgAEq1gu?format=jpg&name=orig', altText=None)]",Twitter Web App
2,GHB,최음제,2022-07-15 06:21:14+00:00,1.54783e+18,H1kUodcLjGk8bjR,심상봉,,,여성 최음제 판매㎲ https://t.co/LgpTEjmz8x ╁씨엘팜 비닉스 필름 구입 사이트 ┗ : https://t.co/xAHHMdSSo7,0,0,,,,Twitter Web App
3,GHB,물뽕,2022-08-08 22:34:46+00:00,1.55677e+18,jkmister11,Mister,,,#이슈 #맛집 #정보 피디수첩 클럽 유흥업소 범죄에 사용된 마약 GHB 물뽕 체내 검출 되지 않는 성분 오늘방송 다시보기 https://t.co/vbUvng4mwG,0,0,,"['이슈', '맛집', '정보']",,Tistory2Twitter
4,GHB,물뽕,2022-08-13 06:12:40+00:00,1.55834e+18,Duckhoo101,꾸??¹⁴³,,꼬레아 ,"#김학의 
#국민의당 
#특수강간범
#물뽕
#마약
#박근혜 정부
#법무부차관 
#검사출신",0,0,,"['김학의', '국민의당', '특수강간범', '물뽕', '마약', '박근혜', '법무부차관', '검사출신']",,Twitter for Android
5,GHB,물뽕,2022-08-16 13:16:00+00:00,1.55953e+18,tbxpavh,해킹범 뒤진다,,,"??
물뽕 멜돔  멜돔  경기 
??",0,0,,,,Twitter for Android
6,GHB,물뽕,2022-08-24 18:36:04+00:00,1.56251e+18,2014217,rr,,,대앱 야그램 건강 건강 물뽕,0,0,,,,Twitter for Android
7,GHB,물뽕,2022-08-29 13:15:21+00:00,1.56424e+18,frNtY6HhGJbQEa9,ㅗㅗㅗ,,,"?
물뽕 아들스타 빨간입술 #ㅍㄹ 
??",0,0,,['ㅍㄹ'],,Twitter for Android
8,GHB,최음제,2022-09-03 04:05:45+00:00,1.56591e+18,hth0893,은정,,,"Happy b b o n g

해피 해피뽕 

아이스작대기 전문 딜러

아이스효능직빵 삥두 떨파는곳소개 
제주아이스 정품아이스파는곳소개 떨판매

파티약 떨파는곳 엑스터시 
떨삽니다 최음제 

엑스터시 액상 
대마액상 떨액상 차가운술 

#아이스파는곳
엑스터시 https://t.co/gLEd3ZmCxM",0,0,,['아이스파는곳'],"[Photo(previewUrl='https://pbs.twimg.com/media/Fbs-Y5KUYAAo08P?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Fbs-Y5KUYAAo08P?format=jpg&name=orig', altText=None)]",Twitter Web App
9,GHB,최음제,2022-09-08 09:07:03+00:00,1.5678e+18,ksj3318,김선진,,korea,"텔레:MooNice777

아이스샘플:20만
아이스0.5:40만
아이스1.G:70만
캔디 케이 브액 떨 액상 대마 브액 

ㅂㄷ 한작대기 BD주사기

대마 떨 최음제

 작대기 샘플20만

#대마
#떨구매 https://t.co/0MjoUkoZuW",0,0,,"['대마', '떨구매']","[Photo(previewUrl='https://pbs.twimg.com/media/FcHzTjTagAIbAbU?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FcHzTjTagAIbAbU?format=jpg&name=orig', altText=None)]",Twitter Web App
10,GHB,최음제,2022-09-08 11:39:41+00:00,1.56784e+18,wlsgur0077,주진혁,,,"텔레:MooNice777

아이스샘플:20만
아이스0.5:40만
아이스1.G:70만
캔디 케이 브액 떨 액상 대마 브액 

#대마초

반작대기 ㅈㄷㄱㅇㄹ 반작대기

최음제 떨느낌 떨

샘플20만 대마 떨

#아이스작대기 https://t.co/K78Dyk6lUZ",0,0,,"['대마초', '아이스작대기']","[Photo(previewUrl='https://pbs.twimg.com/media/FcIWPbZaMAA3HD5?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FcIWPbZaMAA3HD5?format=jpg&name=orig', altText=None)]",Twitter Web App
