,type1,type2,date,id,user.username,user.displayname,place,user.location,content,likeCount,retweetCount,viewCount,hashtags,media,sourceLabel
0,LSD,엘에스디,2021-01-01 07:28:03+00:00,1.344908230405722e+18,sorrowslow,deepgreen,,대한민국,"졸피뎀 그것때문이라고??
홍종욱딸래미는 엘에스디 밀반입에 집유 때렸으면서🤬🖕
졸피뎀에 검찰수사라,,밀반입이면 흠~😑
졸피뎀 몇 년전만 해도 온갖 동네병원에서 다처방해줌. 그렇다고 잘했다는건 아니지만😞
중독이 무섭지 그래도 졸피뎀은 금연보다 백배는 쉬워요 수면장애 기타등등 잘 극복하길",0,0,,,,Twitter for iPhone
1,LSD,엘에스디,2021-01-07 05:22:53+00:00,1.3470510573696e+18,satanicfilly,🕯콜라보 배포중🕯얼듀,,🏳️‍⚧️ She/Her ,"핑크엘에스디 드럼, 베이스까지 그릴 예정",0,0,,,,Twitter for Android
2,LSD,엘에스디,2021-01-17 13:16:48+00:00,1.350794200388825e+18,WTPebble,돌돌,,집,"@2ftt0614 보통은 사람이 엘에스디를 빨아묵지 않나요
이 앨에스디는 도트를 빨아먹습니다",0,0,,,,Twitter for iPhone
3,LSD,엘에스디,2021-01-17 13:17:29+00:00,1.350794372023894e+18,2ftt0614,러닝 중에 성사된 2ftt!!,,dldpvm614은하 xlxl행성 거주 중,"@보통은 사람이 엘에스디를 빨아묵지 않나요
이 앨에스디는 도트를 빨아먹습니다

뼙다회쨩 빨아묵을 사람",0,0,,,,Twitter for Android
4,LSD,엘에스디,2021-01-19 14:24:07+00:00,1.3515359176688435e+18,color8838,정모미,,call もみ,"사실 과학교과서에 나오는 한페이지가 온통 새까맣고 행성들만 뙇뙇있는거 보면 좀 묘하게 긴장되고 무섭더라 하지만 일부러 찾아보게됨 마치 괜히 엘에스ㄷㅣ게임을 찾아보는것처럼
스릴의 일종같음",1,0,,,,Twitter Web App
5,LSD,엘에스디,2021-01-22 12:14:15+00:00,1.352590397495677e+18,BoraBrown5,Bora Brown,,,"오방
배드트립
액상허브
고기소량입고
엘에스디

텔레그램 gbl42
고블린입니다

밤술에 다 잇습니다 안전거래 라이브인증",0,0,,,,Twitter Web App
6,LSD,엘에스디,2021-01-25 09:06:09+00:00,1.3536302260355768e+18,ElizabethGietz3,안전한 좌표 바로 발급 사칭조심,,,"엘에스디지속시간
배드트립
푸른술
케이삽니다

텔레 : nursejoy421

사기안당하는방법! 실시간물건인증 못해주면 백프로사기. https://t.co/AJw5d9wX9P",0,0,,,"[Photo(previewUrl='https://pbs.twimg.com/media/EskPfPHU4AInXlp?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/EskPfPHU4AInXlp?format=jpg&name=orig', altText=None)]",Twitter Web App
7,LSD,엘에스디,2021-01-27 15:44:03+00:00,1.3544551340135465e+18,iv_viviane,ㅌㄹ maojju,,,"옾화 엘에스디
cocaine 쿠쉬
CBD 도리도리팔아요

서울 경기권 최상퀄리티 대마 판매 합니다.
사칭조심 ㅡㅡ 아디정확히보고 문의해라 맞고 괜히 ㅈㄹ 하지말고

트위터 제 프로필 소개에 채널링크 있어요 https://t.co/b5Wc6jsvCb",0,0,,,"[Photo(previewUrl='https://pbs.twimg.com/media/Esv9v5tVcAYf4WH?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Esv9v5tVcAYf4WH?format=jpg&name=orig', altText=None)]",Twitter Web App
8,LSD,엘에스디,2021-02-01 14:52:45+00:00,1.3562541657359278e+18,_Jungsu156,🌸🖤✦ . ˖ ͘ ⭑ ֺ ๋🤍🌸,,I. @OOMW_CMS ⟡ H. ଳ,"아,,,,컴연열기도.ㅈㄴ귀찬다커미션받습니다디엠주세요
신뢰입니다엘에스디두흉반전신고르시면받은만큼어쩌구
믿든지말든지아무튼받습니다
ㄳ합니다",1,0,,,,Twitter Web App
9,LSD,엘에스디,2021-02-05 15:22:09+00:00,1.3577111157030994e+18,uiku_02,이쿠,,H-트레틀 사용,"걍 내가 자캐들 반응 보고싶어서 그린 만화.. 엘디는 귀찮아서 엘에스디로 그림

만약 보신다면.. 좀 쿠소함 주의하셔야할듯ㅋㅋ https://t.co/1091owLpj8",0,0,,,"[Photo(previewUrl='https://pbs.twimg.com/media/EtePA0sVkAEwheo?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/EtePA0sVkAEwheo?format=jpg&name=orig', altText=None), Photo(previewUrl='https://pbs.twimg.com/media/EtePB9xVoAYwimu?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/EtePB9xVoAYwimu?format=jpg&name=orig', altText=None), Photo(previewUrl='https://pbs.twimg.com/media/EtePC_cVcAEhDUF?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/EtePC_cVcAEhDUF?format=jpg&name=orig', altText=None), Photo(previewUrl='https://pbs.twimg.com/media/EtePEDBUcAM6AlX?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/EtePEDBUcAM6AlX?format=jpg&name=orig', altText=None)]",Twitter for Android
10,LSD,엘에스디,2021-02-13 16:39:21+00:00,1.360629647646466e+18,guamoripotaku,🌟명예 파렴치한관계성콜렉터,,ing.. 스쿨리더 낙엽대 유원 자꾸자꾸,"나...
엘에스디밖에효능몰랏어",0,0,,,,Twitter for iPhone
11,LSD,엘에스디,2021-02-18 11:32:12+00:00,1.3623642896259072e+18,CREEN_17,|암요한실장plz|,,nick: 크륜,와 엘에스디 에어팟케이스...............완전예뻐요ㅜ,0,0,,,,Twitter for iPhone
12,LSD,엘에스디,2021-02-19 17:50:02+00:00,1.3628217621913969e+18,a_morfa_ti,팟이…,,,"@Legend_Knit 그러니까 약간..
엘에스디체험 이런거라는 뜻이죠",0,0,,,,Twitter for iPhone
13,LSD,엘에스디,2021-02-20 00:02:48+00:00,1.3629155697673871e+18,VirgoSpica_,종말🌠,,pale blue eyes,버킷리스트 중 하나가 사이키델릭의 시작을 만든 엘에스디 빨아보는 거였는데 지금은 아님,0,0,,,,Twitter for Android
14,,,2021-03-06 14:57:45+00:00,1.36821e+18,gije_cho,조기제,,대한민국 서울,ボ[카카오톡 + EHKT ]15 빻은 깨 ∩ 떨 먹고 3시 넘어서 ロ 작대기 소스를 만들었는데 ヮ 발정제 후추를 더 넣어주면 ワ 구입 김치 겉잎으로 꽁치 한토막을 ョ 구매 오리는 와인숙성훈제오리더라고요 ワ 대마초 한식 이탈리아 스페인 태국 요리의 ミ 캔디 가능하다니 실화인가요 ⌒ 대마 ボ,0,0,,,,Twitter Web App
15,,,2021-03-12 14:39:17+00:00,1.37038e+18,Q54tEl2QSMCVIOI,성빙,,,ヨ[카카오톡 + EHKT ]살아온 나의 노력이 フ 떨 정확한 재료의 ペ 작대기 완벽하게 적응이 ∩ 발정제 ② 넣고 골고루 ! #아이스 한국 야쿠르트 하이프레시 밀키트 ∨ #작대기 두부김치해야겠어요 ' 대마초 * 캔디 여유롭게 만들어 보세요 ホ 대마 ヨ https://t.co/mLWAKrHpXH,0,0,,"['아이스', '작대기']","[Photo(previewUrl='https://pbs.twimg.com/media/EwSU5EjVgAEq1gu?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/EwSU5EjVgAEq1gu?format=jpg&name=orig', altText=None)]",Twitter Web App
16,LSD,엘에스디,2021-03-13 11:11:27+00:00,1.3706939878293586e+18,kkkoongya,쿵야,,인장 인망님!!,엘에스디에서 받은고 &gt;.&lt; https://t.co/gXhwKFWTLZ,2,0,,,"[Photo(previewUrl='https://pbs.twimg.com/media/EwWu6GyVEAAoTAe?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/EwWu6GyVEAAoTAe?format=jpg&name=orig', altText=None)]",Twitter for iPhone
17,LSD,엘에스디,2021-03-18 17:48:11+00:00,1.3726057696657613e+18,CCCB971003_,삼찬E,,,"@gabin_straykids 헐,
헐,
그게그거엿어요??
저는엘에스디 피처링시아길래
우와그랫군요",0,0,,,,Twitter for iPad
18,LSD,엘에스디,2021-03-23 12:47:46+00:00,1.374342106605445e+18,momoland___jane,momoland__jane,,Republic of Korea,"2. 얼킨 서울패션위크 디지털 패션위크 영상을 시청한 후 폴라로이드 사진을 소장하고 싶은 셀러브리티의 영상 장면을 캡쳐한다.
3. 영상 캡쳐 이미지와 함께 아래 해시 태그를 추가하여 인스타그램에 게시한다.

#ulkin #lsdcollection #얼킨 #엘에스디
* 이벤트 기간: 3/23 - 3/25",0,0,,"['ulkin', 'lsdcollection', '얼킨', '엘에스디']",,Twitter Web App
19,LSD,엘에스디,2021-03-23 12:50:32+00:00,1.3743428023733699e+18,momoland___jane,momoland__jane,,Republic of Korea,#seoulfashionweekfw2021 #2021fw서울패션위크 #sfw2021fw #digitalfashionshow #서울컬렉션 #seoulcollection #국립중앙박물관 #nationalmuseumofkorea #nmk #ulkin #lsdcollection #얼킨 #엘에스디 #서울패션위크,0,0,,"['seoulfashionweekfw2021', '2021fw서울패션위크', 'sfw2021fw', 'digitalfashionshow', '서울컬렉션', 'seoulcollection', '국립중앙박물관', 'nationalmuseumofkorea', 'nmk', 'ulkin', 'lsdcollection', '얼킨', '엘에스디', '서울패션위크']",,Twitter Web App
20,LSD,엘에스디,2021-03-25 14:04:26+00:00,1.375086175858344e+18,TripleSide_HG,아이루☂アイル🌸4月30日春音,,,@s_aroooo 엘에스디빨아보고싶다,0,0,,,,Twitter for Android
21,LSD,엘에스디,2021-03-27 13:45:49+00:00,1.375806263737471e+18,m00nplam,생문ㅎㅎ,,지옥불,"@Sympathy_4 님미첫죠그냥
엘에스디한거아님?뱉어",0,0,,,,Twitter for Android
22,LSD,엘에스디,2021-03-27 13:46:45+00:00,1.3758064997593948e+18,m00nplam,생문ㅎㅎ,,지옥불,@Sympathy_4 아씨발 로키가 중2때 역사시간에엘에스디첨햇다고 나한테고백햇던거생각남,0,0,,,,Twitter for Android
23,LSD,엘에스디,2021-04-03 17:24:48+00:00,1.378398088704893e+18,real_sayak7,친근,,포스타입,"근데 진짜 비엘에스디는 뭔데요
바벨은 성경에서라도 따왔다 치지
저건 아무리 들어도 비엘드씨처럼 들린다고요",4,0,,,,Twitter for iPhone
24,LSD,엘에스디,2021-04-04 02:08:41+00:00,1.3785299301205565e+18,m00nplam,생문ㅎㅎ,,지옥불,외국애들이랑 친해지면 회화 배울 줄 알앗는데 걔가 1학년 역사시간에 엘에스디 처음한거나 알게 됨 악틱몽키즈같음 이새끼 취했을때만 연락함 Dude I'm so HIGH XD 이지랄 그리고 고양이 얘기밖에 안함 쏘뻑킹큩암다잉 이런말밖에 못함,1,0,,,,Twitter for Android
25,LSD,엘에스디,2021-04-05 04:11:41+00:00,1.3789232717693215e+18,needtodosomthin,아사직전의말랑이,,팬텀싱어,시아좋아. 엘에스디좋아.,1,0,,,,Twitter for iPhone
26,LSD,엘에스디,2021-04-06 04:14:44+00:00,1.3792864270709187e+18,immangnani,나니,,톡톡 쏘는 이 버블이 bubbly,@real_sayak7 어 근데 비엘에스디는 피토하는 화학약품 아니에여? 마약은 rdu900으로 알고있는데(아닐지도,0,0,,,,Twitter Web App
