type1,type2,date,id,user.username,user.displayname,place,user.location,content,likeCount,retweetCount,viewCount,hashtags,media,sourceLabel,Unnamed: 0
아편,신의눈물,2021-01-09 02:18:36+00:00,1.34773e+18,Mariana47241037,텔레그램 candys1004,,,"신의눈물 사끼 레드불

엘
차가운술소량입고
엑스터시구입
캐너비스
위드정품

지방권도 가능!! https://t.co/MO4UlvQ31M",0,0,,,"[Photo(previewUrl='https://pbs.twimg.com/media/ErQYx1JUcAAnH7c?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/ErQYx1JUcAAnH7c?format=jpg&name=orig', altText=None)]",Twitter Web App,
아편,신의눈물,2021-01-21 16:20:07+00:00,1.35229e+18,MeganHouchens2,텔레그램 tkwk21,,,"문아이스 문의주세요
고급북술 확보

액상떨구입처
케타민
찬술
신의눈물

디엠티 캔디구매 고기정품 암페타민",0,0,,,,Twitter Web App,
아편,트라마돌,2021-04-26 15:09:52+00:00,1.3867e+18,PushKin_Coin,hhooogoooo,,,"@SlOg8UxyBIAAbto @AJgrikulAhMF6vT @usb2413 @nanana05255660 @1Kwu6GWPd3E7bg9 진통제
트라마돌
수면제
졸피뎀
수면유도제
스틸녹스
스틸녹스졸피뎀
졸피드

☞ 텔레그램 mmboy45 ☜
fdsdf",0,0,,,,Twitter Web App,440.0
아편,신의눈물,2021-11-25 05:26:47+00:00,1.46374e+18,s618124794,❤텔＿레 친🧡＿구 맺💛＿기Αpm８８８💚💙,,,"ss than he i🌳 #환각주ㅅㅏ🎍 ♡ͣ ♡ͤ ♡ͥ ♡ͦ ♡ͧ ♡ͨ ♡ͩ ♡ͪ ♡ͫ ♡ͬ ♡ͭ ♡ͮ ♡ͯ 

s for his fil🌴 #환각ㅁㅏ약🎋 ♡ͣ ♡ͤ ♡ͥ ♡ͦ ♡ͧ ♡ͨ ♡ͩ ♡ͪ ♡ͫ ♡ͬ ♡ͭ ♡ͮ ♡ͯ

m roles, de🌱 #신의눈물🍃

 ♡ͣ ♡ͤ ♡ͥ ♡ͦ ♡ͧ ♡ͨ ♡ͩ ♡ͪ ♡ͫ ♡ͬ ♡ͭ ♡ͮ ♡ͯ 
spite havin🌿 #우유주ㅅㅏ🍂",0,0,,"['환각주ㅅㅏ', '환각ㅁㅏ약', '신의눈물', '우유주ㅅㅏ']",,Twitter Web App,
아편,신의눈물,2022-04-19 12:29:30+00:00,1.51639e+18,kPTODajzeSAnksd,최기영,,,"💱정량&amp;안전거래원칙♑

#아이스작대기 판매방법

♀텔레cok778🔛

암페타민 필로폰 복용🕊

♂충북채팅사이트⊥

셔츠룸💊 VS 신의눈물
~(￣▽￣)~ https://t.co/9RwjYK9MbU",0,0,,['아이스작대기'],"[Photo(previewUrl='https://pbs.twimg.com/media/FQtPsHDagAU4_6O?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FQtPsHDagAU4_6O?format=jpg&name=orig', altText=None)]",Twitter Web App,
아편,트라마돌,2022-06-10 12:52:58+00:00,1.53524e+18,hjjang8888,경희,,,"𒌊  𒍥  트라마돌
        𒌆  𒍞   여성𒊱작업제𒊱물뽕𒊱ㅁㅃ𒀪
            𒋾  𒍛   필요할때𒂟언제든지

𒎌  🅷🆈🆄🅽
𒐒#서울 
𒎌  ❶❻❽❹",0,0,,['서울'],,Twitter Web App,302.0
아편,트라마돌,2022-07-21 04:06:05+00:00,1.54997e+18,dmsal103,초코,,,"🏍 🏍

˗ˋˏ ♡ ˎˊ˗  강력졸피뎀구매대행   ✮꙳ 𓂃 𓂂𓏸 

중추신경계에 작용한 마약성 진통제 트라마돌

⋆͛♡⋆͛  팝 니 다  ⋆͛♡⋆͛

🏍 🏍

Μⅰf Ⅷ Ⅸ

부산 비밀🏍️배송

🏍 🏍",0,0,,,,Twitter Web App,296.0
아편,트라마돌,2022-08-11 04:17:47+00:00,1.55758e+18,emiyagook2zzada,1984,,,"💥  #강력수면제 💬

༺۝༻

~❤ 　 #트라마돌   •.¸✯
🦄   팝ˑ니ˑ다  · ⩇⩇:⩇⩇

🦢 ༉   충남 아산시˚ˑ
•✎•  총알ˑ배송  🐩

  🍈༉‧₊˚✧ 💭　·★.
  
📱 ✆ℳ┬ճճ৪",0,0,,"['강력수면제', '트라마돌']",,Twitter Web App,291.0
아편,트라마돌,2022-08-17 01:40:29+00:00,1.55972e+18,gangjaaa,이수진,,,"↱  #트라마돌
       ↱   액체⧭가루형⧭작업⧭수면제≟
           ↱   실시간𒂟인증

⇗⇘⇘
🅷🆈🆄🅽
부산 #금정 
❶❻❽❹  
⇪⇪⇪⏎",0,0,,"['트라마돌', '금정']",,Twitter Web App,287.0
아편,졸피뎀,2022-08-20 16:16:44+00:00,1.56102e+18,slDmDMRHUlX2QKJ,ㅇㅇ,,,"수면제 구합니다 
디엠주세요
#졸피뎀 #수면제 #스틸녹스",0,0,,"['졸피뎀', '수면제', '스틸녹스']",,Twitter for Android,
