type1,type2,date,id,user.username,user.displayname,place,user.location,content,likeCount,retweetCount,viewCount,hashtags,media,sourceLabel
알킬니트라이트,랏슈,2022-09-04 06:02:01+00:00,1.56631e+18,seupeulas,에메랄드 스프랏슈,,,"파트랏슈 
재입고 되었숩니다😍 https://t.co/PeTzQWN9vB",0,0,,,"[Photo(previewUrl='https://pbs.twimg.com/media/Fbyie3aVUAAnGxo?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Fbyie3aVUAAnGxo?format=jpg&name=orig', altText=None)]",Twitter Web App
알킬니트라이트,랏슈,2022-09-17 08:29:27+00:00,1.57105e+18,poppersrush9123,군인 게이 😎 랏슈 팝퍼 필름 섹트 러시 파퍼,,,파트랏슈 입고 완 https://t.co/ObrQ6IUPq7,0,0,,,"[Photo(previewUrl='https://pbs.twimg.com/media/Fc2A6UmaEAAZdXv?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Fc2A6UmaEAAZdXv?format=jpg&name=orig', altText=None)]",Twitter Web App
알킬니트라이트,랏슈,2022-09-19 11:21:26+00:00,1.57182e+18,poppersrush9123,군인 게이 😎 랏슈 팝퍼 필름 섹트 러시 파퍼,,,에메랄드 파트랏슈우우우 https://t.co/bYsWzBQJIf,0,0,,,"[Gif(thumbnailUrl='https://pbs.twimg.com/tweet_video_thumb/FdA7j4YakAAoPtm.jpg', variants=[VideoVariant(url='https://video.twimg.com/tweet_video/FdA7j4YakAAoPtm.mp4', contentType='video/mp4', bitrate=0)], altText='Minions Excited GIF')]",Twitter Web App
알킬니트라이트,정글주스,2022-10-20 02:34:22+00:00,1.58292e+18,yudjjc78dd,문성빈,,,"٩༼๑･ิﻌ･ิ༽۶٩༼･ิﻌ･ิ๑༽۶

애시드➮예_약🌜저&amp;녁🚗도착🎈

🎢 #정글주스

대구 중구",0,0,,['정글주스'],,Twitter Web App
알킬니트라이트,랏슈,2022-10-21 07:27:46+00:00,1.58336e+18,poppersrush9123,군인 게이 😎 랏슈 팝퍼 필름 섹트 러시 파퍼,,,"파트랏슈 재고 부족으로 
신규는 홍보기간에만 받아요
10월 21~23 까지 https://t.co/WDGTEs16iE",1,0,,,"[Gif(thumbnailUrl='https://pbs.twimg.com/tweet_video_thumb/Ffk48wAVIAIDY1T.jpg', variants=[VideoVariant(url='https://video.twimg.com/tweet_video/Ffk48wAVIAIDY1T.mp4', contentType='video/mp4', bitrate=0)], altText='Aww GIF')]",Twitter Web App
알킬니트라이트,랏슈,2022-10-23 04:10:09+00:00,1.58403e+18,poppersrush9123,군인 게이 😎 랏슈 팝퍼 필름 섹트 러시 파퍼,,,파트랏슈 나 너무 추워 https://t.co/4OMtsftr6f,0,0,,,"[Photo(previewUrl='https://pbs.twimg.com/media/Ffue5brVEAACpaZ?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Ffue5brVEAACpaZ?format=jpg&name=orig', altText=None)]",Twitter Web App
알킬니트라이트,랏슈,2022-10-23 05:29:22+00:00,1.58405e+18,poppersrush9123,군인 게이 😎 랏슈 팝퍼 필름 섹트 러시 파퍼,,,"나는 랏슈를 해본적이
#게이 #섹트 #블루드 #잭디",1,0,,"['게이', '섹트', '블루드', '잭디']",,Twitter Web App
알킬니트라이트,랏슈,2022-10-27 14:42:34+00:00,1.58564e+18,poppersrush9123,군인 게이 😎 랏슈 팝퍼 필름 섹트 러시 파퍼,,,에메랄도스플랏슈 https://t.co/k4PMjM5mtJ,0,0,,,"[Gif(thumbnailUrl='https://pbs.twimg.com/tweet_video_thumb/FgFWAhYVIAA2RNv.jpg', variants=[VideoVariant(url='https://video.twimg.com/tweet_video/FgFWAhYVIAA2RNv.mp4', contentType='video/mp4', bitrate=0)], altText='Kids Dancing GIF')]",Twitter Web App
알킬니트라이트,러쉬파퍼,2022-10-31 01:44:01+00:00,1.5868967419278213e+18,gaulgulum,가을구름,,Seoul.Korea,"깔*끔하고
거*짓없는
거*래

ఫ 환각버섯

భ #브액

Ka↪️Kao
🆔➡️
♛Mye９♛

ಜ 러쉬파퍼 

ఛ 서울 #중구",0,0,,"['브액', '중구']",,Twitter Web App
알킬니트라이트,랏슈,2022-11-13 08:37:00+00:00,1.59171e+18,poppersrush9123,군인 게이 😎 랏슈 팝퍼 필름 섹트 러시 파퍼,,,파트랏슈 말고 그거에요 ㅋㅋㅋ https://t.co/WZ7cAET6na,2,0,,,"[Photo(previewUrl='https://pbs.twimg.com/media/FhblUp9UcAAZAVM?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FhblUp9UcAAZAVM?format=jpg&name=orig', altText=None), Photo(previewUrl='https://pbs.twimg.com/media/FhblUp8UoAA20FM?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FhblUp8UoAA20FM?format=jpg&name=orig', altText=None)]",Twitter Web App
알킬니트라이트,랏슈,2022-11-16 23:17:30+00:00,1.59302e+18,poppersrush9123,군인 게이 😎 랏슈 팝퍼 필름 섹트 러시 파퍼,,,오늘도 일해야지 파트랏슈 https://t.co/mrfJlD0TbU,0,0,,,"[Gif(thumbnailUrl='https://pbs.twimg.com/tweet_video_thumb/FhuLqlfUUAAXvbv.jpg', variants=[VideoVariant(url='https://video.twimg.com/tweet_video/FhuLqlfUUAAXvbv.mp4', contentType='video/mp4', bitrate=0)], altText='Nicki Minaj Wow GIF')]",Twitter Web App
알킬니트라이트,랏슈,2022-11-18 03:02:06+00:00,1.59344e+18,poppersrush9123,군인 게이 😎 랏슈 팝퍼 필름 섹트 러시 파퍼,,,파트랏슈 오후 4시부터✨ https://t.co/9GEkuIEEh9,0,0,,,"[Gif(thumbnailUrl='https://pbs.twimg.com/tweet_video_thumb/Fh0IqgXVUAA-MeV.jpg', variants=[VideoVariant(url='https://video.twimg.com/tweet_video/Fh0IqgXVUAA-MeV.mp4', contentType='video/mp4', bitrate=0)], altText='Aww GIF')]",Twitter Web App
