type1,type2,date,id,user.username,user.displayname,place,user.location,content,likeCount,retweetCount,viewCount,hashtags,media,sourceLabel
코카인,지역명코카인,2021-01-14 13:26:25+00:00,1.34971e+18,n9oJ2Olm2NYVz0T,오승미,,,"강남
오프만남
변녀
발정
얼음구입방법
오프
코카인팔아요
만남알바
허브가격
오프녀
폰섹
캐너비스
고기입고
자위
긴밤
벤조디아제핀구해요아이스작대기팝니다
영섹
라이트
아이스복용법
prefer72361 https://t.co/d02Anv2pPm",0,0,,,"[Photo(previewUrl='https://pbs.twimg.com/media/ErshmK3VQAEwpwB?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/ErshmK3VQAEwpwB?format=jpg&name=orig', altText=None)]",Twitter for Android
코카인,지역명코카인,2021-03-12 09:22:56+00:00,1.3703e+18,Nge1FT5VTyoIp8X,소영,,,"발정
코카인팔아요허브가격
벤조디아제핀구해요
아이스작대기팝니다
긴밤
변녀
얼음구입방법
아이스복용법
영섹
개인만남
오프
오프만남
강남
폰섹
고기입고
개인
오프녀
만남알바
자위
개인조건
imply37532 https://t.co/oMT01lRqq8",0,0,,,"[Photo(previewUrl='https://pbs.twimg.com/media/EwRMfRfVoAIo_oU?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/EwRMfRfVoAIo_oU?format=jpg&name=orig', altText=None)]",Twitter for Android
코카인,지역명코카인,2021-03-30 10:22:34+00:00,1.37684e+18,kwonoryun,lotsixtyone,,,"포천영섹
죽백얼음구입방법
지제강남
여주만남알바
비전오프
원주고기입고
세교코카인팔아요
춘천벤조디아제핀구해요
동삭오프녀
용이아이스작대기팝니다
군문긴밤
양평허브가격
연천오프만남
가평아이스복용법
focus4723 https://t.co/qU9w96hYVv",0,0,,,"[Photo(previewUrl='https://pbs.twimg.com/media/ExuGwcFVIAQH6xT?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/ExuGwcFVIAQH6xT?format=jpg&name=orig', altText=None)]",Twitter for Android
코카인,지역명코카인,2021-05-12 12:33:03+00:00,1.39246e+18,scQy1cROWnJRGke,도롱이,,대한민국,"발정
코카인팔아요
벤조디아제핀구해요
아이스작대기팝니다
긴밤
변녀
얼음구입방법
아이스복용법
영섹
개인만남
오프
오프만남
허브가격강남
폰섹
고기입고
개인
오프녀
만남알바
자위
개인조건
focus86959 https://t.co/uN05zPG3Zv",0,0,,,"[Photo(previewUrl='https://pbs.twimg.com/media/E1MA-_KVEAEI9U-?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/E1MA-_KVEAEI9U-?format=jpg&name=orig', altText=None)]",Twitter for Android
코카인,지역명코카인,2022-07-02 11:18:23+00:00,1.54319e+18,windintheforest,#적폐청산이 미래다#부동산불로소득 100% 환수가 답이다,,,"🐘 I give you all of me forever,

can I have all of you? 📯☞

코카인 전문상선 사쿠라∨

♑채널은 텔레 sakura4466 상담중✨∂
※오전10시~새벽1시 영업합니다≪

#시원한술

부산 아이스작대기 
‍♂️콕≫

☏🥌함평 &amp; 전국 https://t.co/kDNoaDjD8S",0,0,,['시원한술'],"[Photo(previewUrl='https://pbs.twimg.com/media/FWqFBaSUcAAU4xM?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FWqFBaSUcAAU4xM?format=jpg&name=orig', altText=None)]",Twitter Web App
코카인,지역명코카인,2022-07-15 11:34:19+00:00,1.54791e+18,Cowboy16511169,Cowboy,,,"❄ 코카인 전문 판매 ❄
❄ 24/7 문의주세요❄
❄ 1가방   45 ❄
❄ 2가방   80 ❄

https://t.co/gnCug3R9cj

부산은 실시간 좌표 가능하며,
타지역은 당일 가능합니다. https://t.co/uO1a4xGLMT",0,0,,,"[Photo(previewUrl='https://pbs.twimg.com/media/FXtFauyUYAENfyG?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FXtFauyUYAENfyG?format=jpg&name=orig', altText=None)]",Twitter Web App
코카인,지역명코카인,2022-07-15 12:32:39+00:00,1.54792e+18,Cowboy16511169,Cowboy,,,"❄ 코카인 전문 판매 ❄
❄ 24/7 문의주세요❄
❄ 1가방   45 ❄
❄ 2가방   80 ❄

https://t.co/gnCug3R9cj

부산은 실시간 좌표 가능하며,
타지역은 당일 가능합니다. https://t.co/R7HPtWSkZ7",0,0,,,"[Photo(previewUrl='https://pbs.twimg.com/media/FXtS4qdUcAMnL-D?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FXtS4qdUcAMnL-D?format=jpg&name=orig', altText=None)]",Twitter Web App
코카인,지역명코카인,2022-07-16 19:03:06+00:00,1.54838e+18,Cowboy16511169,Cowboy,,,"❄ 코카인 전문 판매 ❄
❄ 24/7 문의주세요❄
❄ 1가방   45 ❄
❄ 2가방   80 ❄

https://t.co/gnCug3A6aj

부산은 실시간 좌표 가능하며,
타지역은 당일 가능합니다. https://t.co/hfc74eeKWi",0,0,,,"[Photo(previewUrl='https://pbs.twimg.com/media/FXz14KBaIAAEFG_?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FXz14KBaIAAEFG_?format=jpg&name=orig', altText=None)]",Twitter Web App
코카인,지역명코카인,2022-07-16 19:11:14+00:00,1.54838e+18,Cowboy16511169,Cowboy,,,"❄ 코카인 전문 판매 ❄
❄ 24/7 문의주세요❄
❄ 1가방   45 ❄
❄ 2가방   80 ❄

https://t.co/gnCug3A6aj

부산은 실시간 좌표 가능하며,
타지역은 당일 가능합니다. https://t.co/lNaSayf4cb",0,0,,,"[Photo(previewUrl='https://pbs.twimg.com/media/FXz3sCJaAAIa3Sz?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FXz3sCJaAAIa3Sz?format=jpg&name=orig', altText=None)]",Twitter Web App
코카인,지역명코카인,2022-07-21 04:40:09+00:00,1.54998e+18,dmsal103,초코,,,"🏆 🏆

˗ˋˏ ♡ ˎˊ˗  환각제   ✮꙳ 𓂃 𓂂𓏸 

강력한 각성제 코카인

⋆͛♡⋆͛  팝 니 다  ⋆͛♡⋆͛

🏆 🏆

Μⅰf Ⅷ Ⅸ

경남 비밀🏍️배송

🏆 🏆",0,0,,,,Twitter Web App
코카인,지역명코카인,2022-07-22 03:47:56+00:00,1.55033e+18,Cowboy16511169,Cowboy,,,"❄ 코카인 전문 판매 ❄
❄ 24/7 문의주세요❄
❄ 1가방   45 ❄
❄ 2가방   80 ❄

https://t.co/gnCug3A6aj

부산은 실시간 좌표 가능하며,
타지역은 당일 가능합니다. https://t.co/PiwW23q1KC",0,0,,,"[Photo(previewUrl='https://pbs.twimg.com/media/FYPd8zsaMAEFCYO?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FYPd8zsaMAEFCYO?format=jpg&name=orig', altText=None)]",Twitter Web App
코카인,지역명코카인,2022-07-27 05:17:02+00:00,1.55216e+18,Cowboy16511169,Cowboy,,,"❄ 코카인 전문 판매 ❄
❄ 24/7 문의주세요❄
❄ 1가방   45 ❄
❄ 2가방   80 ❄

부산은 실시간 좌표 가능하며,
타지역은 당일 가능합니다. https://t.co/lfHQXFhrHS",0,0,,,"[Photo(previewUrl='https://pbs.twimg.com/media/FYpiSrGXkAEOnZy?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FYpiSrGXkAEOnZy?format=jpg&name=orig', altText=None)]",Twitter Web App
코카인,지역명코카인,2022-07-29 17:09:26+00:00,1.55307e+18,Cowboy16511169,Cowboy,,,"❄ 코카인 전문 판매 ❄
❄ 24/7 문의주세요❄
❄ 1가방   45 ❄
❄ 2가방   80 ❄

부산은 실시간 좌표 가능하며,
타지역은 당일 가능합니다.
https://t.co/gnCug3R9cj",0,0,,,,Twitter Web App
코카인,지역명코카인,2022-07-29 17:13:05+00:00,1.55307e+18,Cowboy16511169,Cowboy,,,"https://t.co/gnCug3R9cj

❄ 코카인 전문 판매 ❄
❄ 24/7 문의주세요❄
❄ 1가방   45 ❄
❄ 2가방   80 ❄

부산은 실시간 좌표 가능하며,
타지역은 당일 가능합니다. https://t.co/g8d25twcwO",0,0,,,"[Photo(previewUrl='https://pbs.twimg.com/media/FY2Y4n0UUAEbE79?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FY2Y4n0UUAEbE79?format=jpg&name=orig', altText=None), Photo(previewUrl='https://pbs.twimg.com/media/FY2ZHs6UEAEtu7E?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FY2ZHs6UEAEtu7E?format=jpg&name=orig', altText=None), Photo(previewUrl='https://pbs.twimg.com/media/FY2ZMQQUYAEeweZ?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FY2ZMQQUYAEeweZ?format=jpg&name=orig', altText=None)]",Twitter Web App
코카인,지역명코카인,2022-09-02 16:05:39+00:00,1.56573e+18,T95v3ItlNPsjoTy,김태우,,,"🦍 I give you all of me forever,

can I have all of you? ∈《

코카인 전문상선 사쿠라¶

♤채널은 텔레 sakura4466 상담중♂∇
♀오전10시~새벽1시 영업합니다↘

#시원한술

부산 아이스작대기 
🍙콕⊃

●🧀함평 &amp; 전국 https://t.co/ztHWwoQ7I2",0,0,,['시원한술'],"[Photo(previewUrl='https://pbs.twimg.com/media/FbqYxLcUIAYgmDW?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FbqYxLcUIAYgmDW?format=jpg&name=orig', altText=None)]",Twitter Web App
코카인,지역명코카인,2022-09-03 00:23:09+00:00,1.56586e+18,T95v3ItlNPsjoTy,김태우,,,"😆 I give you all of me forever,

can I have all of you? ▷＞

코카인 전문상선 사쿠라♀

⚗채널은 텔레 sakura4466 상담중▧¶
￡오전10시~새벽1시 영업합니다∧

#시원한술

부산 아이스작대기 
🚦콕♨

▒♂함평 &amp; 전국 https://t.co/AWgBxru1lV",0,0,,['시원한술'],"[Photo(previewUrl='https://pbs.twimg.com/media/FbsLGKdUIAAXHVv?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FbsLGKdUIAAXHVv?format=jpg&name=orig', altText=None)]",Twitter Web App
코카인,지역명코카인,2022-09-03 06:42:26+00:00,1.56595e+18,T95v3ItlNPsjoTy,김태우,,,"ㅱ I give you all of me forever,

can I have all of you? 🏚▩

코카인 전문상선 사쿠라♪

🎍채널은 텔레 sakura4466 상담중👩‍💼⌒
♨오전10시~새벽1시 영업합니다⇒

#시원한술

부산 아이스작대기 
🐝콕⇔

≒♥함평 &amp; 전국 https://t.co/yCn4nuzi21",0,0,,['시원한술'],"[Photo(previewUrl='https://pbs.twimg.com/media/FbtiBTSUYAAS2Eh?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FbtiBTSUYAAS2Eh?format=jpg&name=orig', altText=None)]",Twitter Web App
코카인,지역명코카인,2022-09-11 12:48:17+00:00,1.56894e+18,dishaltua,.,,대한민국 서울,"✊ I give you all of me forever,

can I have all of you? ∵♧

코카인 전문상선 사쿠라∏

👖채널은 텔레 sakura4466 상담중🚨◎
∠오전10시~새벽1시 영업합니다∇

#시원한술

부산 아이스작대기 
🥰콕∽

♧￡함평 &amp; 전국 https://t.co/oxF2jshINp",0,0,,['시원한술'],"[Photo(previewUrl='https://pbs.twimg.com/media/FcYCd_LaQAA7yoB?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FcYCd_LaQAA7yoB?format=jpg&name=orig', altText=None)]",Twitter Web App
코카인,지역명코카인,2022-09-11 21:31:32+00:00,1.56908e+18,dishaltua,.,,대한민국 서울,"🐸 I give you all of me forever,

can I have all of you? 🐗↖

코카인 전문상선 사쿠라∧

🎒채널은 텔레 sakura4466 상담중♠￡
≫오전10시~새벽1시 영업합니다⊃

#시원한술

부산 아이스작대기 
😙콕￡

∃🐗함평 &amp; 전국 https://t.co/Km2Yqlm8Av",0,0,,['시원한술'],"[Photo(previewUrl='https://pbs.twimg.com/media/FcZ5w_iagAAMVic?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FcZ5w_iagAAMVic?format=jpg&name=orig', altText=None)]",Twitter Web App
코카인,지역명코카인,2022-09-12 04:38:30+00:00,1.56918e+18,dishaltua,.,,대한민국 서울,"👩‍👩‍👧 I give you all of me forever,

can I have all of you? 💟★

코카인 전문상선 사쿠라≪

🐲채널은 텔레 sakura4466 상담중∏♀
★오전10시~새벽1시 영업합니다※

#시원한술

부산 아이스작대기 
💯콕⇔

∑∠함평 &amp; 전국 https://t.co/PfpHi5B6UX",0,0,,['시원한술'],"[Photo(previewUrl='https://pbs.twimg.com/media/Fcbb7wQaMAIZLbH?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Fcbb7wQaMAIZLbH?format=jpg&name=orig', altText=None)]",Twitter Web App
코카인,지역명코카인,2022-11-03 13:49:52+00:00,1.58817e+18,hyj6160,홍예지,,,"텔 레 i c e p i c k s

☠ 퀄리티승부 ✡
샘플 20만 아이스작대기

샤부 인천아이스 울산아이스
부산아이스

사탕 케타민 떨사는곳
 캔디 떨사는곳

허브액상 케타민
액상 코카인
허브 떨

☀ #아이스작대기 ♥
✉ #코카인 ✈ https://t.co/DZUB616xim",0,0,,"['아이스작대기', '코카인']","[Photo(previewUrl='https://pbs.twimg.com/media/FgpNETbacAA3MwZ?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FgpNETbacAA3MwZ?format=jpg&name=orig', altText=None)]",Twitter Web App
코카인,지역명코카인,2022-11-03 13:49:52+00:00,1.58817e+18,hyj6160,홍예지,,,"텔 레 i c e p i c k s

☠ 퀄리티승부 ✡
샘플 20만 아이스작대기

샤부 인천아이스 울산아이스
부산아이스

사탕 케타민 떨사는곳
 캔디 떨사는곳

허브액상 케타민
액상 코카인
허브 떨

☀ #아이스작대기 ♥
✉ #코카인 ✈ https://t.co/DZUB616xim",0,0,,"['아이스작대기', '코카인']","[Photo(previewUrl='https://pbs.twimg.com/media/FgpNETbacAA3MwZ?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FgpNETbacAA3MwZ?format=jpg&name=orig', altText=None)]",Twitter Web App
코카인,지역명코카인,2022-11-04 08:14:36+00:00,1.58844e+18,wldmsgid,지은향,,,"☯ 텔 레 그 램 J R i c e 1 ☃

♨아이스작대기 무한✎

술파는곳 허브효능 샤부
엘에디 코카인 아이스작대기 아이스사끼

사탕 강남파티 떨느낌 

 캔디 클럽약 

 빙두 허브효능 작대기뽕

ㅇㅇㅅ팝니다 파티약  마약효과 액상마약 

#아이스작대기
#사끼 https://t.co/W9CUOPqFyx",0,0,,"['아이스작대기', '사끼']","[Photo(previewUrl='https://pbs.twimg.com/media/FgtJ6vTUAAENpxE?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FgtJ6vTUAAENpxE?format=jpg&name=orig', altText=None)]",Twitter Web App
코카인,지역명코카인,2022-11-04 12:44:34+00:00,1.58851e+18,choiyunju0,최윤주,,,"텔 레 i c e p i c k s

♣ 퀄리티승부 ✌
샘플 20만 아이스작대기

전국떨 부산아이스 ㅈㄷㄱ팝니다
마약상인

 떨느낌 떨팝니다
 케타민 최음제

코카인 케타민
액상 차가운술
작대기 떨

✌ #클럽약 ✐ https://t.co/zch9BgDvqY",0,0,,['클럽약'],"[Photo(previewUrl='https://pbs.twimg.com/media/FguHtVvaYAAzYEc?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FguHtVvaYAAzYEc?format=jpg&name=orig', altText=None)]",Twitter Web App
코카인,지역명코카인,2022-11-04 14:04:35+00:00,1.58853e+18,kha0331,kha0331,,,"↔ 텔 레 그 램 J R i c e 1 ☂

☀아이스작대기 무한☀

아이스게이 아이스퀄리티 대구아이스
코카인 아이스팝니다 아이스사끼 샘플20만

떨구입 떨팝니다 떨구매 

 브액 케이 

 LSD ㅈㄷㄱ팝니다 코카인

ㅇㅇㅅ 강남파티  아이스얼음주사사용방법 최음제 

#아이스작대기
#빙두팝니다 https://t.co/hmxTFoNrcj",0,0,,"['아이스작대기', '빙두팝니다']","[Photo(previewUrl='https://pbs.twimg.com/media/FguaBXQVsAAk2oC?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FguaBXQVsAAk2oC?format=jpg&name=orig', altText=None)]",Twitter Web App
