,date,id,user.username,user.displayname,place,user.location,content,likeCount,retweetCount,viewCount,hashtags,media,sourceLabel
0,2023-03-30 23:52:43+00:00,1641589302722441216,1215_9204,바밤바밤,,,"김정도는 어디 있을까. 박평호는 제 손에 들린 가방을 열어봄. 가방 안에는 주사기 두 개와 약물 두 개가 들어 있음. 하나는 독극물, 하나는 해독제였음.
하...내가 무슨 수로 사람을 죽여...
박평호는 섬 주변의 바위를 타고 움직이기로 했음. 그나마 여긴 애들이 덜 올 것 같으니까.",2,0,205.0,,,Twitter for Android
1,2023-03-30 23:18:55+00:00,1641580794295492609,Unana_one,윤하나,,,"힉...! 가, 감염되시면 저희 놓아준다고 하셨잖아요. ···주사기 저리 치워주세요!",0,0,13.0,,,Botbird tweets
2,2023-03-30 22:20:52+00:00,1641566188777144322,face4468,hyung jun kim,,부산광역시 부산진구 부전동,"[사이언스샷] 박테리아 모방한 분자 주사기, 암세포에만 독소 전달 https://t.co/qFN7d2hjzL",0,0,1.0,,,Twitter for iPhone
3,2023-03-30 22:19:08+00:00,1641565749646098437,SJW_log,서제원,,,멀쩡한 사람 쪽에서는 제가 자원해볼게요. 주사기 있으려나.,0,0,1.0,,,twittbot.net
4,2023-03-30 21:09:49+00:00,1641548306936639488,kasaisinjiSDRA,카사이신지,,,분명 사건 현장에서 주사기 같은 건 발견된 적 없었지? 그렇다는 건···,0,0,4.0,,,twittbot.net
5,2023-03-30 19:41:35+00:00,1641526100743299087,greenbeeii,5시정시퇴근,,,노숙인이 다가와서 손에 주사기 바늘을 찔러넣었다고.... 독일 사시는 분들.. 항시 조심해요.. 이번주에 기차 타려고 기다리는데 여자 노숙인이 다짜고짜 중국에서 온 창년이라고 고래고래 소리지르고 밀치려고 해서 급하게 자리를 떴습니다...,2,0,1105.0,,,Twitter for Android
6,2023-03-30 18:10:39+00:00,1641503220152557568,DEATH_THE_KID8O,데스 더 키드,,"「좌우대칭, 시머트리야 말로 나의 미학!」",―저 주사기가 검은 피! https://t.co/KacsmzhJo6,0,0,29.0,,"[Photo(previewUrl='https://pbs.twimg.com/media/BghG8LLCMAATdLk?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/BghG8LLCMAATdLk?format=jpg&name=orig', altText=None)]",twittbot.net
7,2023-03-30 17:31:00+00:00,1641493239806193665,Angela_ZiegIer,앙겔라,,,"@DU5T2DU5T 아무리 행동이 먼저라고 해도…. (""저 태블릿 값이 얼마인지는 알아요?""라고 말하고 싶은 맘이 굴뚝같았지만 꾹 참았다. 굳이 상완을 압박할 필요 없을 정도로 확연하게 보이는 도드라진 핏줄에 바로 채혈주사기를 꺼냈다.)",0,0,69.0,,,Twitter for Android
8,2023-03-30 17:20:48+00:00,1641490673194143745,gwiyomdunge,두목,,,잡다가 필로폰 주사기 찔리고한대 씨발.. 진짜 좆같을 듯 다 감염되는 건데 진짲 짏ㄴ이라도 잇으면 ㅠ,0,0,49.0,,,Twitter for iPhone
9,2023-03-30 17:06:47+00:00,1641487144538771456,momentofxx,🗯️,,,ㄴㄴ 투약 가튼 거 아니고 의료장비 관련 사고여야함.. 투약으로 가려면 뭐 주사기 다회사용 이런 거면 ㄱㅊ.. 근데 그건 이미 하나 찾았고 다른 거... 장비관련... 아니 장비관련이 잘 안 보영..,0,0,48.0,,,Twitter for iPhone
