,date,id,user.username,user.displayname,place,user.location,content,likeCount,retweetCount,viewCount,hashtags,media,sourceLabel
13,2023-03-30 20:10:52+00:00,1.64153E+18,SUPERWEBY,웨ㅂ ㅣ🎗,,,"❣ 텔 레 그 램 J R i c e 1 ✉

☣아이스작대기 무한♠

제주아이스 강간데이트 술사는곳
케이 빙두 아이스드랍 빙두

떨 케타민 엑스터시 

 떨파는곳 인디카 

 작대기술 히로뽕 사끼

대마초파는곳 사티바  판매처 떨느낌 

#아이스작대기
#빙두 https://t.co/pOToA2bhke",0,0,58,"['아이스작대기', '빙두']","[Photo(previewUrl='https://pbs.twimg.com/media/Fsfl-usaQAAnqSG?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Fsfl-usaQAAnqSG?format=jpg&name=orig', altText=None)]",Twitter Web App
51,2023-03-30 14:34:28+00:00,1.64145E+18,choeeun94223428,최은석,,,"☝ 텔 레 i c e m a n k ✡
샘플0.2G 20만
사칭조심

아이스작대기 LSD
사끼 
엘에디

아이스팝니다 아이스뽕
차가운술
아이스팝니다

떨 사탕 사탕 
떨가격

LSD 케타민 캔디 
대마

술파는곳 케타민반응

#대마초
#담배 https://t.co/bgalZJCJOk",0,0,42,"['대마초', '담배']","[Photo(previewUrl='https://pbs.twimg.com/media/FseY_B6aYAAPF2k?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FseY_B6aYAAPF2k?format=jpg&name=orig', altText=None)]",Twitter Web App
65,2023-03-30 13:39:35+00:00,1.64144E+18,cocobily,허인흐ㅣ,,,"여러분에 안식처 아이스 하이븐 

✎텔 레 문 의 i c e haven ☎

게이만남 아이스얼음작대기 정품작대기
대마초파는곳 정품아이스파는곳소개

떨사는곳  엑시
사탕 사티바

아이스작대기 아이스1G 아이스1G
아이스1G 케이

#아이스술
#작기술 https://t.co/saqrmyzgop",0,0,17,"['아이스술', '작기술']","[Photo(previewUrl='https://pbs.twimg.com/media/FseMa6FaEAEtWl7?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FseMa6FaEAEtWl7?format=jpg&name=orig', altText=None)]",Twitter Web App
66,2023-03-30 13:29:48+00:00,1.64143E+18,Jinha0520,평원,,,"여러분에 안식처 아이스 하이븐 

♨텔 레 문 의 i c e haven ☄

부부만남 대마초파는곳 서울아이스
BD주사기 작대기구매는

케이 케타민 엑시
파티약 떨가격

아이스작대기 샘플20만 작대기아이스
작대기팝니다 아이스작대기

#작대기
#떨후기
#안전딜러 https://t.co/a3xXCC6COp",0,0,47,"['작대기', '떨후기', '안전딜러']","[Photo(previewUrl='https://pbs.twimg.com/media/FseKLpkacAA7pM5?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FseKLpkacAA7pM5?format=jpg&name=orig', altText=None)]",Twitter Web App
117,2023-03-30 10:48:06+00:00,1.64139E+18,illillilil6,illillililillil,,,"☃텔레 KRBW24✂

사기 걱정 NO ♠
안전한 거래 ♥

 ✈ 착한딜러 샘플 부터 주문주세요 ✈

작대기 아이스 캔디 케이

떨 떨액 액상 허브액상

대마초 대마 떨 허브 

시원한술 차가운술 빙두

아이스작대기

#작대기판매
#떨구입 https://t.co/cGXSGHowI2",0,0,27,"['작대기판매', '떨구입']","[Photo(previewUrl='https://pbs.twimg.com/media/FsdlK8baMAQJoij?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FsdlK8baMAQJoij?format=jpg&name=orig', altText=None)]",Twitter Web App
130,2023-03-30 10:12:03+00:00,1.64138E+18,milnerigbal,Igbal Milner,,,"☎ 오방약국 텔레그램 &gt; p i n k m a n 1 1 4 &lt; 
  
전라도아이스  
밀크케타민도매  
강동합성대마초  
강남허브액상  
창원엑시터시  
아이스뽕하는법  
#코카인 https://t.co/wKo9fClxQD",0,0,70,['코카인'],"[Photo(previewUrl='https://pbs.twimg.com/media/Fsdc6fOakAASBp4?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Fsdc6fOakAASBp4?format=jpg&name=orig', altText=None)]",Twitter Web App
141,2023-03-30 08:49:43+00:00,1.64136E+18,wpdls1020,강레몬,,,"☁ 텔♦ 레 ☂ 문♥ 의 ✍

Happy b b o n g

해피 해피뽕 

아이스작대기 전문 딜러

정품아이스파는곳소개 대마초파는곳 판매처 
 아이스술 얼음사는곳얼음파는곳

캔디 인디카 떨삽니다 
떨사는곳 떨 

캔디케이 아이스술 
작대기아이스 작대기팝니다 아이스1G 

#아이스작대기 https://t.co/pK9T3n7Ppc",0,0,9,['아이스작대기'],"[Photo(previewUrl='https://pbs.twimg.com/media/FsdKE4caIAAQEbs?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FsdKE4caIAAQEbs?format=jpg&name=orig', altText=None)]",Twitter Web App
184,2023-03-30 05:06:49+00:00,1.64131E+18,eh6cxccc10,박은향,,,"예약⋟－Аҳŗịṅḡ－⋞

대마초 팝니다

#브액

발정제 구매

전북  남원  오늘🌙밤 도착",0,0,22,['브액'],,Twitter Web App
256,2023-03-30 00:34:00+00:00,1.64124E+18,CYSD0621,CY,,,"✈ 텔 레 그 램 J R i c e 1 ☢

♨아이스작대기 사끼☁

작대기 아이스 허브 브액 대마초 떨
캔디케이 몰리 떨액 브액 

전국떨차가운술파는곳

떨파는곳 떨구매 
케타민

샘플20만 케이 아이스뽕 

#아이스작대기
#아이스술 https://t.co/svE4uUX4Jo",0,0,20,"['아이스작대기', '아이스술']","[Photo(previewUrl='https://pbs.twimg.com/media/FsbYnQSacAEpKQ8?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FsbYnQSacAEpKQ8?format=jpg&name=orig', altText=None)]",Twitter Web App
269,2023-03-29 23:00:22+00:00,1.64121E+18,gg8644,란,,글쎄.,"♦ 국가대표 coreaice ☁

☣ 아이스작대기 ☎

♣ 코카인 ↔

대마초파는곳 강간데이트 아이스퀄리티
작대기뽕 엘에디 사끼 사끼

떨후기 떨사는곳 인디카 

 클럽약 떨파는곳 

 아이스팝니다 대마초파는곳 샘플20만

김치 떨  ㅈㄷㄱ팝니다 떨구매 

#아이스작대기
#빙두 https://t.co/FrI6c9QFaM",0,0,40,"['아이스작대기', '빙두']","[Photo(previewUrl='https://pbs.twimg.com/media/FsbDL8UakAEVfWA?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FsbDL8UakAEVfWA?format=jpg&name=orig', altText=None)]",Twitter Web App
