,date,id,user.username,user.displayname,place,user.location,content,likeCount,retweetCount,viewCount,hashtags,media,sourceLabel
0,2023-03-30 11:51:52+00:00,1.64141E+18,A88ee26,이순미,,,"╓══Ｋạ톡 🆔══╖

#ㄴㅏ비약 

디프리반 판매

강력 성적 흥분제 러쉬파퍼( Rush Poppers ) 랏슈

╙══Knocc══╜

거유 걸레 냄새 부커만남",0,0,239,['ㄴㅏ비약'],,Twitter Web App
1,2023-03-30 09:44:15+00:00,1.64138E+18,Rooneychmaldafa,Rooney ch maldafa,,,"♧ 오방약국 텔레그램 &gt; p i n k m a n 1 1 4 &lt; 
  
고퀄아이스구매처  
강원도인슐린  
경상도해시시  
강북케타민원석  
랏슈판매처  
강남보안좌표  
#충남파티drug https://t.co/fGZ5toAa4y",0,0,37,['충남파티drug'],"[Photo(previewUrl='https://pbs.twimg.com/media/FsdWjGUaEAIpIMh?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FsdWjGUaEAIpIMh?format=jpg&name=orig', altText=None)]",Twitter Web App
2,2023-03-30 07:32:38+00:00,1.64134E+18,A88ee26,이순미,,,"╓══Ｋạ톡 🆔══╖

#수면ㅈㅔ 

수면제 팝니다

강력 성적 흥분제 러쉬파퍼( Rush Poppers ) 랏슈

╙══Knocc══╜

치한 음섹 자위영상 멜돔",0,0,102,['수면ㅈㅔ'],,Twitter Web App
3,2023-03-30 06:18:42+00:00,1.64132E+18,dsf51cv558e,이사언,,,"╓══Ｋạ톡 🆔══╖

#ㄹㅓ쉬ㅍㅏ퍼 

랏슈 파는곳

전신 수면 마취제 에토미데이트 주사

╙══Knocc══╜

커플 일탈 원나잇 핑크",0,0,30,['ㄹㅓ쉬ㅍㅏ퍼'],,Twitter Web App
4,2023-03-30 06:18:34+00:00,1.64132E+18,A88ee26,이순미,,,"╒◖══Ｋạ톡 🆔══◗╕

#랏슈 

하얀색 액체 정맥 전신 마취제 프로포폴 우유주사

벤조디아제핀 팝니다

╘◖══Knocc══◗╛

싱글남 섹ㅍㅏ 오랄 수치",0,0,57,['랏슈'],,Twitter Web App
5,2023-03-30 05:44:09+00:00,1.64132E+18,asdcv5e8cvo,김다인,,,"예약⋟－Аҳŗịṅḡ－⋞

Rush Poppers 구매

#랏슈

암페타민 판매

서울 종로  오늘🌙밤 도착",0,0,46,['랏슈'],,Twitter Web App
6,2023-03-30 01:45:16+00:00,1.64126E+18,doc0c2f1,정유정,,,"( Poppers )랏슈 팝니다 비밀📧배송⟳서구

섹스/미약팝니다

✅ #공황장애

𝒂𝒕𝒐➍➍➍",0,0,65,['공황장애'],,Twitter Web App
8,2023-03-29 19:20:02+00:00,1.64116E+18,yhnamislang,사칭조심 랏슈구매 충북최음제(케미컬),,philippine,"☞ ㅌㄹㄱㄹ 24시상담 &gt;&gt; p i n k m a n 1 1 4 &lt;&lt; 
  
충청도대마  
찬술효과  
브액도매  
케이원석사는곳  
우유주사  
경남드랍퍼구인  
  
#하이드로몰핀팔아요 https://t.co/6kwvmShSSA",0,0,53,['하이드로몰핀팔아요'],"[Photo(previewUrl='https://pbs.twimg.com/media/FsaQvI9aMAAg9Ad?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FsaQvI9aMAAg9Ad?format=jpg&name=orig', altText=None)]",Twitter Web App
9,2023-03-29 17:53:19+00:00,1.64114E+18,conervirus,경기도보안드랍 경상도트라마돌 우유주사구하는곳(전라도드러그),,,"♠ ㅌㄹㄱㄹ 24시상담 &gt;&gt; p i n k m a n 1 1 4 &lt;&lt; 
  
충청도패치  
떨액구매방법  
대전하선모집  
랏슈  
충북크리스탈  
강동드랍퍼모집  
  
#인슐린 https://t.co/hapePocwx5",0,0,34,['인슐린'],"[Photo(previewUrl='https://pbs.twimg.com/media/FsZ84RVaEAAcUbe?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FsZ84RVaEAAcUbe?format=jpg&name=orig', altText=None)]",Twitter Web App
10,2023-03-29 17:48:37+00:00,1.64114E+18,asyai43,랏슈 치오펜탈 LSD(버드도매),,,"◈ ㅌㄹㄱㄹ 24시상담 &gt;&gt; p i n k m a n 1 1 4 &lt;&lt; 
  
얼음효과  
신속배송  
전남북한산아이스  
밀크케이  
강서사끼  
전남옥시코돈  
  
#케이밀크 https://t.co/sgi8iwwaEd",0,0,22,['케이밀크'],"[Photo(previewUrl='https://pbs.twimg.com/media/FsZ7ybcaQAA7HCo?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FsZ7ybcaQAA7HCo?format=jpg&name=orig', altText=None)]",Twitter Web App
