type1,type2,date,id,user.username,user.displayname,place,user.location,content,likeCount,retweetCount,viewCount,hashtags,media,sourceLabel
MDMA,지역명도리도리,2021-01-27 15:44:03+00:00,1.35446e+18,iv_viviane,ㅌㄹ maojju,,,옾화 엘에스디 cocaine 쿠쉬 CBD 도리도리팔아요 서울 경기권 최상퀄리티 대마 판매 합니다. 사칭조심 아디정확히보고 문의해라 맞고 괜히 하지말고 트위터 제 프로필 소개에 채널링크 있어요 ,0,0,,,"[Photo(previewUrl='https://pbs.twimg.com/media/Esv9v5tVcAYf4WH?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Esv9v5tVcAYf4WH?format=jpg&name=orig', altText=None)]",Twitter Web App
MDMA,지역명도리도리,2021-01-27 15:44:03+00:00,1.35446e+18,iv_viviane,ㅌㄹ maojju,,,옾화 엘에스디 cocaine 쿠쉬 CBD 도리도리팔아요 서울 경기권 최상퀄리티 대마 판매 합니다. 사칭조심 아디정확히보고 문의해라 맞고 괜히 하지말고 트위터 제 프로필 소개에 채널링크 있어요 ,0,0,,,"[Photo(previewUrl='https://pbs.twimg.com/media/Esv9v5tVcAYf4WH?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Esv9v5tVcAYf4WH?format=jpg&name=orig', altText=None)]",Twitter Web App
MDMA,지역명도리도리,2021-03-27 16:41:28+00:00,1.37585e+18,Hanaice8,Hanaice,,,시원한술 작대기 캔디 아이스 도리도리 자낙스 서울 분당 수원 의정부등 수도권 드랍 가능 텔레 hanaroom82 ,0,0,,"['시원한술', '작대기', '캔디', '아이스', '도리도리', '자낙스']","[Photo(previewUrl='https://pbs.twimg.com/media/ExgAs6-WUAkpzEh?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/ExgAs6-WUAkpzEh?format=jpg&name=orig', altText=None), Photo(previewUrl='https://pbs.twimg.com/media/ExgAs7CWUAA9k0Y?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/ExgAs7CWUAA9k0Y?format=jpg&name=orig', altText=None)]",Twitter for iPhone
MDMA,엑스터시,2021-11-03 19:25:10+00:00,1.45598e+18,NaokiAndrew,Andrew Kamiya Naoki,,,애시드구입러쉬파퍼 스틸녹스로히프놀 졸피뎀구매액상허브 수면제팔아요 각성제종류 파티엑스터시 클럽물뽕여성작업제 벤조디아제핀 프로포폴팝니다 우유주사사용후기 에토미데이트 애더럴판매마리화나 수면마취제액상대마 펜토바르비탈 루나팜플루니트라제팜 정품비아그라 텔레그램문의 새허 ,0,0,,,"[Photo(previewUrl='https://pbs.twimg.com/media/FDStiBSXsAMTHSH?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FDStiBSXsAMTHSH?format=jpg&name=orig', altText=None)]",Twitter for Android
MDMA,엑스터시,2021-11-03 22:40:49+00:00,1.45603e+18,NaokiAndrew,Andrew Kamiya Naoki,,,애시드구입러쉬파퍼 스틸녹스로히프놀 졸피뎀구매액상허브 수면제팔아요 각성제종류 파티엑스터시 클럽물뽕여성작업제 벤조디아제핀 프로포폴팝니다 우유주사사용후기 에토미데이트 애더럴판매마리화나 수면마취제액상대마 펜토바르비탈 루나팜플루니트라제팜 정품비아그라 텔레그램문의 359추 ,0,0,,,"[Photo(previewUrl='https://pbs.twimg.com/media/FDTaT2wX0Ak75H9?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FDTaT2wX0Ak75H9?format=jpg&name=orig', altText=None)]",Twitter for Android
MDMA,엑스터시,2021-11-04 06:10:11+00:00,1.45614e+18,AVCools,Surya Cools,,,애시드구입러쉬파퍼 스틸녹스로히프놀 졸피뎀구매액상허브 수면제팔아요 각성제종류 파티엑스터시 클럽물뽕여성작업제 벤조디아제핀 프로포폴팝니다 우유주사사용후기 에토미데이트 애더럴판매마리화나 수면마취제액상대마 펜토바르비탈 루나팜플루니트라제팜 정품비아그라 텔레그램문의 3 8초 ,0,0,,,"[Photo(previewUrl='https://pbs.twimg.com/media/FDVBKh3WEAIH4d8?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FDVBKh3WEAIH4d8?format=jpg&name=orig', altText=None)]",Twitter for Android
MDMA,엑스터시,2021-11-07 05:10:40+00:00,1.45721e+18,fangirlsssss_,Cinta Putri Senja,,"Jakarta , Indonesia",프로포폴팝니다 우유주사 에토미데이트 애더럴판매 각성제 러쉬파퍼사용후기 졸피뎀 구매 수면제 팔아요 파티엑스터시 플루니트라제팜 정품비아그라 루나팜 마리화나 수면마취제 애시드구입 클럽물뽕여성작업제 벤조디아제핀 펜토바르비탈 스틸녹스로히프놀 텔레문의coax7 37 ,0,0,,"['프로포폴팝니다', '우유주사', '에토미데이트', '애더럴판매', '각성제', '졸피뎀', '수면제', '정품비아그라']","[Photo(previewUrl='https://pbs.twimg.com/media/FDkQUAvXMAAt757?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FDkQUAvXMAAt757?format=jpg&name=orig', altText=None)]",Twitter for Android
MDMA,엑스터시,2021-11-07 06:14:29+00:00,1.45723e+18,fangirlsssss_,Cinta Putri Senja,,"Jakarta , Indonesia",프로포폴팝니다 우유주사 에토미데이트 애더럴판매 각성제 러쉬파퍼사용후기 졸피뎀 구매 수면제 팔아요 파티엑스터시 플루니트라제팜 정품비아그라 루나팜 마리화나 수면마취제 애시드구입 클럽물뽕여성작업제 벤조디아제핀 펜토바르비탈 스틸녹스로히프놀 텔레문의coax7 69 ,0,0,,"['프로포폴팝니다', '우유주사', '에토미데이트', '애더럴판매', '각성제', '졸피뎀', '수면제', '정품비아그라']","[Photo(previewUrl='https://pbs.twimg.com/media/FDke6zHXIAAOats?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FDke6zHXIAAOats?format=jpg&name=orig', altText=None)]",Twitter for Android
MDMA,엑스터시,2021-11-22 07:01:15+00:00,1.46268e+18,sani_fatra,Sani Fatra,,,텔레그램 royal757 파티엑스터시클럽물뽕여성작업제 벤조디아제핀 펜토바르비탈 우유주사사용후기수면마취제 루나팜 플루니트라제팜 마리화나액상대마떨허브 애더럴판매 애시드구입 수면제팔아요각성제종류 에토미데이트프로포폴팝니다 러쉬파퍼 정품비아그라 스틸녹스로히프놀졸피뎀구매 484 ,0,0,,,"[Photo(previewUrl='https://pbs.twimg.com/media/FEx5djLVcAEuSS0?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FEx5djLVcAEuSS0?format=jpg&name=orig', altText=None)]",Twitter for Android
MDMA,엑스터시,2021-11-22 09:20:29+00:00,1.46271e+18,sani_fatra,Sani Fatra,,,텔.레문의 royal757 파티엑스터시클럽물뽕여성작업제 벤조디아제핀 펜토바르비탈 우유주사사용후기수면마취제 루나팜 플루니트라제팜 마리화나액상대마떨허브 애더럴판매 애시드구입 수면제팔아요각성제종류 에토미데이트프로포폴팝니다 러쉬파퍼 정품비아그라 스틸녹스로히프놀졸피뎀구매 7초 ,0,0,,,"[Photo(previewUrl='https://pbs.twimg.com/media/FEyZU31VUAIVCbV?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FEyZU31VUAIVCbV?format=jpg&name=orig', altText=None)]",Twitter for Android
MDMA,엑스터시,2021-11-22 10:51:54+00:00,1.46274e+18,SellaArvista,&,,,텔.레문의 royal757 파티엑스터시클럽물뽕여성작업제 벤조디아제핀 펜토바르비탈 우유주사사용후기수면마취제 루나팜 플루니트라제팜 마리화나액상대마떨허브 애더럴판매 애시드구입 수면제팔아요각성제종류 에토미데이트프로포폴팝니다 러쉬파퍼 정품비아그라 스틸녹스로히프놀졸피뎀구매 겨러 ,0,0,,,"[Photo(previewUrl='https://pbs.twimg.com/media/FEyuQKCVQAA8BRx?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FEyuQKCVQAA8BRx?format=jpg&name=orig', altText=None)]",Twitter for Android
MDMA,엑스터시,2021-11-22 10:54:33+00:00,1.46274e+18,SellaArvista,&,,,텔.레문의 royal757 파티엑스터시클럽물뽕여성작업제 벤조디아제핀 펜토바르비탈 우유주사사용후기수면마취제 루나팜 플루니트라제팜 마리화나액상대마떨허브 애더럴판매 애시드구입 수면제팔아요각성제종류 에토미데이트프로포폴팝니다 러쉬파퍼 정품비아그라 스틸녹스로히프놀졸피뎀구매 뎌9터 ,0,0,,,"[Photo(previewUrl='https://pbs.twimg.com/media/FEyu2qIVEAE8UR6?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FEyu2qIVEAE8UR6?format=jpg&name=orig', altText=None)]",Twitter for Android
MDMA,엑스터시,2021-11-22 11:31:53+00:00,1.46275e+18,Arii70641885,Arii,,,텔.레문의 royal757 파티엑스터시클럽물뽕여성작업제 벤조디아제핀 펜토바르비탈 우유주사사용후기수면마취제 루나팜 플루니트라제팜 마리화나액상대마떨허브 애더럴판매 애시드구입 수면제팔아요각성제종류 에토미데이트프로포폴팝니다 러쉬파퍼 정품비아그라 스틸녹스로히프놀졸피뎀구매 37 오 ,0,0,,,"[Photo(previewUrl='https://pbs.twimg.com/media/FEy3Zr7VEAIDs8p?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FEy3Zr7VEAIDs8p?format=jpg&name=orig', altText=None)]",Twitter for Android
MDMA,엑스터시,2021-11-23 22:21:02+00:00,1.46327e+18,CakilKang,콕스7 텔🥰레coax7,,,파티클럽엑스터시 애더럴판매 각성제 러쉬파퍼사용후기 애시드구입 클럽물뽕여성작업제 벤조디아제핀 스틸녹스로히프놀 졸피뎀 구매 수면제 팔아요 프로포폴팝니다 우유주사 에토미데이트 정품비아그라 루나팜 마리화나 수면마취제 플루니트라제팜 텔레 coax7 79,0,0,,"['애더럴판매', '각성제', '러쉬파퍼사용후기', '애시드구입', '클럽물뽕여성작업제', '스틸녹스로히프놀', '졸피뎀', '수면제', '프로포폴팝니다', '우유주사', '에토미데이트', '정품비아그라', '마리화나']",,Twitter for Android
MDMA,엑스터시,2021-11-23 22:38:35+00:00,1.46328e+18,CakilKang,콕스7 텔🥰레coax7,,,파티클럽엑스터시 애더럴판매 각성제 러쉬파퍼사용후기 애시드구입 클럽물뽕여성작업제 벤조디아제핀 스틸녹스로히프놀 졸피뎀 구매 수면제 팔아요 프로포폴팝니다 우유주사 에토미데이트 정품비아그라 루나팜 마리화나 수면마취제 플루니트라제팜 텔레 coax7 9,0,0,,"['애더럴판매', '각성제', '러쉬파퍼사용후기', '애시드구입', '클럽물뽕여성작업제', '스틸녹스로히프놀', '졸피뎀', '수면제', '프로포폴팝니다', '우유주사', '에토미데이트', '정품비아그라', '마리화나']",,Twitter for Android
MDMA,엑스터시,2021-11-23 23:44:01+00:00,1.46329e+18,CakilKang,콕스7 텔🥰레coax7,,,파티클럽엑스터시 애더럴판매 각성제 러쉬파퍼사용후기 애시드구입 클럽물뽕여성작업제 벤조디아제핀 스틸녹스로히프놀 졸피뎀 구매 수면제 팔아요 프로포폴팝니다 우유주사 에토미데이트 정품비아그라 루나팜 마리화나 수면마취제 플루니트라제팜 텔레 coax7 38,0,0,,"['애더럴판매', '각성제', '러쉬파퍼사용후기', '애시드구입', '클럽물뽕여성작업제', '스틸녹스로히프놀', '졸피뎀', '수면제', '프로포폴팝니다', '우유주사', '에토미데이트', '정품비아그라', '마리화나']",,Twitter for Android
MDMA,엑스터시,2021-11-24 00:22:46+00:00,1.4633e+18,CakilKang,콕스7 텔🥰레coax7,,,파티클럽엑스터시 애더럴판매 각성제 러쉬파퍼사용후기 애시드구입 클럽물뽕여성작업제 벤조디아제핀 스틸녹스로히프놀 졸피뎀 구매 수면제 팔아요 프로포폴팝니다 우유주사 에토미데이트 정품비아그라 루나팜 마리화나 수면마취제 플루니트라제팜 텔레 coax7,0,0,,"['애더럴판매', '각성제', '러쉬파퍼사용후기', '애시드구입', '클럽물뽕여성작업제', '스틸녹스로히프놀', '졸피뎀', '수면제', '프로포폴팝니다', '우유주사', '에토미데이트', '정품비아그라', '마리화나']",,Twitter for Android
MDMA,엑스터시,2021-11-24 01:35:20+00:00,1.46332e+18,CakilKang,콕스7 텔🥰레coax7,,,파티클럽엑스터시 애더럴판매 각성제 러쉬파퍼사용후기 애시드구입 클럽물뽕여성작업제 벤조디아제핀 스틸녹스로히프놀 졸피뎀 구매 수면제 팔아요 프로포폴팝니다 우유주사 에토미데이트 정품비아그라 루나팜 마리화나 수면마취제 플루니트라제팜 텔레 coax7 6,0,0,,"['애더럴판매', '각성제', '러쉬파퍼사용후기', '애시드구입', '클럽물뽕여성작업제', '스틸녹스로히프놀', '졸피뎀', '수면제', '프로포폴팝니다', '우유주사', '에토미데이트', '정품비아그라', '마리화나']",,Twitter for Android
MDMA,엑스터시,2021-11-24 01:53:56+00:00,1.46332e+18,CakilKang,콕스7 텔🥰레coax7,,,파티클럽엑스터시 애더럴판매 각성제 러쉬파퍼사용후기 애시드구입 클럽물뽕여성작업제 벤조디아제핀 스틸녹스로히프놀 졸피뎀 구매 수면제 팔아요 프로포폴팝니다 우유주사 에토미데이트 정품비아그라 루나팜 마리화나 수면마취제 플루니트라제팜 텔레 coax7,0,0,,"['애더럴판매', '각성제', '러쉬파퍼사용후기', '애시드구입', '클럽물뽕여성작업제', '스틸녹스로히프놀', '졸피뎀', '수면제', '프로포폴팝니다', '우유주사', '에토미데이트', '정품비아그라', '마리화나']",,Twitter for Android
