type1,type2,date,id,user.username,user.displayname,place,user.location,content,likeCount,retweetCount,viewCount,hashtags,media,sourceLabel,okt,komoran,hannanum,kkma,mecab
아편,신의눈물,2021-01-09 02:18:36+00:00,1.34773e+18,Mariana47241037,텔레그램 candys1004,,,신의눈물 사끼 레드불 엘 차가운술소량입고 엑스터시구입 캐너비스 위드정품 지방권도 가능 ,0,0,,,"[Photo(previewUrl='https://pbs.twimg.com/media/ErQYx1JUcAAnH7c?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/ErQYx1JUcAAnH7c?format=jpg&name=orig', altText=None)]",Twitter Web App,"[('신의', 'Noun'), ('눈물', 'Noun'), ('사', 'Modifier'), ('끼', 'Noun'), ('레드불', 'Noun'), ('엘', 'Noun'), ('차가운', 'Adjective'), ('술', 'Noun'), ('소량', 'Noun'), ('입고', 'Verb'), ('엑스터시', 'Noun'), ('구입', 'Noun'), ('캐너비스', 'Noun'), ('위드', 'Noun'), ('정품', 'Noun'), ('지방', 'Noun'), ('권', 'Suffix'), ('도', 'Josa'), ('가능', 'Noun')]","[('신의', 'NNP'), ('눈물', 'NNP'), ('사', 'NNG'), ('끼', 'NNG'), ('레드불', 'NNP'), ('엘', 'NNP'), ('차갑', 'VA'), ('ㄴ', 'ETM'), ('술', 'NNG'), ('소량', 'NNG'), ('입', 'VV'), ('고', 'EC'), ('엑스터시', 'NNP'), ('구입', 'NNG'), ('캐너비스', 'NA'), ('위드', 'NNP'), ('정품', 'NNG'), ('지방', 'NNG'), ('권', 'XSN'), ('도', 'JX'), ('가능', 'XR')]","[('신의눈물', 'N'), ('사끼', 'N'), ('레드불', 'N'), ('에', 'P'), ('ㄹ', 'E'), ('차가운술소량입고', 'N'), ('엑스터시구입', 'N'), ('캐너비스', 'N'), ('위드정품', 'N'), ('지방권', 'N'), ('도', 'J'), ('가능', 'N')]","[('신의', 'NNG'), ('눈물', 'NNG'), ('사', 'NNG'), ('끼', 'NNG'), ('레드', 'NNG'), ('불', 'NNG'), ('엘', 'NNG'), ('차', 'NNG'), ('가운', 'NNG'), ('술', 'NNG'), ('소량', 'NNG'), ('입', 'VV'), ('고', 'ECE'), ('엑스터시', 'NNG'), ('구입', 'NNG'), ('캐너비스', 'UN'), ('위', 'NNG'), ('드', 'XPN'), ('정품', 'NNG'), ('지방', 'NNG'), ('권', 'XSN'), ('도', 'JX'), ('가능', 'NNG')]","[('신', 'NNG'), ('의', 'JKG'), ('눈물', 'NNG'), ('사', 'NR'), ('끼', 'NNBC'), ('레드불', 'NNP'), ('엘', 'NNG'), ('차가운', 'VA+ETM'), ('술', 'NNG'), ('소량', 'NNG'), ('입', 'VV'), ('고', 'EC'), ('엑스터시', 'NNG'), ('구입', 'NNG'), ('캐너', 'NNP'), ('비스', 'NNP'), ('위드', 'NNP'), ('정품', 'NNG'), ('지방', 'NNG'), ('권', 'XSN'), ('도', 'JX'), ('가능', 'NNG')]"
아편,신의눈물,2021-01-21 16:20:07+00:00,1.35229e+18,MeganHouchens2,텔레그램 tkwk21,,,문아이스 문의주세요 고급북술 확보 액상떨구입처 케타민 찬술 신의눈물 디엠티 캔디구매 고기정품 암페타민,0,0,,,,Twitter Web App,"[('문', 'Modifier'), ('아이스', 'Noun'), ('문의', 'Noun'), ('주세요', 'Verb'), ('고급', 'Noun'), ('북술', 'Noun'), ('확보', 'Noun'), ('액', 'Noun'), ('상', 'Suffix'), ('떨구', 'Verb'), ('입처', 'Noun'), ('케타민', 'Noun'), ('찬술', 'Noun'), ('신의', 'Noun'), ('눈물', 'Noun'), ('디엠', 'Noun'), ('티', 'Noun'), ('캔디', 'Noun'), ('구매', 'Noun'), ('고', 'Modifier'), ('기정', 'Noun'), ('품', 'Noun'), ('암페타민', 'Noun')]","[('문', 'NNP'), ('아이스', 'NNP'), ('문의', 'NNG'), ('주', 'VV'), ('시', 'EP'), ('어요', 'EC'), ('고급', 'NNG'), ('북', 'NNP'), ('술', 'NNG'), ('확보', 'NNG'), ('액상', 'NNG'), ('떨', 'VV'), ('ㄹ', 'ETM'), ('구입', 'NNG'), ('처', 'NNG'), ('케타민', 'NNP'), ('찬', 'NNG'), ('술', 'NNG'), ('신의', 'NNP'), ('눈물', 'NNP'), ('디', 'NNP'), ('엠티', 'NNP'), ('캔디', 'NNP'), ('구매', 'NNG'), ('고기', 'NNG'), ('정품', 'NNG'), ('암페타민', 'NNP')]","[('문아이스', 'N'), ('문의주', 'N'), ('이', 'J'), ('세', 'E'), ('요', 'J'), ('고급북술', 'N'), ('확보', 'N'), ('액상떨구입처', 'N'), ('케타민', 'N'), ('찬술', 'N'), ('신의눈물', 'N'), ('디엠티', 'N'), ('캔디구매', 'N'), ('고기정품', 'N'), ('암페타민', 'N')]","[('문', 'NNG'), ('아이스', 'NNG'), ('문의', 'NNG'), ('주세', 'NNG'), ('요', 'JX'), ('고급', 'NNG'), ('북', 'NNG'), ('술', 'NNG'), ('확보', 'NNG'), ('액상', 'NNG'), ('떨', 'VV'), ('구', 'ECE'), ('입', 'NNG'), ('처', 'NNG'), ('케타민', 'NNG'), ('찬술', 'NNG'), ('신', 'NNG'), ('의', 'JKG'), ('눈물', 'NNG'), ('디엠', 'NNG'), ('티', 'NNG'), ('캔디', 'NNG'), ('구매', 'NNG'), ('고기', 'NNG'), ('정품', 'NNG'), ('암페타민', 'NNG')]","[('문', 'NNG'), ('아이스', 'NNG'), ('문', 'NNG'), ('의', 'JKG'), ('주세요', 'NNP'), ('고급', 'NNG'), ('북', 'NNP'), ('술', 'NNG'), ('확보', 'NNG'), ('액상', 'NNG'), ('떨', 'VV+ETM'), ('구입', 'NNG'), ('처', 'NNG'), ('케타민', 'NNG'), ('찬술', 'NNG'), ('신', 'NNG'), ('의', 'JKG'), ('눈물', 'NNG'), ('디엠티', 'NNP'), ('캔디', 'NNG'), ('구매', 'NNG'), ('고기', 'NNG'), ('정품', 'NNG'), ('암페타민', 'NNG')]"
아편,트라마돌,2021-04-26 15:09:52+00:00,1.3867e+18,PushKin_Coin,hhooogoooo,,,SlOg8UxyBIAAbto AJgrikulAhMF6vT usb2413 nanana05255660 1Kwu6GWPd3E7bg9 진통제 트라마돌 수면제 졸피뎀 수면유도제 스틸녹스 스틸녹스졸피뎀 졸피드 텔레그램 mmboy45 fdsdf,0,0,,,,Twitter Web App,"[('SlOg', 'Alpha'), ('8', 'Number'), ('UxyBIAAbto', 'Alpha'), ('AJgrikulAhMF', 'Alpha'), ('6', 'Number'), ('vT', 'Alpha'), ('usb', 'Alpha'), ('2413', 'Number'), ('nanana', 'Alpha'), ('05255660', 'Number'), ('1', 'Number'), ('Kwu', 'Alpha'), ('6', 'Number'), ('GWPd', 'Alpha'), ('3', 'Number'), ('E', 'Alpha'), ('7', 'Number'), ('bg', 'Alpha'), ('9', 'Number'), ('진통제', 'Noun'), ('트', 'Noun'), ('라마', 'Noun'), ('돌', 'Noun'), ('수면제', 'Noun'), ('졸피뎀', 'Noun'), ('수면', 'Noun'), ('유도', 'Noun'), ('제', 'Noun'), ('스틸', 'Noun'), ('녹스', 'Noun'), ('스틸', 'Noun'), ('녹스', 'Noun'), ('졸피뎀', 'Noun'), ('졸피드', 'Noun'), ('텔레', 'Noun'), ('그램', 'Noun'), ('mmboy', 'Alpha'), ('45', 'Number'), ('fdsdf', 'Alpha')]","[('SlOg', 'SL'), ('8', 'SN'), ('UxyBIAAbto', 'SL'), ('AJgrikulAhMF', 'SL'), ('6', 'SN'), ('vT', 'SL'), ('usb', 'SL'), ('2413', 'SN'), ('nanana', 'SL'), ('05255660', 'SN'), ('1', 'SN'), ('Kwu', 'SL'), ('6', 'SN'), ('GWPd', 'SL'), ('3', 'SN'), ('E7', 'NNP'), ('bg', 'SL'), ('9', 'SN'), ('진통제', 'NNP'), ('트', 'VV'), ('라', 'EC'), ('말', 'VX'), ('아도', 'EC'), ('ㄹ', 'JKO'), ('수면제', 'NNP'), ('졸피뎀', 'NNP'), ('수', 'NNB'), ('면유', 'NNP'), ('도제', 'NNP'), ('스틸', 'NNP'), ('녹스', 'NNP'), ('스틸', 'NNP'), ('녹스', 'NNP'), ('졸피뎀', 'NNP'), ('졸', 'NNG'), ('피드', 'NNP'), ('텔레그램', 'NNP'), ('mmboy', 'SL'), ('45', 'NNP'), ('fdsdf', 'SL')]","[('SlOg8UxyBIAAbto', 'N'), ('AJgrikulAhMF6vT', 'N'), ('usb2413', 'N'), ('nanana05255660', 'N'), ('1Kwu6GWPd3E7bg9', 'N'), ('진통제', 'N'), ('트라마돌', 'N'), ('수면제', 'N'), ('졸피뎀', 'N'), ('수면유도제', 'N'), ('스틸녹스', 'N'), ('스틸녹스졸피뎀', 'N'), ('졸피드', 'N'), ('텔레그램', 'N'), ('mmboy45', 'N'), ('fdsdf', 'F')]","[('SlOg', 'OL'), ('8', 'NR'), ('UxyBIAAbto', 'OL'), ('AJgrikulAhMF', 'OL'), ('6', 'NR'), ('vT', 'OL'), ('usb', 'OL'), ('2413', 'NR'), ('nanana', 'OL'), ('05255660', 'NR'), ('1', 'NR'), ('Kwu', 'OL'), ('6', 'NR'), ('GWPd', 'OL'), ('3', 'NR'), ('E', 'OL'), ('7', 'NR'), ('bg', 'OL'), ('9', 'NR'), ('진통제', 'NNG'), ('트라', 'NNG'), ('마', 'NNG'), ('돌', 'VV'), ('ㄹ', 'ETD'), ('수면제', 'NNG'), ('졸', 'NNG'), ('피', 'NNG'), ('데', 'VV'), ('ㅁ', 'ETN'), ('수면', 'NNG'), ('유', 'NNG'), ('도', 'JX'), ('저', 'NP'), ('의', 'JKG'), ('스틸녹스', 'UN'), ('스틸', 'NNG'), ('녹', 'NNG'), ('스졸', 'UN'), ('피', 'NNG'), ('데', 'VV'), ('ㅁ', 'ETN'), ('좋', 'VA'), ('ㄹ', 'ETD'), ('피드', 'UN'), ('텔', 'UN'), ('레', 'NNG'), ('그램', 'NNM'), ('mmboy', 'OL'), ('45', 'NR'), ('fdsdf', 'OL')]","[('SlOg', 'SL'), ('8', 'SN'), ('UxyBIAAbto', 'SL'), ('AJgrikulAhMF', 'SL'), ('6', 'SN'), ('vT', 'SL'), ('usb', 'SL'), ('2413', 'SN'), ('nanana', 'SL'), ('05255660', 'SN'), ('1', 'SN'), ('Kwu', 'SL'), ('6', 'SN'), ('GWPd', 'SL'), ('3', 'SN'), ('E', 'SL'), ('7', 'SN'), ('bg', 'SL'), ('9', 'SN'), ('진통제', 'NNG'), ('트라', 'NNP'), ('마돌', 'NNP'), ('수면제', 'NNG'), ('졸', 'NNG'), ('피', 'NNG'), ('뎀', 'NNP'), ('수', 'NNG'), ('면유', 'NNG'), ('도', 'JX'), ('제', 'MM'), ('스틸', 'NNG'), ('녹스', 'NNP'), ('스틸', 'NNP'), ('녹스', 'NNP'), ('졸', 'NNP'), ('피', 'NNP'), ('뎀', 'NNP'), ('졸', 'NNP'), ('피드', 'NNP'), ('텔레', 'NNP'), ('그램', 'NNG'), ('mmboy', 'SL'), ('45', 'SN'), ('fdsdf', 'SL')]"
아편,신의눈물,2021-11-25 05:26:47+00:00,1.46374e+18,s618124794,❤텔＿레 친🧡＿구 맺💛＿기Αpm８８８💚💙,,,ss than he i 환각주 s for his fil 환각 약m roles de 신의눈물 spite havin 우유주,0,0,,"['환각주ㅅㅏ', '환각ㅁㅏ약', '신의눈물', '우유주ㅅㅏ']",,Twitter Web App,"[('ss', 'Alpha'), ('than', 'Alpha'), ('he', 'Alpha'), ('i', 'Alpha'), ('환각', 'Noun'), ('주', 'Noun'), ('s', 'Alpha'), ('for', 'Alpha'), ('his', 'Alpha'), ('fil', 'Alpha'), ('환각', 'Noun'), ('약', 'Noun'), ('m', 'Alpha'), ('roles', 'Alpha'), ('de', 'Alpha'), ('신의', 'Noun'), ('눈물', 'Noun'), ('spite', 'Alpha'), ('havin', 'Alpha'), ('우유', 'Noun'), ('주', 'Noun')]","[('ss', 'SL'), ('than', 'SL'), ('he', 'SL'), ('i', 'SL'), ('환각', 'NNP'), ('주', 'NNP'), ('s', 'SL'), ('for', 'SL'), ('his', 'SL'), ('fil', 'SL'), ('환각', 'NNP'), ('약', 'NNG'), ('m', 'SL'), ('roles', 'SL'), ('de', 'SL'), ('신의', 'NNP'), ('눈물', 'NNP'), ('spite', 'SL'), ('havin', 'SL'), ('우유', 'NNP'), ('주', 'NNP')]","[('ss', 'F'), ('than', 'F'), ('he', 'F'), ('i', 'F'), ('환각주', 'N'), ('s', 'F'), ('for', 'F'), ('his', 'F'), ('fil', 'F'), ('환각', 'N'), ('약m', 'N'), ('roles', 'F'), ('de', 'F'), ('신의눈물', 'N'), ('spite', 'F'), ('havin', 'F'), ('우유주', 'N')]","[('ss', 'OL'), ('than', 'OL'), ('he', 'OL'), ('i', 'OL'), ('환각', 'NNG'), ('주', 'XSN'), ('s', 'OL'), ('for', 'OL'), ('his', 'OL'), ('fil', 'OL'), ('환각', 'NNG'), ('약', 'MDN'), ('m', 'OL'), ('roles', 'OL'), ('de', 'OL'), ('신의', 'NNG'), ('눈물', 'NNG'), ('spite', 'OL'), ('havin', 'OL'), ('우유주', 'NNG')]","[('ss', 'SL'), ('than', 'SL'), ('he', 'SL'), ('i', 'SL'), ('환', 'NNG'), ('각주', 'NNG'), ('s', 'SL'), ('for', 'SL'), ('his', 'SL'), ('fil', 'SL'), ('환각', 'NNG'), ('약', 'NNG'), ('m', 'SL'), ('roles', 'SL'), ('de', 'SL'), ('신', 'NNG'), ('의', 'JKG'), ('눈물', 'NNG'), ('spite', 'SL'), ('havin', 'SL'), ('우유주', 'NNG')]"
아편,신의눈물,2022-04-19 12:29:30+00:00,1.51639e+18,kPTODajzeSAnksd,최기영,,,정량 amp 안전거래원칙 아이스작대기 판매방법 텔레cok778 암페타민 필로폰 복용 충북채팅사이트 셔츠룸 VS 신의눈물 ,0,0,,['아이스작대기'],"[Photo(previewUrl='https://pbs.twimg.com/media/FQtPsHDagAU4_6O?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FQtPsHDagAU4_6O?format=jpg&name=orig', altText=None)]",Twitter Web App,"[('정량', 'Noun'), ('amp', 'Alpha'), ('안전', 'Noun'), ('거래', 'Noun'), ('원칙', 'Noun'), ('아이스', 'Noun'), ('작대기', 'Noun'), ('판매', 'Noun'), ('방법', 'Noun'), ('텔레', 'Noun'), ('cok', 'Alpha'), ('778', 'Number'), ('암페타민', 'Noun'), ('필로폰', 'Noun'), ('복용', 'Noun'), ('충북', 'Noun'), ('채팅', 'Noun'), ('사이트', 'Noun'), ('셔츠', 'Noun'), ('룸', 'Noun'), ('VS', 'Alpha'), ('신의', 'Noun'), ('눈물', 'Noun')]","[('정량', 'NNG'), ('amp', 'SL'), ('안전', 'NNP'), ('거래', 'NNP'), ('원칙', 'NNG'), ('아이스', 'NNP'), ('작대기', 'NNG'), ('판매', 'NNG'), ('방법', 'NNG'), ('텔', 'NNP'), ('레', 'NNP'), ('cok', 'SL'), ('778', 'SN'), ('암페타민', 'NNP'), ('필', 'NNP'), ('로', 'NNG'), ('폰', 'NNP'), ('복용', 'NNG'), ('충북', 'NNP'), ('채팅', 'NNP'), ('사이트', 'NNG'), ('셔츠', 'NNP'), ('룸', 'NNG'), ('VS', 'SL'), ('신의', 'NNP'), ('눈물', 'NNP')]","[('정량', 'N'), ('amp', 'F'), ('안전거래원칙', 'N'), ('아이스작대기', 'N'), ('판매방법', 'N'), ('텔레cok778', 'N'), ('암페타민', 'N'), ('필로폰', 'N'), ('복용', 'N'), ('충북채팅사이트', 'N'), ('셔츠룸', 'N'), ('VS', 'F'), ('신의눈물', 'N')]","[('정량', 'NNG'), ('amp', 'OL'), ('안전', 'NNG'), ('거래', 'NNG'), ('원칙', 'NNG'), ('아이스', 'NNG'), ('작대기', 'NNG'), ('판매', 'NNG'), ('방법', 'NNG'), ('텔', 'UN'), ('레', 'NNG'), ('cok', 'OL'), ('778', 'NR'), ('암페타민', 'NNG'), ('필로폰', 'NNG'), ('복용', 'NNG'), ('충북', 'NNG'), ('채팅', 'NNG'), ('사이트', 'NNG'), ('셔츠', 'NNG'), ('룸', 'NNG'), ('VS', 'OL'), ('신의', 'NNG'), ('눈물', 'NNG')]","[('정량', 'NNG'), ('amp', 'SL'), ('안전', 'NNG'), ('거래', 'NNG'), ('원칙', 'NNG'), ('아이스', 'NNG'), ('작대기', 'NNG'), ('판매', 'NNG'), ('방법', 'NNG'), ('텔레', 'NNP'), ('cok', 'SL'), ('778', 'SN'), ('암페타민', 'NNG'), ('필로폰', 'NNG'), ('복용', 'NNP'), ('충북', 'NNP'), ('채팅', 'NNG'), ('사이트', 'NNG'), ('셔츠', 'NNG'), ('룸', 'NNG'), ('VS', 'SL'), ('신', 'NNG'), ('의', 'JKG'), ('눈물', 'NNG')]"
아편,트라마돌,2022-06-10 12:52:58+00:00,1.53524e+18,hjjang8888,경희,,,트라마돌 여성 작업제 물뽕 필요할때 언제든지 서울,0,0,,['서울'],,Twitter Web App,"[('트', 'Noun'), ('라마', 'Noun'), ('돌', 'Noun'), ('여성', 'Noun'), ('작업', 'Noun'), ('제', 'Noun'), ('물뽕', 'Noun'), ('필요할', 'Adjective'), ('때', 'Noun'), ('언제', 'Noun'), ('든지', 'Josa'), ('서울', 'Noun')]","[('트', 'VV'), ('라', 'EC'), ('말', 'VX'), ('아도', 'EC'), ('ㄹ', 'JKO'), ('여성', 'NNG'), ('작업', 'NNG'), ('제', 'XSN'), ('물', 'NNG'), ('뽕', 'NNG'), ('필요', 'NNG'), ('하', 'XSV'), ('ㄹ', 'ETM'), ('때', 'NNG'), ('언제', 'NP'), ('이', 'VCP'), ('든지', 'EC'), ('서울', 'NNP')]","[('트라마돌', 'N'), ('여성', 'N'), ('작업제', 'N'), ('물뽕', 'N'), ('필요', 'N'), ('하', 'X'), ('ㄹ', 'E'), ('때', 'N'), ('언제', 'N'), ('든지', 'J'), ('서울', 'N')]","[('트라', 'NNG'), ('마', 'NNG'), ('돌', 'NNG'), ('여성', 'NNG'), ('작업', 'NNG'), ('제', 'XSN'), ('물뽕', 'NNG'), ('필요', 'NNG'), ('하', 'XSV'), ('ㄹ', 'ETD'), ('때', 'NNG'), ('언제', 'NP'), ('든지', 'JX'), ('서울', 'NNG')]","[('트라', 'NNP'), ('마돌', 'NNP'), ('여성', 'NNG'), ('작업', 'NNG'), ('제', 'XSN'), ('물뽕', 'NNG'), ('필요', 'NNG'), ('할', 'XSV+ETM'), ('때', 'NNG'), ('언제', 'NP'), ('든지', 'JX'), ('서울', 'NNP')]"
아편,트라마돌,2022-07-21 04:06:05+00:00,1.54997e+18,dmsal103,초코,,,강력졸피뎀구매대행 중추신경계에 작용한 마약성 진통제 트라마돌 팝니다f 부산 비밀 배송,0,0,,,,Twitter Web App,"[('강력', 'Noun'), ('졸피뎀', 'Noun'), ('구매', 'Noun'), ('대행', 'Noun'), ('중추신경계', 'Noun'), ('에', 'Josa'), ('작용', 'Noun'), ('한', 'Josa'), ('마약', 'Noun'), ('성', 'Suffix'), ('진통제', 'Noun'), ('트', 'Noun'), ('라마', 'Noun'), ('돌', 'Noun'), ('팝니다', 'Verb'), ('f', 'Alpha'), ('부산', 'Noun'), ('비밀', 'Noun'), ('배송', 'Noun')]","[('강력', 'NNG'), ('졸피뎀', 'NNP'), ('구매', 'NNG'), ('대행', 'NNP'), ('중', 'NNB'), ('추신', 'NNP'), ('경계', 'NNP'), ('에', 'JKB'), ('작용', 'NNG'), ('하', 'XSV'), ('ㄴ', 'ETM'), ('마약', 'NNG'), ('성', 'XSN'), ('진통제', 'NNP'), ('트', 'VV'), ('라', 'EC'), ('말', 'VX'), ('아도', 'EC'), ('ㄹ', 'JKO'), ('팝', 'NNG'), ('니다', 'NNP'), ('f', 'SL'), ('부산', 'NNP'), ('비밀', 'NNP'), ('배', 'NNG'), ('송', 'NNP')]","[('강력졸피뎀구매대행', 'N'), ('중추신경계', 'N'), ('에', 'J'), ('작용', 'N'), ('하', 'X'), ('ㄴ', 'E'), ('마약성', 'N'), ('진통제', 'N'), ('트라마돌', 'N'), ('팝니다f', 'N'), ('부산', 'N'), ('비밀', 'N'), ('배송', 'N')]","[('강력', 'NNG'), ('졸', 'NNG'), ('피', 'NNG'), ('데', 'VV'), ('ㅁ', 'ETN'), ('구매', 'NNG'), ('대행', 'NNG'), ('중추', 'NNG'), ('신경계', 'NNG'), ('에', 'JKM'), ('작용', 'NNG'), ('하', 'XSV'), ('ㄴ', 'ETD'), ('마약성', 'NNG'), ('진통제', 'NNG'), ('트라', 'NNG'), ('마', 'NNG'), ('돌', 'NNG'), ('팔', 'VV'), ('ㅂ니다', 'EFN'), ('f', 'OL'), ('부산', 'NNG'), ('비밀', 'NNG'), ('배송', 'NNG')]","[('강력', 'XR'), ('졸', 'VA+ETM'), ('피', 'NNG'), ('뎀', 'NNP'), ('구매', 'NNG'), ('대행', 'NNG'), ('중추', 'NNG'), ('신경', 'NNG'), ('계', 'XSN'), ('에', 'JKB'), ('작용', 'NNG'), ('한', 'XSA+ETM'), ('마약', 'NNG'), ('성', 'XSN'), ('진통제', 'NNG'), ('트라', 'NNP'), ('마돌', 'NNP'), ('팝', 'NNG'), ('니다', 'VCP+EF'), ('f', 'SL'), ('부산', 'NNP'), ('비밀', 'NNG'), ('배송', 'NNG')]"
아편,트라마돌,2022-08-11 04:17:47+00:00,1.55758e+18,emiyagook2zzada,1984,,,강력수면제 트라마돌 . 팝니다 : 충남 아산시 총알 배송 .,0,0,,"['강력수면제', '트라마돌']",,Twitter Web App,"[('강력', 'Noun'), ('수면제', 'Noun'), ('트', 'Noun'), ('라마', 'Noun'), ('돌', 'Noun'), ('.', 'Punctuation'), ('팝니다', 'Verb'), (':', 'Punctuation'), ('충남', 'Noun'), ('아산시', 'Noun'), ('총알', 'Noun'), ('배송', 'Noun'), ('.', 'Punctuation')]","[('강력', 'NNG'), ('수면제', 'NNP'), ('트', 'VV'), ('라', 'EC'), ('말', 'VX'), ('아도', 'EC'), ('ㄹ', 'JKO'), ('.', 'SF'), ('파', 'VV'), ('ㅂ니다', 'EC'), (':', 'SP'), ('충남', 'NNP'), ('아산시', 'NNP'), ('총알', 'NNG'), ('배', 'NNG'), ('송', 'NNP'), ('.', 'SF')]","[('강력수면제', 'N'), ('트라마돌', 'N'), ('.', 'S'), ('팔', 'P'), ('ㅂ니다', 'E'), (':', 'S'), ('충남', 'N'), ('아산시', 'N'), ('총알', 'N'), ('배송', 'N'), ('.', 'S')]","[('강력', 'NNG'), ('수면제', 'NNG'), ('트라', 'NNG'), ('마', 'NNG'), ('돌', 'NNG'), ('.', 'SF'), ('팝', 'NNG'), ('니', 'VV'), ('다', 'ECS'), (':', 'SP'), ('충남', 'NNG'), ('아산시', 'NNP'), ('총알', 'NNG'), ('배송', 'NNG'), ('.', 'SF')]","[('강력', 'NNG'), ('수면제', 'NNG'), ('트라', 'NNP'), ('마돌', 'NNP'), ('.', 'SY'), ('팝', 'NNG'), ('니다', 'VCP+EF'), (':', 'SC'), ('충남', 'NNP'), ('아산시', 'NNP'), ('총알', 'NNG'), ('배송', 'NNG'), ('.', 'SF')]"
아편,트라마돌,2022-08-17 01:40:29+00:00,1.55972e+18,gangjaaa,이수진,,,트라마돌 액체 가루형 작업 수면제 실시간 인증 부산 금정,0,0,,"['트라마돌', '금정']",,Twitter Web App,"[('트', 'Noun'), ('라마', 'Noun'), ('돌', 'Noun'), ('액체', 'Noun'), ('가루', 'Noun'), ('형', 'Suffix'), ('작업', 'Noun'), ('수면제', 'Noun'), ('실시간', 'Noun'), ('인증', 'Noun'), ('부산', 'Noun'), ('금정', 'Noun')]","[('트', 'VV'), ('라', 'EC'), ('말', 'VX'), ('아도', 'EC'), ('ㄹ', 'JKO'), ('액체', 'NNP'), ('가루', 'NNG'), ('형', 'XSN'), ('작업', 'NNG'), ('수면제', 'NNP'), ('실시간', 'NNP'), ('인증', 'NNP'), ('부산', 'NNP'), ('금정', 'NNP')]","[('트라마돌', 'N'), ('액체', 'N'), ('가루형', 'N'), ('작업', 'N'), ('수면제', 'N'), ('실시간', 'N'), ('인증', 'N'), ('부산', 'N'), ('금정', 'N')]","[('트라', 'NNG'), ('마', 'NNG'), ('돌', 'VV'), ('ㄹ', 'ETD'), ('액체', 'NNG'), ('가루', 'NNG'), ('형', 'NNG'), ('작업', 'NNG'), ('수면제', 'NNG'), ('실시간', 'NNG'), ('인증', 'NNG'), ('부산', 'NNG'), ('금정', 'NNG')]","[('트라', 'NNP'), ('마돌', 'NNP'), ('액체', 'NNG'), ('가루', 'NNG'), ('형', 'XSN'), ('작업', 'NNG'), ('수면제', 'NNG'), ('실시간', 'NNG'), ('인증', 'NNG'), ('부산', 'NNP'), ('금정', 'NNP')]"
아편,졸피뎀,2022-08-20 16:16:44+00:00,1.56102e+18,slDmDMRHUlX2QKJ,ㅇㅇ,,,수면제 구합니다 디엠주세요 졸피뎀 수면제 스틸녹스,0,0,,"['졸피뎀', '수면제', '스틸녹스']",,Twitter for Android,"[('수면제', 'Noun'), ('구합', 'Noun'), ('니', 'Noun'), ('다', 'Josa'), ('디엠', 'Noun'), ('주세요', 'Verb'), ('졸피뎀', 'Noun'), ('수면제', 'Noun'), ('스틸', 'Noun'), ('녹스', 'Noun')]","[('수면제', 'NNP'), ('구하', 'VV'), ('ㅂ니다', 'EC'), ('디엠주세요', 'NA'), ('졸피뎀', 'NNP'), ('수면제', 'NNP'), ('스틸', 'NNP'), ('녹스', 'NNP')]","[('수면제', 'N'), ('구하', 'P'), ('ㅂ니다', 'E'), ('디엠주세요', 'N'), ('졸피뎀', 'N'), ('수면제', 'N'), ('스틸녹스', 'N')]","[('수면제', 'NNG'), ('구하', 'VV'), ('ㅂ니다', 'EFN'), ('디엠', 'NNG'), ('주세', 'NNG'), ('요', 'JX'), ('졸', 'VV'), ('ㄹ', 'ETD'), ('피', 'NNG'), ('데', 'VV'), ('ㅁ', 'ETN'), ('수면제', 'NNG'), ('스틸', 'NNG'), ('녹슬', 'VV')]","[('수면제', 'NNG'), ('구합니다', 'VV+EF'), ('디엠', 'NNG'), ('주세요', 'NNP'), ('졸', 'NNG'), ('피', 'NNG'), ('뎀', 'NNP'), ('수면제', 'NNG'), ('스틸', 'NNG'), ('녹스', 'NNP')]"
