,date,id,user.username,user.displayname,place,user.location,content,likeCount,retweetCount,viewCount,hashtags,media,sourceLabel
0,2023-02-22 12:18:19+00:00,1628368587592450051,contingent_TRV,contin(우발부채),,profile pic. @Ahchoo_0x0 님,"대학때 룸메가 코코넛밀크 처돌이어서 맨날 이런거 왜먹냐고 구박했는데..
내가이렇게될줄 몰랐지
근데 강남 해*스미스 코코넛위드샷 진짜 맛있어요 처음엔 음? 이딴걸 돈받고 팔다니? 에스프레소에 대한 모독이다 싶은데 가면 갈수록 줄어드는게 아쉬운 맛임..🥹",3,0,264.0,,,Twitter for Android
1,2023-02-04 11:41:03+00:00,1621836226088304640,ehdtn83,Leedongsoo,,,"문화가있는날
위드렌즈
강남강아지분양
바이올렛염색
네버스탑
딸육아
판교운동
실업급여 https://t.co/34JuqVZ8n7",0,0,13.0,,"[Photo(previewUrl='https://pbs.twimg.com/media/FoHrcjJaQAYPyas?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FoHrcjJaQAYPyas?format=jpg&name=orig', altText=None)]",Twitter Web App
2,2023-02-03 07:03:50+00:00,1621404076557864964,ehdtn83,Leedongsoo,,,"청라정서진공원
위드렌즈
탄천습지생태원
김천캠핑장
포승지구
강남강아지분양
실업급여 https://t.co/vTV3vCu9Eq",0,0,4.0,,"[Photo(previewUrl='https://pbs.twimg.com/media/FoBiaFPacAAJq_F?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FoBiaFPacAAJq_F?format=jpg&name=orig', altText=None)]",Twitter Web App
3,2023-02-02 21:36:06+00:00,1621261201182433280,ehdtn83,Leedongsoo,,,"네버스탑
연애
위드렌즈
초대
강남강아지분양
고흥여대생
강아지집사
유흥업소구인 https://t.co/OGo2jwRr3V",0,0,6.0,,"[Photo(previewUrl='https://pbs.twimg.com/media/Fn_gdoFaIAAQace?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Fn_gdoFaIAAQace?format=jpg&name=orig', altText=None)]",Twitter Web App
4,2023-02-02 13:53:46+00:00,1621144850178658304,bitteachtung,눈꺼풀,,Relax dude...,"7. 피부가 좋은 편이었는데 마스크를 쓰고 심한 알러지가 올라와서 러쉬 클렌저 대부분을 써봤습니다 그 마스크 오브 매그너민티인가 빼고... 부쉬드노엘(단종)이랑 렛더굿타임즈롤, 일리페오브페이스, 비비씨위드 좋아요... 저는 극건성이구요 강매가 심한 직원분(강남점X)을 만난 덕에 탈덕했습니다!",0,0,318.0,,,Twitter Web App
5,2023-02-01 09:28:31+00:00,1620715712296939520,ehdtn83,Leedongsoo,,,"립플로그세이펜
강남강아지분양
영양군
탄천습지생태원
꿈리스트
유흥업소구인
위드렌즈
실업급여 https://t.co/f6nLD2bUCn",0,0,2.0,,"[Photo(previewUrl='https://pbs.twimg.com/media/Fn3wWDOakAAH0YX?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Fn3wWDOakAAH0YX?format=jpg&name=orig', altText=None)]",Twitter Web App
6,2023-01-30 08:08:03+00:00,1619970686281457664,l2931,이화영,,,"강남강아지분양
남해군주유소
생일상
네이버스토어
초대
섹스
위드렌즈 https://t.co/WI7BIQK6PQ",0,0,14.0,,"[Photo(previewUrl='https://pbs.twimg.com/media/FntKv3raUAAV3z3?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FntKv3raUAAV3z3?format=jpg&name=orig', altText=None)]",Twitter Web App
7,2023-01-29 20:09:17+00:00,1619789799958937601,l2931,이화영,,,"보빨
공통점
뱅기
위드렌즈
강남강아지분양
전국꽃배달
굿럭
남해군주유소 https://t.co/AWv6QGqORn",0,0,27.0,,"[Photo(previewUrl='https://pbs.twimg.com/media/FnqmO2PaQAElWL0?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FnqmO2PaQAElWL0?format=jpg&name=orig', altText=None)]",Twitter Web App
8,2023-01-16 07:00:57+00:00,1614880366770393092,skybadalove,James Kim,,,"섹,알,,바대량모집 1일수익 800만

홈: yen38.c0m

유흥업소구인
30채팅사이트
상줘야해
대구프리마켓
포승지구
조언글귀
기분좋음
직딩
위드렌즈
태백피시방
강남강아지분양",0,0,28.0,,,Twitter Web App
9,2023-01-14 10:35:46+00:00,1614209653457694721,skybadalove,James Kim,,,"섹,알,,바대량모집 1일수익 800만

홈: yen38.c0m

위드렌즈
남친님이주신선물
오산채팅
부산뉴본
굿럭
서울마라톤2022
양산시커피숍
루이비통트위스트
섹스
강남강아지분양",0,0,70.0,,,Twitter Web App
