,date,id,user.username,user.displayname,place,user.location,content,likeCount,retweetCount,viewCount,hashtags,media,sourceLabel
0,2023-03-30 21:40:21+00:00,1.64156E+18,Brittne70253823,FASTice,,,"문의 텔레 @ F a s t i c e119
아이디 변화없이 쭉갑니다 
⚠안전 최우선 ! ⚠
⏩  빠른거래 ⏩
👀대량 소량 샘플 메뉴보고가세요👀
 아이스 찬술 작대기 
엑스터시 캔디 떨액  
시원한술 케이 
브액 빙두 수면제 졸피뎀 
드라퍼 모집 https://t.co/Z8KbdrcQa4",0,0,23,,"[Photo(previewUrl='https://pbs.twimg.com/media/Fsf6eFNaIAEMGQa?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Fsf6eFNaIAEMGQa?format=jpg&name=orig', altText=None)]",Twitter Web App
1,2023-03-30 20:47:13+00:00,1.64154E+18,Mariela87398441,Mariela,,,"🍭blue punisher🍭
🛫입고 🛬
문의 텔레 @Fastice119
⚠️안전 최우선 ! ⚠️
⏩  빠른거래 ⏩
👀대량 소량 샘플 메뉴보고가세요👀
 아이스 찬술 작대기 엑스터시 캔디 떨액  
시원한술 케이 브액 빙두 
드라퍼 모집 https://t.co/tX0Br3cil5",1,0,14,,"[Photo(previewUrl='https://pbs.twimg.com/media/FsfuTuWaIAA2iYo?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FsfuTuWaIAA2iYo?format=jpg&name=orig', altText=None)]",Twitter Web App
2,2023-03-30 19:46:27+00:00,1.64153E+18,Mariela87398441,Mariela,,,"🍭PINK MAYBACH🍭
🛫입고 🛬
문의 텔레 @Fastice119  
⚠️안전 최우선 ! ⚠️
⏩ 빠른거래 ⏩
👀대량 소량 샘플 메뉴보고가세요👀
아이스 찬술 작대기 엑스터시 캔디 떨액 
시원한술 케이 브액 빙두 
드라퍼 모집 https://t.co/AT4gk3n6gi",1,0,7,,"[Photo(previewUrl='https://pbs.twimg.com/media/FsfgZsIaYAAW8WN?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FsfgZsIaYAAW8WN?format=jpg&name=orig', altText=None)]",Twitter Web App
3,2023-03-30 18:30:41+00:00,1.64151E+18,Mariela87398441,Mariela,,,"🍭blue punisher🍭
🛫입고 🛬
문의 텔레 @Fastice119
⚠️안전 최우선 ! ⚠️
⏩  빠른거래 ⏩
👀대량 소량 샘플 메뉴보고가세요👀
 아이스 찬술 작대기 엑스터시 캔디 떨액  
시원한술 케이 브액 빙두 
드라퍼 모집 https://t.co/amCGGb9pKk",1,0,10,,"[Photo(previewUrl='https://pbs.twimg.com/media/FsfPDlhaAAEVvQr?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FsfPDlhaAAEVvQr?format=jpg&name=orig', altText=None)]",Twitter Web App
4,2023-03-30 18:18:19+00:00,1.64151E+18,Mariela87398441,Mariela,,,"🍭PINK MAYBACH🍭
🛫입고 🛬
문의 텔레 @Fastice119  
⚠️안전 최우선 ! ⚠️
⏩ 빠른거래 ⏩
👀대량 소량 샘플 메뉴보고가세요👀
아이스 찬술 작대기 엑스터시 캔디 떨액 
시원한술 케이 브액 빙두 
드라퍼 모집 https://t.co/MpGSqw9tfG",1,0,9,,"[Photo(previewUrl='https://pbs.twimg.com/media/FsfMOzZaMAE_J2h?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FsfMOzZaMAE_J2h?format=jpg&name=orig', altText=None)]",Twitter Web App
5,2023-03-30 16:23:08+00:00,1.64148E+18,Brittne70253823,FASTice,,,"🍭PINK MAYBACH🍭
🛫입고 🛬
문의 텔레 @ F a s t i c e119
아이디 변화없이 쭉갑니다   
⚠안전 최우선 ! ⚠
⏩ 빠른거래 ⏩
👀대량 소량 샘플 메뉴보고가세요👀
아이스 찬술 작대기
 엑스터시 캔디 떨액 
시원한술 케이 브액 
빙두 수면제 졸피뎀 
드라퍼 모집 https://t.co/mhDtAVoYpc",0,0,23,,"[Photo(previewUrl='https://pbs.twimg.com/media/Fsex25KaQAIXDl2?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Fsex25KaQAIXDl2?format=jpg&name=orig', altText=None)]",Twitter Web App
6,2023-03-30 10:10:34+00:00,1.64138E+18,LMouraIndonesia,Lucas Moura ,,,"☆ 오방약국 텔레그램 &gt; p i n k m a n 1 1 4 &lt; 
  
경남드라퍼모집  
코카인팝니다  
파티마약하는법  
케이팔아요  
정글주스팔아요  
창원드러그  
#댑 https://t.co/Or2vPxRQ3p",0,0,47,['댑'],"[Photo(previewUrl='https://pbs.twimg.com/media/Fsdck53aQAEKNbw?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Fsdck53aQAEKNbw?format=jpg&name=orig', altText=None)]",Twitter Web App
7,2023-03-30 08:44:58+00:00,1.64136E+18,LMouraIndonesia,Lucas Moura ,,,"♥ 오방약국 텔레그램 &gt; p i n k m a n 1 1 4 &lt; 
  
원석케이팔아요  
Molly  
강원도케이밀크  
드라퍼  
엑시터시팔아요  
얼음술  
#s케타민팝니다 https://t.co/rQ0tXx3RKu",0,0,23,['s케타민팝니다'],"[Photo(previewUrl='https://pbs.twimg.com/media/FsdI96lagAAcaMI?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FsdI96lagAAcaMI?format=jpg&name=orig', altText=None)]",Twitter Web App
8,2023-03-30 08:36:51+00:00,1.64136E+18,Jhenbatar,Jhen batar,,,"◈ 오방약국 텔레그램 &gt; p i n k m a n 1 1 4 &lt; 
  
몰리사는곳  
케이캔디파는곳  
강서얼음술  
브액구하는법  
드라퍼  
광주케이밀크  
#전국s케타민 https://t.co/tSutCL5azO",0,0,55,['전국s케타민'],"[Photo(previewUrl='https://pbs.twimg.com/media/FsdHHK_acAA972i?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FsdHHK_acAA972i?format=jpg&name=orig', altText=None)]",Twitter Web App
9,2023-03-30 05:23:05+00:00,1.64131E+18,Brittne70253823,FASTice,,,"문의 텔레 @ F a s t i c e119
아이디 변화없이 쭉갑니다 
⚠안전 최우선 ! ⚠
⏩  빠른거래 ⏩
👀대량 소량 샘플 메뉴보고가세요👀
 아이스 찬술 작대기 
엑스터시 캔디 떨액  
시원한술 케이 
브액 빙두 수면제 졸피뎀 
드라퍼 https://t.co/jQix4ht6jS",0,0,26,,"[Photo(previewUrl='https://pbs.twimg.com/media/FscayiHakAEH-2h?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FscayiHakAEH-2h?format=jpg&name=orig', altText=None)]",Twitter Web App
