,date,id,user.username,user.displayname,place,user.location,content,likeCount,retweetCount,viewCount,hashtags,media,sourceLabel
0,2022-08-31 23:56:51+00:00,1565126502391300096,inseng_in_mu,🦜🏴‍☠️5/7낮➡잡동사니,,박준휘 정지우 류동휘 정성일 최석진 / 다수의 애배♥,@I_love_Ne0 아하아하 일단 주사기 맘에 들어서 주사기로..!!!,0,0,,,,Twitter for Android
1,2022-08-31 23:54:33+00:00,1565125923044728833,inseng_in_mu,🦜🏴‍☠️5/7낮➡잡동사니,,박준휘 정지우 류동휘 정성일 최석진 / 다수의 애배♥,@I_love_Ne0 오옹 젤 많이 쓰시는 임티가 주사기인가여???,0,0,,,,Twitter for Android
2,2022-08-31 23:42:31+00:00,1565122893410816000,examination171,공형진,,,에피네프린 주사기에마이크를 심어놨습니다,0,0,,,,twittbot.net
3,2022-08-31 23:20:45+00:00,1565117416287485952,retention_SH,석하,,사막과 가장 가까운 이층집,"""주사기.... 그거 더 있지?""
""놔 줘.""",0,0,,,,Botbird tweets
4,2022-08-31 23:12:43+00:00,1565115395966611456,examination171,공형진,,,방법을 찾았습니다에피네프린 주사기에,0,0,,,,twittbot.net
5,2022-08-31 17:29:11+00:00,1565028943346139136,pigyrogers,권돼리 오너 로주,,,론희 : ㅎㄴㅂ을 안본 뇌신데 대마티비 주사기티비를 하셨다고...? 곡가씨...타고나셨나봐여..!,4,0,,,,Twitter Web App
6,2022-08-31 17:28:19+00:00,1565028724181184513,Dr_wasab1_ck,DR. WASABI,,,"나 아직 아무짓도 안 했다―? 
와사비 시럽이 가득 있는 주사기를 
빙빙 돌린 걸 제외하고 말이야!",0,0,,,,Twitter for Android
7,2022-08-31 17:26:36+00:00,1565028291727073280,Hero_Bloodstain,BLOODSTAIN,,피투성이 히어로는 쓰러지지 않아.,"이런 X발, 한 입 크게도 처먹네. 무한리필 고기는 맛있냐? (떨리는 손으로 주사기 하나를 꺼내어 목덜미에 박아넣는다. 크게 심호흡 한 번.)",0,0,,,,twittbot.net
8,2022-08-31 16:43:22+00:00,1565017410843049984,letter_for_muse,아샤,,브릭스턴.,"나 5cc주사기 있을텐데.. 어디 뒀지..
잉크 소분 하려고 하는데 없어",0,0,,,,Twitter for Android
9,2022-08-31 16:30:39+00:00,1565014210928844801,gameisonh,sherlock,,d,@john_H_watson_D ( 주사기를 빙글 돌린다.),0,0,,,,Twitter for iPhone
10,2022-08-31 16:27:09+00:00,1565013332243156997,gameisonh,sherlock,,d,@john_H_watson_D 그건 주사기에게 어울리는 곳이 아닌데. 💉,0,0,,,,Twitter for iPhone
11,2022-08-31 16:26:34+00:00,1565013185148514304,Hero_Bloodstain,BLOODSTAIN,,피투성이 히어로는 쓰러지지 않아.,"(주사기를 꺼내 목덜미에 꽂았다. 전신에 약물이 도는 익숙한 감각. 심장은 터질 듯 뛰는데 온몸의 감각은 마비되어 붕 뜨는 것 같은 기분. 깊게 숨을 들이쉰다. 폐 구석까지 들어오는 공기가 차다. 좋아, 이걸로 준비는 끝이야.)",0,0,,,,twittbot.net
12,2022-08-31 16:14:40+00:00,1565010188507447301,john_H_watson_D,𝘑𝘰𝘩𝘯 𝘞𝘢𝘵𝘴𝘰𝘯,,"London, S R H",내가 방금 셜록홈즈들이 동시에 주사기 꺼내는 걸 봤는데···,3,0,,,,Twitter for Android
13,2022-08-31 16:07:31+00:00,1565008392087019520,20000320stay,김하트,,,"아니 표현이 좀 미쳤음 
주사기 심장에 찔러넣을 때 
표정이 진짜 띠용임 
진짜 아파보여 

아니 이거는 도져니 스승님이 
금방이라도 잠들만큼 피곤하게 
걷다가 
잠깐 앉을 때 자세가 
찐으로 다리 아픈 사람이라 
넘 놀랜 수준을 넘어섰음",0,0,,,,Twitter for Android
14,2022-08-31 15:56:46+00:00,1565005684680245249,your__lodestar,🌊,,,주사기랑 약물. 은퇴식이라고 적힌 약물.,0,0,,,,twittbot.net
15,2022-08-31 15:52:24+00:00,1565004585064071169,erurirure,북치는토끼,,,"주사기 낭설 ㅅㅂㅋㅋㅋㅋ 
실제로는 스테비아녹인물에 토마토를 넣고 압력을 가한다는거구나 https://t.co/g0c7L9Afd1",0,0,,,"[Photo(previewUrl='https://pbs.twimg.com/media/FbgDX1kVUAMqdqj?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FbgDX1kVUAMqdqj?format=jpg&name=orig', altText=None)]",Twitter for iPhone
16,2022-08-31 15:46:58+00:00,1565003217695801345,sin_guhwa,연공계,,,"@Iam_villein ㅋㅋㅋㅋ...
1기땐 힘 모잘라서 강제 주사기 맞음
1.5기 음료수 받았는데 냄새 못맡아서 걍 마셨는데 그게 상태이상 걸리게 하는 음료수
2기 설득한다고 이사장에게 불태워짐.

멋지네요",1,0,,,,Twitter for Android
17,2022-08-31 14:58:43+00:00,1564991077102133249,chickenis_truth,햄🎮🦑,,,우와 오늘 챔피언 두번했다!!!! ㅠㅠㅠ 두번째 챔피언했던 판은 듀오님 튕겨서 파밍늦고 나는 주사기 없어서 피1로 계속 버티다가 이김 ㅠ ㅠㅠ ㅠㅠ짜릿해 https://t.co/CQO3VUbJXc,1,0,,,"[Photo(previewUrl='https://pbs.twimg.com/media/Fbf20l3VUAAMHdo?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Fbf20l3VUAAMHdo?format=jpg&name=orig', altText=None), Photo(previewUrl='https://pbs.twimg.com/media/Fbf20lwUsAMuDQ8?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Fbf20lwUsAMuDQ8?format=jpg&name=orig', altText=None)]",Twitter Web App
18,2022-08-31 14:25:13+00:00,1564982645565452291,4evrsjluv,𝐽𝑢𝑑𝑦,,I: 도치님 H: 마리님,"잠시만 하고 슬비 찾았어. 연구실에서 주사기 들고 있던 슬비가 들고 있던 녹색 약물. 최근 연구하던 파란색 약물과 이질적인 색깔. 녹색의 약물 투타쿨룸을 담은 주사기 멍하니 바라보는 슬비. 급하게 문을 열고 찾아온 세진은 같이 가자고 말꺼냈지만, 슬비는 옅은 웃음 지으며 조심히 가라고 했어.",11,0,,,,Twitter for iPhone
19,2022-08-31 14:15:31+00:00,1564980204446945281,uusshh_,팡염 5/5 밤 👉🏻씅씅,,우리명이사는금강산🏔️🏔️,아 그리규 오늘 내 자리 으시니 보기 딱 좋앟음 진짜 책상 바로 앞이고.. 주사기 찌르는 장면 빼고 다 잘 본 듯 ㅠㅜㅜ,0,0,,,,Twitter for iPhone
20,2022-08-31 14:14:31+00:00,1564979954558742528,cheche61018689,체체,,,@lusipeo20 * ...(주사기 내용물이 남아 있는지 확인한다),1,0,,,,Twitter for Android
21,2022-08-31 14:08:48+00:00,1564978514465460226,lusipeo203,루시퍼,,지옥어딘가 있다,"@cheche61018689 *(그가 잔다)
*(그의 방에 이상한 주사기가 넗어저있다)",1,0,,,,Twitter for Android
22,2022-08-31 14:04:46+00:00,1564977501574537218,etaas_mu,에타,,드아센 객석,"몀렬이가 된 으신 짱궁금한데 난 씅몀렬이 보고싶다....
주사기 잡아다 냅따 던지던 성질머리 ...하....",2,0,,,,Twitter for Android
23,2022-08-31 13:52:11+00:00,1564974332849270786,HHDspiner,혜회,,마음의 불을 켜줄 존재,케이오고나서도 내가 사람을 죽였을리 없어 하면서 주사기로 다시한번 자기 찌르려고 하는것도 좋았고,1,0,,,,Twitter for Android
24,2022-08-31 13:48:49+00:00,1564973487361363968,amorook178,아모,,,"진통제 맞고 박히는 히지카타도 존나 좋다

하도 임무만 나가면 다치니까 붕대랑 진통제랑 다 굴러다니는 야매 의무실 소파에서 퍽퍽 박히다가 상처 도로 다 터지고 너무 아파서 탁상 위에 주사기 중 하나 집어서 자기 목덜미에 꽂아버리는 히지카타",5,1,,,,Twitter for iPhone
25,2022-08-31 13:25:43+00:00,1564967674417147904,uuinuy,웅에루,,,"""괜찮으니까 가만히 있어요 형""하면서 애널에 찔끔씩 주사기 집어넣어. 그렇게 다 넣고 물을 집어넣기 시작한 의대생친구. 남캐가 느낌 이상하다면서 빼달라고 하지만 절대 안빼줌.. 결국 물 다 넣고 플러그 같은거 애널에 끼움.. 물 빠지면 안되니까.. (만화적 허용으로 의료행위라고 하자)",2,0,,,,Twitter for Android
26,2022-08-31 13:25:41+00:00,1564967665277747200,uuinuy,웅에루,,,배 문지르면서 나와. 결국엔 아까 그 의대생 친구 집으로 소환. 당연히 왜 속아픈 사람한테 라면을 주냐며 혼났음. 그런데 입으로는 먹을수도 마실수도 없는 노릇이니 이걸 어찌해야하나 하다가 후장으로 물 넣어주기로 한 후배들. 남캐 정신이 왔다갔다 해서 아무것도 모르는데 바늘 없는 주사기,1,0,,,,Twitter for Android
27,2022-08-31 13:22:07+00:00,1564966768682369024,Tterr99,테르,,인간은 그 기억으로 살아간대요🤖,마지막 실험에서도 첫번째 주사가 실패하니까 당황했다가도 투여량을 늘려야 한다고 중얼거리는데 손에 주사기 들고 잠깐 고민하는 듯 하더니 바로 심장에 꽂아넣던 씅의신ㅠㅜㅜ 엄청 괴로워하면서 바닥에 쓰러지고😢,0,0,,,,Twitter for Android
28,2022-08-31 12:58:44+00:00,1564960883801231360,AkiraBte,アキラ,,흩어져도 찾아줘.,"@RoisonPulis 책을 내면 하나 선물해줘요. 영광이라 보관해야죠. 
(자신도 농을 하다가 고갤 기울여) 아무래도 그렇죠. 
방금 미식이라고 말했잖아요? 직접적으로 사냥을 목적하지 않는 이상은.. (주사기를 보여주고는 눈 깜빡) 
이런 방법도 있고요?",0,0,,,,Twitter for Android
29,2022-08-31 12:14:38+00:00,1564949782648737793,meunghaejun6,포도껍질,,온갖거 유영하는 배,주문한 인쇄기 주사기는 인천에서 움직이질 않네 ㅋㅋㅋㅋㅋ,1,0,,,,Twitter for Android
30,2022-08-31 12:07:53+00:00,1564948085632946176,kamenodream,김🫠,,,@READ_REAM 헉 그때는.... 종이로 입구 막고 뒤집으셧던가요?? 그거랑 주사기에 남은거 빼내시던거 기억나요 히히 병을 엎어서 하는건...진자 엎을것같으니까() 주사기를 쓰는게 나을지도..,0,0,,,,TweetDeck
31,2022-08-31 11:57:50+00:00,1564945556287303680,Pike_MaBot,제2형 피케,,,커다란 주사기를 엉덩이에 꽂아버리는건 어때? #pike,0,0,,['pike'],,twittbot.net
32,2022-08-31 11:48:01+00:00,1564943084756291584,ink_write_cali,잉크,,,@_OnPha_ 꼭 주사기 아니어도 스포이드도 충분해요!!전 항상 스포이드로 하는...ㅋㅋㅋㅋㅋㅋㅋ 홧팅입니닷!!!!!,0,0,,,,Twitter for Android
33,2022-08-31 11:47:06+00:00,1564942856007335936,_OnPha_,𝓞𝓷𝓟𝓱𝓪 (*´∇｀)ﾉ,,"모험을 떠나자, 그라하 티아.",@ink_write_cali 일회용 주사기 있습니당! ㅋㅋㅋㅋ 와 이거 꿀팁이네요. 패트롤마블은 안 보이니 인내심이 필요하겠지만... 감사합니다ㅜㅡㅜㅋㅋㅋㅋㄱ,0,0,,,,Twitter for Android
34,2022-08-31 11:36:53+00:00,1564940282223034368,GanglimThePray,최강림,,Ripples,"(찬 약물이 피부 속으로 밀려드는 느낌은 언제나 불쾌하고 아프다. 망설임없이 행한 뒤 빈 주사기를 챙겨 뒤돌던 그가 등뒤로 던진 한 장의 부적이 팔랑 날아들어 심장에 소리없이 자리잡아 붙으며, 핑 도는 듯하던 시야도, 귀를 찢고 고막을 녹일 듯하던 이명들도 조금씩 잦아들어 가는 게 느껴졌다.)",1,1,,,,Twitter for Android
35,2022-08-31 11:33:43+00:00,1564939484940357632,GanglimThePray,최강림,,Ripples,"앞에 꿇어앉았다. 얼굴은 전혀 보이지 않았지만, 그가 꺼내든 것이 맑은 액체가 든 주사기임은 확실히 보였다. 순간 정말로 숨이 턱 멈춘다. 정말이냐, 그저 죽이기 위해 데려왔단 말인가. 어이가 없어 웃음이 터질 것 같다.
하지만 곧 그 자가 읊조린 '진정제이니 조금 나아질 것이다' 라는 소리에",1,1,,,,Twitter for Android
36,2022-08-31 11:23:40+00:00,1564936959805440000,After_Blanche,블랑쉐 루,,,(이내 수긍하는 듯한 반응에 어깨를 한 번 으쓱이곤 웃으며 주사기를 건넨다. 걷은 소매를 좀 더 올리고 힘을 뺀 채 상대에게 팔을 건넨다. 하얀 팔뚝 아래로 투명히 동맥이 비친다. 이런 행위는 아무것도 아닌 평상의 일이라는 걸 증명하듯 맥은 느리게 뛴다.),0,0,,,,twittbot.net
37,2022-08-31 11:20:26+00:00,1564936142083936256,DPdvcvmVU3rXulb,이순희,,,"2015년 4월에 분명히 -10cm 주사기로 코에 주사맞았습니다..아니라고 하더군요..
증상은 '후비루' 라고 합니다.
주사기를 높이 쳐들었다가 ..
분명, 코에서 목 뒤로 넘어가는 연결을 입안으로 ..
-#문창극CCP가 --고쳐주지 못하게 지령 내린것 (낄낄대며)
한국 트위터에 썼습니다.
하나님께 기도를",0,0,,['문창극CCP가'],,Twitter for Android
38,2022-08-31 11:12:38+00:00,1564934179120242690,djright0729,헤헤,,,"동재가 맏형인데 어느날 밤, 아버지가 서재로 부르는 거임. 어리둥절한 채로 무슨 일이시냐고 물었는데 약통 하나와 주사기, 약병 여러 개 주더니 매일 한 알씩 먹고 한 달에 한 번 주사 놓으라고 함.",0,0,,,,Twitter for iPhone
39,2022-08-31 10:43:06+00:00,1564926747203993600,Cosmic_peanut_,피넛버터,,침대,머큐리를 얕보면 안돼요!작은 머큐리는 작지만 졸라 큰 주사기가 있거든요!,1,1,,,,Twitter for Android
40,2022-08-31 10:22:09+00:00,1564921476989714432,puaich,🐕🌊한 나무늘보,,대한민국,"의외지만, 우리 전공에서 자주 쓰는 거 : 메스, 주사기, 알코올, 아세톤",0,0,,,,Twitter for iPhone
41,2022-08-31 09:36:46+00:00,1564910055417384960,learningarbol01,{세퀘이아 도서관},,깊은 숲속 어딘가에,"@_Rabbit_hero (수술침대 위에 그를 올려두곤 주사기를 이용해 무언가를 주입한다)
(정말 마법같이 상처가 치료되었다)",0,0,,,,Twitter Web App
42,2022-08-31 08:13:28+00:00,1564889093552893952,eSs1289,💛⃢농놀메인트U5,,H&I: CM,"......3D네
.....나 주사기못봐",0,0,,,,Twitter for Android
43,2022-08-31 07:51:18+00:00,1564883513480220673,first_rok,ROK_First,,,"@tw11071209 오른쪽 사진이 이재명 주사 놓는 사진이라면, 진짜 코로나 백신용 주사기가 아니네요. 헐~",1,0,,,,Twitter Web App
44,2022-08-31 07:32:48+00:00,1564878859425959936,gangpan10,slow강판,,...............'.........,@3BAN_BUJANG 마약..넣는 주사기..?!?,0,0,,,,Twitter for Android
45,2022-08-31 07:11:18+00:00,1564873449625223168,silo0325,시로,,카게야마의 마음 속,"""... 널 만나러갈게, 고시키""
좀비의 생명력은 강했던 탓일까, 피가 마르지 않고 조금 남아있었음

곧이어 시라부는 그 피를 채취해 주사기에 넣고 자신에게 주사 했겠지

끗^-^.",1,0,,,,Twitter for Android
46,2022-08-31 06:28:28+00:00,1564862666363256832,xoxo_your_snsn,서나(૭ ᐕ)૭,,ʸᵉᵃʰᵎᵎ े ̡̡⍤⃝  ̢̢ेे ꒳ᵒ꒳ᵎᵎ,다른 잉크 세척해도 펄잉 넣었던 거라 섞일 각오하고 5mm 소분병 주둥이에 푸샥푸샥 하다가 조금이겠지만 섞였겠구나 싶어지고... 하... 주사기 들고 올 걸.,1,0,,,,TweetDeck
47,2022-08-31 04:23:28+00:00,1564831209154551808,tados_907,🏳️‍🌈ଳ ᙅ⩬ 통 밖의 도스,,어디냐,"#자캐의_전투설정_하나하나_풀어주라 
드레이크
참전이유: 자기가 가는 길에 상대가 있어서
무기: 주사기총... 이빨...
포지션: 힐러 겸 딜러
준비방법: 독을 고름
참전태도: 너를 죽이고 앞으로 나아가겠다
휴식 여부: 수면시간 빼고는 안 쉼
수면시간: 5~10
전투방식: 피하기 힘들게 파고드는 편",3,0,,['자캐의_전투설정_하나하나_풀어주라'],,Twitter for Android
48,2022-08-31 04:21:18+00:00,1564830665543401472,B83MT,썽유,,,"꺅

.......마음찢어져
..................저뻘하지만 주사기보고 해난이아버지가...
 식물연구를하셨던건가?! 라는착각을",1,0,,,,Twitter for Android
49,2022-08-31 04:17:06+00:00,1564829609467990016,winterrain_lee,겨울비😷,,,@sugirane @langyahwi 며칠 전 드디어 마지막 카트리지를 꼽았습니다 ㅋㅋㅋㅋ 당한 직후에는 주사기 쓰는데 한동안 잊고 있다가 다시 꺼내니까 또 정신 못차리고 그대로 꼽아버렸지 뭐예요🙄️ 다행히 이제는 요령이 생겨서 그럴 땐 잉크 쫙쫙 마시는 종이에 붙여줘요 그럼 좀 낫더라고요,0,0,,,,Twitter for iPhone
50,2022-08-31 04:15:08+00:00,1564829115227680768,sugirane,🌲 수기 🌲,,뒹굴뒹굴데구르르르,@winterrain_lee @langyahwi ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 이렇게 선녀화가 ㅋㅋ 그렇게 힘드시면 주사기로 카트리지 잉크 뽑아서 컨버터에 씁시다 넘 스트레스 받지 말구요 ㅠㅠ,1,0,,,,Twitter for iPhone
51,2022-08-31 04:09:00+00:00,1564827572093198336,bv_yeongong,😈에셋😈,,연공계임 볼 거 없어요,"@liketh37i 하지만 아타가 주사기 꼽고 헥헥 대고있었잔아요 
아타탓 아닐까?",0,0,,,,Twitter Web App
52,2022-08-31 03:53:06+00:00,1564823567958622208,Bruteinfo,브루트정보봇,,,"아스클레(27)
계급 : 어소시에이트
종족 : 키메라
무기 : 의료도구
공사 구분이 확실하며 되도록 적이 없는 평화를 좋아하기에 위험은 싹부터 자른다. 무기로 사용하는 의료도구중 하나인 주사기에는 자신의 독을 넣는데 살상용이라기 보단 마취용.",0,0,,,,twittbot.net
53,2022-08-31 01:56:40+00:00,1564794267494936576,forlife_21,TK,,,쿠팡이 나한테 일회용 주사기 떨어질 때 되지 않았냐고 품절 되기 전에 빨리 사라고 푸시 보냄. 쿠팡 눈치 챙겨….,5,0,,,,Twitter for iPhone
54,2022-08-31 01:07:54+00:00,1564781996202610688,bluefoxx111176,파란 여우 𐦝,,두아트,그리고 약먹이는 방법?도 알려주시는데 거북이 약먹이는거 정말 어려움 살다살다 이렇게 약먹이기 어려운 동물 처음 봤음ㅠㅠ 암튼 물약으로 타서 주사기에 넣고 작은 팁을 끼워서 먹이는데 코로 들어가지 않게 주의해서 먹여야함 강급 너무 어려움 https://t.co/Lsm3s2iLEK,0,0,,,"[Photo(previewUrl='https://pbs.twimg.com/media/Fbc47rqUUAAyn9V?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Fbc47rqUUAAyn9V?format=jpg&name=orig', altText=None)]",Twitter for Android
55,2022-08-31 01:04:47+00:00,1564781209032736768,ohmir,ohmir 😷,,,"나 좀 봐. 어제 주사기 주문하면서 3박스면 150일, 5개월 쓸 수 있다고 생각하면서 2박스 주문했네. 100일 3개월 금방 지나는데. 와 올해도 4달 남았네.",0,0,,,,Twitter for iPhone
56,2022-08-30 23:32:38+00:00,1564758022139719680,BeingAsked,함함함(뱌씨겨자) #freeHK,,성폭력 공소시효 폐지하자,고영 인슐린 주사 놓고 주사기 정리하다가 손가락 찔림💉😔,0,0,,,,Twitter for iPhone
57,2022-08-30 23:06:42+00:00,1564751493315821568,Nenem_nurse_bot,네넴,,,흐엥?! 주사기를 깜빡하고 방에 두고 왔어요오!!,0,0,,,,twittbot.net
58,2022-08-30 22:24:22+00:00,1564740838730924032,Rueyeka_1,🖤,,i. 본인,"@bellk43 ( 주사기를 보고 움칫, ) 안 아프게 해줘... ('-'...",0,0,,,,Twitter for Android
59,2022-08-30 22:00:07+00:00,1564734737444651008,Fallen_Canuto,카누토 바실리오,,Canuto Basilio = Perez,"전 백신을 다룰 줄 알지, 주사기는 못 다룹니다.",0,0,,,,Cubi.so
60,2022-08-30 20:19:15+00:00,1564709354410242048,Ailio_B_Harace_,에일리오 B. 헤레이스,,그 어디든.,하나에.... 제가 어제 열심히 고민을 해보았습니다. 아무리 생각해도 주사기가 당신 것 같아요... 하지만 틀리다면 그것은 새드... 당신 호감도는 배드... (나름 랩하러 옴),0,0,,,,twittbot.net
61,2022-08-30 19:55:33+00:00,1564703390122516480,bellk43,베론,,할말 있으면 아래 링크로,"@Ryuhwa_2559 AB, 류화. (주사기에 담긴 네 혈액 바라보며) 좋아. 기억했어. 난 베론. 다음에 만날 때 베론이라 불러줘. 네가 나눠준 피는 정말 급할 때 마시도록 할게.",0,0,,,,Twitter for Android
62,2022-08-30 19:42:59+00:00,1564700226711011328,bellk43,베론,,할말 있으면 아래 링크로,@Akiko_mio_bot 말이 잘 통해서 좋네. (네게 작은 주사기를 보여주며) 이대로 헌혈해도 괜찮지? 아픈 것보다 따끔한 게 나을 테니.,0,0,,,,Twitter for Android
63,2022-08-30 18:55:20+00:00,1564688234273439744,bellk43,베론,,할말 있으면 아래 링크로,"@Rueyeka_1 좋아, 그렇게 많이는 안 가져갈 테니까. (작은 주사기를 꺼내 네게 보이고) 헌혈로 가져가도 괜찮지?",0,0,,,,Twitter for Android
64,2022-08-30 17:43:09+00:00,1564670070877343744,sweethur2,빵냥,,♡ 구독 ROM 無言フォロー ♡,@yobbidesu 주사기,1,0,,,,Twitter for iPhone
65,2022-08-30 17:26:25+00:00,1564665859528073216,nestoast_,🌿검.싱.성불 Nestoast🍞🎮,,,"맵 중에 동서남북으로 주사기 있는 곳이 있어요 :)....
...
...
...
...
...하...
공포증 모자이크 기능 왜 없냐 ..",2,0,,,,Twitter for Android
66,2022-08-30 17:25:17+00:00,1564665573841453056,tooth_TRPG,사랑니🦷,,HD: @Myamm_PT,"헤에 창천 8인레이드중에 주사기 많이나오는곳이 있군요(창천레이드를 아직도안가서)
네스상 주물주물하기 네스님은 강한토끼야 데키루코",1,0,,,,Twitter Web App
67,2022-08-30 17:22:35+00:00,1564664895265980417,nestoast_,🌿검.싱.성불 Nestoast🍞🎮,,,"흐아앙
하지만 저 아직도 창천8인레이드 중에 주사기 많이 나오는 곳 가면 힘들어한다고요ㅡ! (근데 거기 리트 자주 나서 고통 길어짐",1,0,,,,Twitter for Android
68,2022-08-30 17:07:41+00:00,1564661145583366144,bellk43,베론,,할말 있으면 아래 링크로,@nemui_tensi 그렇지. (네 앞에 작은 주사기를 꺼내 바늘을 소독하며) 팔 좀 뻗어봐.,0,0,,,,Twitter for Android
69,2022-08-30 16:11:11+00:00,1564646925399650304,ohmir,ohmir 😷,,,주사기 주문했고.,0,0,,,,Twitter for iPhone
70,2022-08-30 16:04:30+00:00,1564645245442084864,Bup_ouo,후죠킹,,프사 헤더 민지님,@magyeKYOJU 저 갠적으로 카리 주사기로그 개조아해요(뜬금),0,0,,,,Twitter for Android
71,2022-08-30 15:33:44+00:00,1564637499590590466,egg_gyejung,가사봇,,,주사기에 키스를 했어.,0,0,,,,twittbot.net
72,2022-08-30 15:13:44+00:00,1564632466165415939,Judolee_,주돌이엇던 백호,,,"@thensik002 주사기에공기가득넣고
혈관에주잊하고싶른심정이에요",0,0,,,,Twitter for iPhone
