,date,id,user.username,user.displayname,place,user.location,content,likeCount,retweetCount,viewCount,hashtags,media,sourceLabel
0,2023-03-30 23:11:47+00:00,1641578998928138240,abvet79,카오잠자리,,,"☂ 텔☎ 레 ☺ 문☁ 의 ✿

Happy b b o n g

해피 해피뽕 

아이스작대기 전문 딜러

빙두팜 부산아이스 술파는곳 
허브효능 대구아이스 필로폰파는곳

떨 케타민 클럽약 
클럽약 엑스터시 

작대기팝니다 브액 
아이스작대기 샘플20만 아이스작대기 

#아이스작대기 https://t.co/kn21aj602s",0,0,6.0,['아이스작대기'],"[Photo(previewUrl='https://pbs.twimg.com/media/FsgPYp0akAAQF0z?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FsgPYp0akAAQF0z?format=jpg&name=orig', altText=None)]",Twitter Web App
1,2023-03-30 23:11:12+00:00,1641578852161040384,amiedeux,유정민,,,"문의

텔 레 i c e p i c k s
텔 레 i c e p i c k s

✂ 아이스픽2 ☃
샘플 20만 아이스작대기

정품아이스파는곳 창원아이스 아이스얼음작대기
서울아이스

떨사는곳 떨삽니다 클럽약
 파티약 떨팝니다

아이스사끼 아이스드랍 케이
케이 빙두

#작대기가격 https://t.co/TvvoaTlWf9",0,0,39.0,['작대기가격'],"[Video(thumbnailUrl='https://pbs.twimg.com/ext_tw_video_thumb/1641578833102123008/pu/img/RgpK0nuo_HkKG5SI.jpg', variants=[VideoVariant(url='https://video.twimg.com/ext_tw_video/1641578833102123008/pu/vid/270x480/gjoa8V3jWGlpdcl0.mp4?tag=12', contentType='video/mp4', bitrate=632000), VideoVariant(url='https://video.twimg.com/ext_tw_video/1641578833102123008/pu/pl/kxrGbfIBkHKteJXV.m3u8?tag=12&container=fmp4', contentType='application/x-mpegURL', bitrate=None)], duration=0.812, views=5, altText=None)]",Twitter Web App
2,2023-03-30 22:31:31+00:00,1641568866781495297,kshin1012,곰돌이푸,,,"달나라 아이스
텔레:MooNice777

아이스샘플:20만
아이스0.5:40만
아이스1.G:70만

아이스작대기 
캔디 케이 브액 떨 액상 대마 떨액 

작대기퀄리티 삥두 아이스작대기

사탕 최음제 클럽약

아이스팝니다 아이스1G 엘에디

#아이스작대기
#떨 https://t.co/TkYZ261H1c",0,0,141.0,"['아이스작대기', '떨']","[Video(thumbnailUrl='https://pbs.twimg.com/ext_tw_video_thumb/1641568847311536128/pu/img/mEKYlCyJ_oTKAr6C.jpg', variants=[VideoVariant(url='https://video.twimg.com/ext_tw_video/1641568847311536128/pu/vid/360x640/eIYJHbCQkA-6Eypc.mp4?tag=12', contentType='video/mp4', bitrate=950000), VideoVariant(url='https://video.twimg.com/ext_tw_video/1641568847311536128/pu/vid/320x568/55Y8bwzUHx1GA4q_.mp4?tag=12', contentType='video/mp4', bitrate=632000), VideoVariant(url='https://video.twimg.com/ext_tw_video/1641568847311536128/pu/pl/RVvcFDyitoJbgCzq.m3u8?tag=12&container=fmp4', contentType='application/x-mpegURL', bitrate=None)], duration=0.878, views=13, altText=None)]",Twitter Web App
3,2023-03-30 21:12:06+00:00,1641548883137540096,NalrariSeunim,Nals,,,"✈ 국가대표 coreaice ☠

♈ 아이스작대기 ♈

☎ 코카인 ✍

시원한술파는곳 ㅈㄷㄱ팝니다 게이만남
아이스드랍 아이스 작대기뽕 차가운술

떨후기 엑스터시 떨사는곳 

 클럽약 케이 

 허브 후리베이스 허브

작대기주사 떨후기  광주아이스 케타민 

#담배
#케타민 https://t.co/b53zBWwqPU",0,0,248.0,"['담배', '케타민']","[Photo(previewUrl='https://pbs.twimg.com/media/Fsfz_x4acAAUGbc?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Fsfz_x4acAAUGbc?format=jpg&name=orig', altText=None)]",Twitter Web App
4,2023-03-30 19:05:54+00:00,1641517121300725761,eo_junsu,ㅂ,,,"여러분에 안식처 아이스 하이븐 

☀텔 레 문 의 i c e haven ♠

허브효능 게이만남 엑스터시효능
대전아이스 아이스사용방법

케이 담배 떨구매
클럽약 파티약

작대기술 허브 작대기뽕
허브 허브

#엑스터시
#작대기아이스
#아이스작대기 https://t.co/GmJyODMMgW",0,0,335.0,"['엑스터시', '작대기아이스', '아이스작대기']","[Photo(previewUrl='https://pbs.twimg.com/media/FsfXG2_aUAApVfD?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FsfXG2_aUAApVfD?format=jpg&name=orig', altText=None)]",Twitter Web App
5,2023-03-30 16:47:48+00:00,1641482366752526343,yun258935231,윤,,,"☄ 텔 레 그 램 J R i c e 1 ✂

☂아이스작대기 무한♨

인슐린주사기 사끼파는곳 술의효능
작대기뽕 아이스작대기 작대기팝니다 사끼

사티바 최음제 떨구매 

 클럽파티 떨팝니다 

 샘플20만 ㅅㄲ 엘에디

인천아이스 클럽약  후리하는방법 엑시 

#아이스작대기
#사끼 https://t.co/rifYBvnX4U",0,0,38.0,"['아이스작대기', '사끼']","[Photo(previewUrl='https://pbs.twimg.com/media/Fse3gAiaMAEUatV?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Fse3gAiaMAEUatV?format=jpg&name=orig', altText=None)]",Twitter Web App
6,2023-03-30 15:27:57+00:00,1641462273024864256,tilEQJ4yR6tU9iV,시오,,,"✂ 텔 레 그 램 J R i c e 1 ☢

✍아이스작대기 무한☂

아이스판매처 마약효과 아이스작대기
LSD 엘에디 아이스 작대기술

떨판매 캔디 떨파는곳 

 클럽약 떨파는곳 

 허브 후리베이스 작대기

부부만남 캔디  차가운술파는곳 캔디 

#작대기
#아이스판매 https://t.co/j6txzeN2r4",0,0,47.0,"['작대기', '아이스판매']","[Photo(previewUrl='https://pbs.twimg.com/media/FselOYAaMAEqgT-?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FselOYAaMAEqgT-?format=jpg&name=orig', altText=None)]",Twitter Web App
7,2023-03-30 13:41:46+00:00,1641435549654478848,ASURION1002,♬ARI♬,,,"✍ 국가대표 coreaice ☂

✂ 아이스작대기 ♦

☢ 코카인 ♨

클럽캔디 ㅇㅇㅅ팝니다 아이스얼음주사
LSD 샘플20만 빙두 빙두

클럽약 엑시 사티바 

 떨파는곳 클럽약 

 샘플20만 아이스얼음주사사용방법 작대기술

후리하는방법 떨판매  ㅈㄷㄱ팝니다 떨사는곳 

#작대기 https://t.co/6xOQnHFEOy",0,0,27.0,['작대기'],"[Photo(previewUrl='https://pbs.twimg.com/media/FseM62oakAA8ah6?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FseM62oakAA8ah6?format=jpg&name=orig', altText=None)]",Twitter Web App
8,2023-03-30 13:41:40+00:00,1641435525918892033,7576_9806,기가차네,,,"텔레:MooNice777

아이스샘플:20만
아이스0.5:40만
아이스1.G:70만
캔디 케이 브액 떨 액상 대마 브액 

#사티바

일산아이스 마약효과 작대기효능

클럽약 클럽약 떨가격

작대기 아이스작대기 작대기술

#아이스작대기 https://t.co/76e4bbxvAI",0,0,42.0,"['사티바', '아이스작대기']","[Photo(previewUrl='https://pbs.twimg.com/media/FseM5kBaAAIDrUp?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FseM5kBaAAIDrUp?format=jpg&name=orig', altText=None)]",Twitter Web App
9,2023-03-30 12:07:49+00:00,1641411906878701569,beboyoy111,LEE YOUNG JUN,,,"여러분에 안식처 아이스 하이븐 

✍텔 레 문 의 i c e haven ☄

아이스얼음주사사용방법 강간데이트 강간데이트
아이스사용방법 게이만남

클럽약 최음제 케타민
사티바 떨사는곳

사끼 허브 케이
아이스사끼 아이스드랍

#허브액상
#작대기구입
#떨구입 https://t.co/XP7r8pbCo5",0,0,60.0,"['허브액상', '작대기구입', '떨구입']","[Photo(previewUrl='https://pbs.twimg.com/media/Fsd3ak7aIAQ9qCe?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Fsd3ak7aIAQ9qCe?format=jpg&name=orig', altText=None)]",Twitter Web App
