,date,id,user.username,user.displayname,place,user.location,content,likeCount,retweetCount,viewCount,hashtags,media,sourceLabel
0,2022-08-31 23:45:45+00:00,1565123708435726336,ijaeseo79687461,이재석,,,"드라이브 하면서 돈벌어가요

수금

- 가족처럼 생각합니다.

- 일당은 그 생각 이상

- 9시 ~ 18시까지 (협의 가능)

- 숙식제공

- 교통비 지원

- 월 3000가능

1년 반 이상 근무하신분들고 있습니다.
사고시 변호사 구해드립니다.

 텔레bobo100200 https://t.co/P7N9J2erKj",0,0,,,"[Photo(previewUrl='https://pbs.twimg.com/media/Fbhvt7kaAAATndI?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Fbhvt7kaAAATndI?format=jpg&name=orig', altText=None)]",Twitter for Android
1,2022-08-31 23:41:13+00:00,1565122569426337792,cockeracoin,아지코카,,,"🎁 1000명 추첨 엑스티켓(XTC) 100개씩

📅9월 7일까지

1⃣ Follow @XTICKET_XTC
2⃣ 텔레그램 https://t.co/tfqJ6w0azy
3⃣ 디스코드 https://t.co/cpxQRw5l7F
4️⃣ 구글폼 제출 https://t.co/Oav3P0RCdb

 #Airdrop  #에어드랍 #coin  #코인 #블록체인 #Blockchain https://t.co/WN7A44LmEK",0,0,,"['Airdrop', '에어드랍', 'coin', '코인', '블록체인', 'Blockchain']","[Photo(previewUrl='https://pbs.twimg.com/media/FbhuiCWaIAAngUD?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FbhuiCWaIAAngUD?format=jpg&name=orig', altText=None)]",Twitter Web App
2,2022-08-31 23:15:10+00:00,1565116010855772160,EgWtb,포항투어25,,,"And now I know the key to all heaven is mine ￡👛

#아이스작대기 차가운술
케타민 펜타닐

👖인증채널 확인
☞딜러 사쿠라
♤상담은 텔레 sakura446

광주 25살 여성

sexy⊇ https://t.co/io9tBO2sYu",0,0,,['아이스작대기'],"[Photo(previewUrl='https://pbs.twimg.com/media/FbhoGepUYAAYIHc?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FbhoGepUYAAYIHc?format=jpg&name=orig', altText=None)]",Twitter Web App
3,2022-08-31 23:10:07+00:00,1565114741160542208,nickcave_bot_kr,닉 케이브 봇,,"Brighton, England","닉 케이브가 무대에서 기타를 연주하는 것은 보기 힘든 구경거리다. 그는 밴드 그라인더맨과 배드 시즈의 앨범 “Dig, Lazarus, Dig!!!”으로 활동할 때에 텔레캐스터를 들고 나왔다.",0,0,,,,twittbot.net
4,2022-08-31 22:40:09+00:00,1565107198682103808,dandeliion__,𝑮𝒐𝒏𝒈𝒛𝒖,,,@bobobdirara 아 존나웃낌 시자ㅏㅇ아ㅏ아아악 ㅠㅠ  수업 일찍 끝나면 텔레해 2교시 수업 일찍 끝나면 너 얼굴 봐야징 ㅎㅎㅎ,0,0,,,,Twitter for iPhone
5,2022-08-31 22:17:02+00:00,1565101383736774656,8x9_072,✨,,,베+휘+멧으로 텔레캐스터 비보이 상상하고 행복해지기,0,0,,,,Twitter for Android
6,2022-08-31 22:10:15+00:00,1565099674381324288,biz_ntelecom,앤텔레콤공식대리점,,대한민국 대구,"#앤텔레콤 #선불유심 #신규개통 #번호이동
#알뜰폰 #선불폰

통화품질은 그대로 유지하면서
통신비를 절약하고 싶다면 앤텔레콤을 이용해보세요.

개통 상담
-텔레그램 : ntelecom8254
-홈페이지: https://t.co/HeYHyyoh0P",0,0,,"['앤텔레콤', '선불유심', '신규개통', '번호이동', '알뜰폰', '선불폰']",,twittbot.net
7,2022-08-31 21:03:14+00:00,1565082809391525889,KutluerAysen,Ayşen Kutluer,,,"텔레칩스 주가 전망 살펴봐요
#텔레칩스
#텔레칩스주가
#텔레칩스주가전망
https://t.co/DxpD53u4ar",0,0,,"['텔레칩스', '텔레칩스주가', '텔레칩스주가전망']",,Twitter Web App
8,2022-08-31 20:40:11+00:00,1565077011005325312,ekdud87,ekdud87,,,"◆↖ infini 🧿★

#아이스작대기

▩부담되면 샘플20부터 기본 1g 70/ 0.5 40 ◆정량승부

♂항상 정직하게 고객님을 모시겠습니다.

♧상담텔레 cok778 💎후기인증텔레 cok778ice2

♪∪최고만을 고집합니다. 지금 확인 하세요! https://t.co/vdh93Md0Jv",0,0,,['아이스작대기'],"[Photo(previewUrl='https://pbs.twimg.com/media/FbhEm-fagAAWxxF?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FbhEm-fagAAWxxF?format=jpg&name=orig', altText=None)]",Twitter Web App
9,2022-08-31 20:28:36+00:00,1565074096399929345,hifu_zatsugaku,비봉클럽의 동방잡학 bot,,서교토의 어느 대학,"렌:레이센의 스펠 명안「월면원격최면술(텔레메스머리즘)」이 무슨 뜻인지 모르겠어
메:테레는 그리스어로「멀리 떨어진」이라는 의미.메스머리즘은 독어로 의학자 프란츠 안톤 메스머가 제창한 동물자기의 통칭이야.이 사람의 실험은 과학적인 최면술의 기원이 되었지",0,0,,,,twittbot.net
