,date,id,user.username,user.displayname,place,user.location,content,likeCount,retweetCount,viewCount,hashtags,media,sourceLabel
0,2023-03-30 09:44:15+00:00,1.64138E+18,Rooneychmaldafa,Rooney ch maldafa,,,"♧ 오방약국 텔레그램 &gt; p i n k m a n 1 1 4 &lt; 
  
고퀄아이스구매처  
강원도인슐린  
경상도해시시  
강북케타민원석  
랏슈판매처  
강남보안좌표  
#충남파티drug https://t.co/fGZ5toAa4y",0,0,37,['충남파티drug'],"[Photo(previewUrl='https://pbs.twimg.com/media/FsdWjGUaEAIpIMh?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FsdWjGUaEAIpIMh?format=jpg&name=orig', altText=None)]",Twitter Web App
1,2023-03-30 08:38:24+00:00,1.64136E+18,teamofbeau,team of beau,,,"♥ 오방약국 텔레그램 &gt; p i n k m a n 1 1 4 &lt; 
  
안전좌표  
허브  
광주액상떨  
전국해시시  
합성떨  
부산엘에스디  
#액상대마사는방법 https://t.co/TqHCFo0ZlL",0,0,94,['액상대마사는방법'],"[Photo(previewUrl='https://pbs.twimg.com/media/FsdHeU2aQAEQesl?format=png&name=small', fullUrl='https://pbs.twimg.com/media/FsdHeU2aQAEQesl?format=png&name=orig', altText=None)]",Twitter Web App
4,2023-03-29 18:05:45+00:00,1.64114E+18,Ardis_waddell,강북액브 서울히로뽕 드러그효과 사끼(합성대마도매),,,"★ ㅌㄹㄱㄹ 24시상담 &gt;&gt; p i n k m a n 1 1 4 &lt;&lt; 
  
부산떨액  
충북황술  
허브구매  
전남케이캔디  
강동해시시  
수면제후기  
  
#허브액상 https://t.co/32p9cUetx4",0,0,39,['허브액상'],"[Photo(previewUrl='https://pbs.twimg.com/media/FsZ_vkKakAExzDX?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FsZ_vkKakAExzDX?format=jpg&name=orig', altText=None)]",Twitter Web App
5,2023-03-29 13:35:17+00:00,1.64107E+18,jinkuyng,우브액 원석케이 트라마돌(울산보안드랍),,,"● ㅌㄹㄱㄹ 24시상담 &gt;&gt; p i n k m a n 1 1 4 &lt;&lt; 
  
성남원석케타민  
강북해시시  
찬술  
밀크케타민구입  
경기도드라퍼  
강동인증업체  
  
#MDMA https://t.co/KtPzXpTYCG",0,0,70,['MDMA'],"[Photo(previewUrl='https://pbs.twimg.com/media/FsZB1hBakAEazD6?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FsZB1hBakAEazD6?format=jpg&name=orig', altText=None)]",Twitter Web App
6,2023-03-29 12:38:13+00:00,1.64106E+18,KakkOao,부산하선모성남하선모집 액상대마 합성대마구매처(울산케타민원석),,,"▶ ㅌㄹㄱㄹ 24시상담 &gt;&gt; p i n k m a n 1 1 4 &lt;&lt; 
  
전북조인트  
해시시구매하는법  
강서하선구함  
샘플  
야바  
랏슈구입  
  
#캔디케이 https://t.co/xFxPxw7Rge",0,0,53,['캔디케이'],"[Photo(previewUrl='https://pbs.twimg.com/media/FsY0w5jaUAMAaEl?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FsY0w5jaUAMAaEl?format=jpg&name=orig', altText=None)]",Twitter Web App
7,2023-03-29 12:26:28+00:00,1.64105E+18,pqjdifia,케타민강북액브 강원도성남모르핀 Molly사는법 충청도모르핀(강북드랍퍼모집),,,"◈ ㅌㄹㄱㄹ 24시상담 &gt;&gt; p i n k m a n 1 1 4 &lt;&lt; 
  
서울하선모집  
전라도보안딜러  
전국고기  
LSD  
드라퍼모집  
해시시팔아요  
  
#경상도크리스탈 https://t.co/Vt6gWlgb4x",0,0,22,['경상도크리스탈'],"[Photo(previewUrl='https://pbs.twimg.com/media/FsYyEtIagAUW7s2?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FsYyEtIagAUW7s2?format=jpg&name=orig', altText=None)]",Twitter Web App
8,2023-03-29 12:17:10+00:00,1.64105E+18,Haidaryrajabali,정허브액상 충대마액상하는법 섹스마약 경남드랍(조인트파는곳),,,"☆ ㅌㄹㄱㄹ 24시상담 &gt;&gt; p i n k m a n 1 1 4 &lt;&lt; 
  
해시시  
강동케미컬약  
포도허브  
대마액상  
전라도액브  
전북파퍼  
  
#케미컬약구매하는법 https://t.co/kTDu2Dj6GL",0,0,25,['케미컬약구매하는법'],"[Photo(previewUrl='https://pbs.twimg.com/media/FsYv9UraAAIIZIJ?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FsYv9UraAAIIZIJ?format=jpg&name=orig', altText=None)]",Twitter Web App
9,2023-03-29 11:33:11+00:00,1.64104E+18,ja39breaburks,충북하이드로몰핀 머쉬룸 부산랏슈(좌표딜러모집),,,"▶ ㅌㄹㄱㄹ 24시상담 &gt;&gt; p i n k m a n 1 1 4 &lt;&lt; 
  
수면보조제구매방법  
코데인  
충청도합성대마초  
해시시  
신의눈물하는방법  
강남밀크케타민  
  
#대전아이스뽕 https://t.co/Vdo3l38eC6",0,0,25,['대전아이스뽕'],"[Photo(previewUrl='https://pbs.twimg.com/media/FsYl306aMAA-erb?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FsYl306aMAA-erb?format=jpg&name=orig', altText=None)]",Twitter Web App
10,2023-03-29 10:08:15+00:00,1.64102E+18,dillanpattinson,충청도케미컬약 사탕 강남수면유도제(고기),,,"▶ ㅌㄹㄱㄹ 24시상담 &gt;&gt; p i n k m a n 1 1 4 &lt;&lt; 
  
충남머쉬룸  
s케타민  
MDMA  
밀크케타민  
정글주스  
drug판매처  
  
#해시시 https://t.co/5o0RnNXkx4",0,0,56,['해시시'],"[Photo(previewUrl='https://pbs.twimg.com/media/FsYSdA9aEAEAody?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FsYSdA9aEAEAody?format=jpg&name=orig', altText=None)]",Twitter Web App
11,2023-03-29 10:06:00+00:00,1.64102E+18,gerardo6694,히로뽕 히로뽕 강남케이밀크(물뽕후기),,,"♡ ㅌㄹㄱㄹ 24시상담 &gt;&gt; p i n k m a n 1 1 4 &lt;&lt; 
  
포도허브  
해시시후기  
작대기술  
최음제  
액상떨  
고퀄아이스구매방법  
  
#강동모르핀 https://t.co/jZ6YgpirjI",0,0,57,['강동모르핀'],"[Photo(previewUrl='https://pbs.twimg.com/media/FsYR6ZLaEAAkDRh?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FsYR6ZLaEAAkDRh?format=jpg&name=orig', altText=None)]",Twitter Web App
