Unnamed: 0,date,id,user.username,user.displayname,place,user.location,content,likeCount,retweetCount,viewCount,hashtags,media,sourceLabel
4,2023-03-30 23:11:12+00:00,1.64158e+18,amiedeux,유정민,,,"문의

텔 레 i c e p i c k s
텔 레 i c e p i c k s

✂ 아이스픽2 ☃
샘플 20만 아이스작대기

정품아이스파는곳 창원아이스 아이스얼음작대기
서울아이스

떨사는곳 떨삽니다 클럽약
 파티약 떨팝니다

아이스사끼 아이스드랍 케이
케이 빙두

#작대기가격 https://t.co/TvvoaTlWf9",0,0,39.0,['작대기가격'],"[Video(thumbnailUrl='https://pbs.twimg.com/ext_tw_video_thumb/1641578833102123008/pu/img/RgpK0nuo_HkKG5SI.jpg', variants=[VideoVariant(url='https://video.twimg.com/ext_tw_video/1641578833102123008/pu/vid/270x480/gjoa8V3jWGlpdcl0.mp4?tag=12', contentType='video/mp4', bitrate=632000), VideoVariant(url='https://video.twimg.com/ext_tw_video/1641578833102123008/pu/pl/kxrGbfIBkHKteJXV.m3u8?tag=12&container=fmp4', contentType='application/x-mpegURL', bitrate=None)], duration=0.812, views=5, altText=None)]",Twitter Web App
5,2023-03-30 22:43:44+00:00,1.64157e+18,qhdud1004,모에여동생,,대한민국,"↔ 텔 레 i c e m a n k ☀
샘플0.2G 20만
사칭조심

아이스작대기 작대기팝니다
엘에디 
작대기뽕

아이스1G 아이스작대기
사끼
아이스사끼

떨후기  떨판매 
파티약

작대기술 아이스1G 떨사는곳 
강남파티

전국떨 빙두팜

#떨액
#캔디 https://t.co/7gpcY68yhR",0,0,26.0,"['떨액', '캔디']","[Photo(previewUrl='https://pbs.twimg.com/media/FsgI97eagAA8YMS?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FsgI97eagAA8YMS?format=jpg&name=orig', altText=None)]",Twitter Web App
6,2023-03-30 22:07:07+00:00,1.64156e+18,leebongkeun0417,bongkeun,,,"✉ 텔 레 그 램 J R i c e 1 ☁

✏아이스작대기 무한♥

 아이스가격아이스샘플아이스선드랍 허브효능
작대기팝니다 차가운술 케타민 작대기팝니다

떨사는곳 케이 떨파는곳 

 떨구입 대마 

 사끼 아이스효능직빵 엘에디

사끼파는곳 엑스터시  부산아이스 떨파는곳 

#아이스작대기
#사끼 https://t.co/aNIqCWPdCJ",0,0,28.0,"['아이스작대기', '사끼']","[Photo(previewUrl='https://pbs.twimg.com/media/FsgAloQacAAk2z3?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FsgAloQacAAk2z3?format=jpg&name=orig', altText=None)]",Twitter Web App
7,2023-03-30 21:42:33+00:00,1.64156e+18,beboyoy111,LEE YOUNG JUN,,,"여러분에 안식처 아이스 하이븐 

✌텔 레 문 의 i c e haven ☀

작대기효능 
크리스탈아이스 대구아이스

클럽파티 떨사는곳 떨구입
클럽파티 인디카

작대기 아이스1G 아이스사끼
사끼 작대기

#작대기 https://t.co/XRW44dSGYr",0,0,30.0,['작대기'],"[Photo(previewUrl='https://pbs.twimg.com/media/Fsf69poagAEMC-C?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Fsf69poagAEMC-C?format=jpg&name=orig', altText=None)]",Twitter Web App
8,2023-03-30 20:33:20+00:00,1.64154e+18,beckahenryx,becky,,,"✊텔레sakura446🔏
≫🖼사기걱정? 채널확인🔆≫

∑1g 사끼🚩
#아이스작대기 구매후기

원피스^_~

D;)) 🦉🗨🗨 https://t.co/AqiIWvPyYr",0,0,12.0,['아이스작대기'],"[Photo(previewUrl='https://pbs.twimg.com/media/Fsfqx2XaMAAkwJ9?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Fsfqx2XaMAAkwJ9?format=jpg&name=orig', altText=None)]",Twitter Web App
9,2023-03-30 20:18:42+00:00,1.64154e+18,rkttb20,다냐,,,"여러분에 안식처 아이스 하이븐 

☢텔 레 문 의 i c e haven ☂

전국빠른구매 술파는곳 캔디파는곳

떨후기 인디카 사티바
사탕 사티바

샘플20만 아이스1G 샘플20만
아이스사끼 빙두

#아이스 https://t.co/Ll4DThc4lS",0,0,10.0,['아이스'],"[Photo(previewUrl='https://pbs.twimg.com/media/FsfnxP9aQAUBGUL?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FsfnxP9aQAUBGUL?format=jpg&name=orig', altText=None)]",Twitter Web App
10,2023-03-30 20:10:52+00:00,1.64153e+18,SUPERWEBY,웨ㅂ ㅣ🎗,,,"❣ 텔 레 그 램 J R i c e 1 ✉

☣아이스작대기 무한♠

제주아이스 강간데이트 술사는곳
케이 빙두 아이스드랍 빙두

떨 케타민 엑스터시 

 떨파는곳 인디카 

 작대기술 히로뽕 사끼

대마초파는곳 사티바  판매처 떨느낌 

#아이스작대기
#빙두 https://t.co/pOToA2bhke",0,0,58.0,"['아이스작대기', '빙두']","[Photo(previewUrl='https://pbs.twimg.com/media/Fsfl-usaQAAnqSG?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Fsfl-usaQAAnqSG?format=jpg&name=orig', altText=None)]",Twitter Web App
11,2023-03-30 20:07:21+00:00,1.64153e+18,songmi1013,지미니또찌미니💜,,대한민국 부산,"🧆🧆아기씨가더찾아~

#사끼

3ujic

🧆 I shoot two fish https://t.co/m6TUqs0LoZ",0,0,15.0,['사끼'],"[Photo(previewUrl='https://pbs.twimg.com/media/FsflCLyaMAEIRGz?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FsflCLyaMAEIRGz?format=jpg&name=orig', altText=None)]",Twitter Web App
12,2023-03-30 19:56:36+00:00,1.64153e+18,dhdyddlrh,김태호,,,"여러분에 안식처 아이스 하이븐 

❣텔 레 문 의 i c e haven ☎

강간데이트 아이스사용후기 BD주사기
술구매 사끼파는곳

떨  떨구매
떨사는곳 떨가격

작대기술 아이스드랍 사끼
아이스사끼 작대기

#사끼
#빙두 https://t.co/Yq4qLiBqpJ",0,0,29.0,"['사끼', '빙두']","[Photo(previewUrl='https://pbs.twimg.com/media/FsfithuaUAAQuxl?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FsfithuaUAAQuxl?format=jpg&name=orig', altText=None)]",Twitter Web App
13,2023-03-30 18:39:22+00:00,1.64151e+18,hallo226,ヽ(*・ω・)ﾉ,,,"↔ 텔 레 그 램 J R i c e 1 ✍

✏아이스작대기 무한♥

히로뽕 ㅈㄷㄱ팝니다 반작대기
사끼 아이스작대기 케타민 엘에디

클럽파티 떨후기 떨파는곳 

 엑시 떨가격 

 차가운술 아이스얼음주사사용방법 아이스뽕

술구매 담배  마약효과 강남파티 

#아이스작대기
#코카인 https://t.co/MwZnBrc7sp",0,0,59.0,"['아이스작대기', '코카인']","[Video(thumbnailUrl='https://pbs.twimg.com/ext_tw_video_thumb/1641510427090915328/pu/img/unzCGHlvHisg9Z8F.jpg', variants=[VideoVariant(url='https://video.twimg.com/ext_tw_video/1641510427090915328/pu/vid/480x640/O3jbH0l4bVCXU-AQ.mp4?tag=12', contentType='video/mp4', bitrate=950000), VideoVariant(url='https://video.twimg.com/ext_tw_video/1641510427090915328/pu/pl/UdJmYxMIPbUECyuO.m3u8?tag=12&container=fmp4', contentType='application/x-mpegURL', bitrate=None), VideoVariant(url='https://video.twimg.com/ext_tw_video/1641510427090915328/pu/vid/320x426/Cs4cTTvKd10n9rX_.mp4?tag=12', contentType='video/mp4', bitrate=632000)], duration=0.651, views=9, altText=None)]",Twitter Web App
