,date,id,user.username,user.displayname,place,user.location,content,likeCount,retweetCount,viewCount,hashtags,media,sourceLabel
0,2022-08-31 22:06:54+00:00,1565098832412610561,ekdud87,ekdud87,,,"♧📯 Love will find a way. ∂↖

#허브
#떨
#아이스작대기

아이스상선 콜라아이스

서울작대기 부산빙두 대구후리 강남사끼

언제나 좋은 물건으로 최선을 다하겠습니다. https://t.co/8jeuX2tbqc",0,0,,"['허브', '떨', '아이스작대기']","[Photo(previewUrl='https://pbs.twimg.com/media/FbhY3qcUIAAMc01?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FbhY3qcUIAAMc01?format=jpg&name=orig', altText=None)]",Twitter Web App
1,2022-08-31 16:46:21+00:00,1565018165699960832,ekdud87,ekdud87,,,"∃🐲 Love will find a way. ♤⌒

#허브
#떨
#아이스작대기

아이스상선 콜라아이스

서울작대기 부산빙두 대구후리 강남사끼

언제나 좋은 물건으로 최선을 다하겠습니다. https://t.co/4yLo3Iboym",0,0,,"['허브', '떨', '아이스작대기']","[Photo(previewUrl='https://pbs.twimg.com/media/FbgPGLDUEAAaRxd?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FbgPGLDUEAAaRxd?format=jpg&name=orig', altText=None)]",Twitter Web App
2,2022-08-31 13:17:38+00:00,1564965640301031424,liva0331,엄마재흙먹어,,,"퀄리티로 승부

텔 레 i c e p i c k s
텔 레 i c e p i c k s

☝ 송곳아이스 ☂
샘플 20만 아이스작대기

아이스얼음주사 아이스퀄리티 제주아이스
일산아이스 빙두판매처

사탕 엑시 인디카
 담배 떨

브액 아이스작대기 
아이스 작대기팝니다

♠ #사끼 ☀
♣ #빙두 ✐ https://t.co/3D6EexqZ3o",0,0,,"['사끼', '빙두']","[Photo(previewUrl='https://pbs.twimg.com/media/Fbff8F4UcAAS4VM?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Fbff8F4UcAAS4VM?format=jpg&name=orig', altText=None)]",Twitter Web App
3,2022-08-31 12:59:20+00:00,1564961031017070592,yapyap421,얍얍👌🖐,,,"갑자기 사끼가 귀여워 보입니다,,,
근데 3번 너무 존예,,, https://t.co/owIzdDvjAX",10,2,,,"[Photo(previewUrl='https://pbs.twimg.com/media/FbfbwqVUcAAy7X1?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FbfbwqVUcAAy7X1?format=jpg&name=orig', altText=None)]",Twitter for Android
4,2022-08-31 12:47:09+00:00,1564957966826360832,yapyap421,얍얍👌🖐,,,"어? 사끼 색감 너무 진하다고 생각했는데 
유빈이가 그렸던 그 친구네,,,",2,0,,,,Twitter for Android
5,2022-08-31 08:59:48+00:00,1564900752740712449,HooDredshadow11,후드,,,RT 와 아니 깜짝이야 꼬하네인줄 알았는데 사끼였어 사끼!!!!! 사끼이ㅣ!!!!!!,0,0,,,,Twitter for Android
6,2022-08-31 03:48:22+00:00,1564822376856322048,neungja_ya,능자 ヌンジャ,,#イツキティ,@sakki11111 항상 조심하세요 사끼님………….,1,0,,,,Twitter for iPhone
7,2022-08-30 08:44:00+00:00,1564534389811585024,ekdud87,ekdud87,,,"◆🥝 Love will find a way. ♠∬

#허브
#떨
#아이스작대기

아이스상선 콜라아이스

서울작대기 부산빙두 대구후리 강남사끼

언제나 좋은 물건으로 최선을 다하겠습니다. https://t.co/HeO3KqE2IZ",0,0,,"['허브', '떨', '아이스작대기']","[Photo(previewUrl='https://pbs.twimg.com/media/FbZXguOaQAAcefc?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FbZXguOaQAAcefc?format=jpg&name=orig', altText=None)]",Twitter Web App
8,2022-08-30 07:48:55+00:00,1564520526915444736,EgWtb,포항투어25,,,"♂The sun will 💐  shine on us again

📚 장사 오래 했습니다 ▤

🐲보안텔레 sakura446 ⊃

#아이스작대기 ☏∬

인증채널👛

사끼  D; 🍌 작대기 https://t.co/4VshIzxTMO",0,0,,['아이스작대기'],"[Photo(previewUrl='https://pbs.twimg.com/media/FbZKvTxagAU3dlz?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FbZKvTxagAU3dlz?format=jpg&name=orig', altText=None)]",Twitter Web App
9,2022-08-30 07:16:15+00:00,1564512306322558977,SVRQ_max,사끼,,나는 문어 꿈을 꾸는 문어 연금복권 1등 당첨 기원,탐욕의 사끼 오늘 섬유도 먹고 책도 먹고 무기상자도 먹고(?),0,0,,,,Twitter Web App
10,2022-08-29 11:18:24+00:00,1564210858569650178,usb_charge,윻,,,걍 시발 스타싯 미친 사끼들아 핸드볼 말고 좀 더 넓은 곳은 없았냐고 아놔,0,0,,,,Twitter for Android
11,2022-08-28 21:28:36+00:00,1564002028833177601,bannymimigipsa,Dr. 옛살나비,,"Louisville, KY",근데 생각해보니 penne을 펜네라고 잘 발음하는 미국인들 왜 sake는 사끼라고 하는걸까,1,0,,,,Twitter for iPhone
12,2022-08-28 18:13:16+00:00,1563952875168215040,freakin_Q,이성상욕자 ㅎㅁㄱ,,🤪🤤😇👽,"나는 ~ 존나
배가 처부른ㅊ사끼~~",0,0,,,,Twitter for Android
13,2022-08-28 09:03:21+00:00,1563814481884762112,bbibbibbi_7,蓝高阳,,云深不知處,ㅛㅣ발 사끼야!!! ㅅ씨발 좀 천천히 다려!!!!! 아!!!!,2,0,,,,Twitter for iPhone
14,2022-08-28 07:20:29+00:00,1563788595856809987,laeki11,래키,,가필드님,@sakki11111 사끼님 디엠확인해주세용!,1,0,,,,Twitter for Android
15,2022-08-27 13:36:04+00:00,1563520725025431555,goldice1011,골든아이스❄️ 텔레 goldice,,,"배송 영업일기준 트라이앵글
미얀마 5일
태국 4일
라오스 6일 정도 걸립니다 

퀄리티와 수량에따라 출발지가 다르니
구매전 문의 주세요
텔레 : goldice

#아이스 #찬술 #사끼",0,0,,"['아이스', '찬술', '사끼']",,Twitter for iPhone
16,2022-08-27 13:07:35+00:00,1563513557068959744,Rune_communicat,🎒🧸❤️‍🩹,,트레센 학원 ,3부까지 하면 저사끼의 천적이 될수있어 내가?,0,0,,,,Twitter for Android
17,2022-08-27 05:51:38+00:00,1563403846172688384,badbadbadiee,익명P,,,베이지살까불랙사끼,1,0,,,,Twitter for iPhone
18,2022-08-27 05:45:48+00:00,1563402379923701760,5Ne_BAKA,💫김s댕l댕y🥧,,FUBFREE,사끼랑 호내미가 좀 더 붙어있으면 좋겟어요&lt;-욕심이 많늠,4,0,,,,Twitter for iPhone
19,2022-08-26 18:30:40+00:00,1563232477078261761,HooDredshadow11,후드,,,발렌타인데이 때 갑자기 예고 없이 뤼한테 진심 초코 받은 카사가 뭣이 난 준비한 게 없다만.... 하면서 안절부절 못했으면 좋겠음(진심초코인지는 몰름) 그래서 화이트데이 때 사끼랑 토야랑 사탕 만들기 체험해서 수제 사탕 기깔나게 선물해주는데 뤼는 또 진심사탕(?) 준비해와서 크으윽 하는 카사,0,0,,,,Twitter for Android
20,2022-08-26 12:32:14+00:00,1563142275399819264,IZ05HE3,씬스틸러,,,"아니진짜로 사끼랑 쓱카사 한 4 5살 차이나는 거 같은 체감이있는데 정신차리고 생각하면 1살차이라는게.....
하
쓱카사가 너무 참오빠고 사끼가 너무 참애기임;;; 하ㅜ",0,0,,,,Twitter Web App
21,2022-08-25 18:01:50+00:00,1562862830390427648,Guyandstrong,몰라어려워,,대전광역시,"✿텔 레 문의 J R i c e 1✉

사끼

#브액 https://t.co/UjuFeK6gxp",0,0,,['브액'],"[Photo(previewUrl='https://pbs.twimg.com/media/FbBncZcUsAMTZVV?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FbBncZcUsAMTZVV?format=jpg&name=orig', altText=None)]",Twitter Web App
22,2022-08-25 09:57:39+00:00,1562740982000799749,ykeepsmealive,엑스를누르고싶음🍎,,,@seula718 ㅆㅂ 아 원트윗 대박 이아 시바 말벌사끼,0,0,,,,Twitter for iPhone
23,2022-08-25 07:55:32+00:00,1562710254013468672,Hoya_486,계이하시면 저도 데려가주세요 호야,,목표: 자가+자차+개인작업실이 있는 돈 많은 백수,(사끼님 트윗 인용하려다가 다른 분의 트훔인걸 봐서 뒤로 백스텝)(그치만 너무 공감되었어요......난.....스레기야...),0,0,,,,Twitter Web App
24,2022-08-24 09:50:06+00:00,1562376695835140097,Guyandstrong,몰라어려워,,대전광역시,"☺텔 레 문의 J R i c e 1☎

사끼

#떨 https://t.co/75KUQcMuAV",0,0,,['떨'],"[Photo(previewUrl='https://pbs.twimg.com/media/Fa6tTtAaAAAUmQB?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Fa6tTtAaAAAUmQB?format=jpg&name=orig', altText=None)]",Twitter Web App
25,2022-08-24 08:24:14+00:00,1562355085556224000,kedeland,케델,,그 모든 일이 있었음에도 여전히 음성이다.,@SVRQ_max 사끼님서끼님 샤를르 얼굴흉터에관한질문이있어요,0,0,,,,Twitter for Android
