,date,id,user.username,user.displayname,place,user.location,content,likeCount,retweetCount,viewCount,hashtags,media,sourceLabel
0,2023-03-30 23:05:38+00:00,1641577452291100673,windway0222,물빛,,고양시,"대만총통 미국방문 초긴장, 미국기자 러시아 체포, 오피오이드 해독제, 상업용부동산, 빅텍주식 반등, 교황입원 [강혜신의 오늘의미국... https://t.co/h2UP1jPyo8 출처 @YouTube 
아침에 출근하면서 듣기 좋은, 한국어 미국 뉴스,추천합니다~~*",1,0,52.0,,,Twitter Web App
1,2023-03-30 19:41:34+00:00,1641526096771579904,KTodayUS,강혜신|TodayUS|오늘의 미국,,"Los Angeles, CA, USA","대만총통 뉴욕방문, 미국기자 러시아 체포, 오피오이드 해독제, 상업용부동산, 빅텍주식 반등, 교황입원 [강혜신의 오늘의미국 3.3... https://t.co/NvtPMVULc5 via @YouTube",0,0,37.0,,,Twitter Web App
2,2023-03-29 22:31:10+00:00,1641206392127389699,czxmn,발은슌,,,"#바이든 “오늘 FDA는 오피오이드 관련 과다복용을 역전시키는 응급 의약품인 나르칸(Narcan)을 이제 일반의약품으로 구입할 수 있게 될 것이라고 발표했습니다.

이 조치는 중독 치료에 대한 접근을 확대하고 불법 약물 공급을 줄임으로써 과다복용을 줄이기 위한 우리의 진전을 기반으로 합니다.” https://t.co/p1tlf0WhoK",0,0,44.0,['바이든'],"[Photo(previewUrl='https://pbs.twimg.com/media/Fsa8g5yacAA6dLJ?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Fsa8g5yacAA6dLJ?format=jpg&name=orig', altText=None)]",Twitter for iPhone
3,2023-03-28 05:26:35+00:00,1640586159310114816,prof_Ylene,일렌@시트,,,"아.....대가리아파
여러분 오피오이드 조심하세요 저 마약 안쓴다고 했는데 방금 오피오이드 처방받았습니다
의사가 이래도됨?",1,0,101.0,,,Twitter for Android
4,2023-03-24 03:42:34+00:00,1639110430802182144,AMtilAM,무덤,,헛소리 작렬계 팔로우 비추,히로아카를 보고 오피오이드 펩타이드가 분비되다,0,0,12.0,,,Twitter for iPhone
5,2023-03-18 05:29:10+00:00,1636962930368602112,jydaram_4988,Daram,,,"행복호르몬.열정적인 사람에겐 도파민,마약 外 약물에 중독된 사람에겐 엔돌핀(오피오이드),욕심이 고통을 부른다고 여기거나 즐겨 음악을 듣는 사람에겐 평안함을 주는 세르토닌이 행복호르몬.따스한 햇살 받으며 산책하면 세로토닌 생성,세르토닌은 저녁이 되면 멜라토닌으로 변형하여 수면을 유도함",10,2,179.0,,,Twitter Web App
6,2023-03-13 16:28:14+00:00,1635316851973697537,_gitsom,디부털,,,진통제 뭔가 이상해서... 하나도 안아파지는건 둘째치고 근심걱정이;;; 사라져서 검색해보니 오피오이드계열임................. 근데... 안아픈건좋은데 몸이 너무 늘어짐,2,0,76.0,,,Twitter for iPhone
7,2023-03-09 14:22:24+00:00,1633835632069050371,__tacoabt,돈물애호박,,,정제곡물 액상과당 등등... 글고 초가공식품들... 공장에서 나오는 과자 등등...의 당분들을 섭취하면 혈당이 빠르게 올라가고 빠르게 내려가는데 그럼 몸이 이 빠른 혈당을 감당하지 못하고 뇌를 자극한대!! 글고 도파민 자극으로 내재마약이라고 부르는 오피오이드 시스템을 활성화 시키는데,5,0,82.0,,,Twitter for Android
8,2023-03-08 02:11:24+00:00,1633289281501564929,MytylYeon,연,,하루에 한 번 트친에게 편지쓰기. ,오피오이드 처음 처방받을때에는 정량의 반만 먹어도 속쓰렸는데 지금은 매뉴얼대로 초회량 2정에 한시간 후 1정씩 먹어도 안쓰려,0,0,317.0,,,Twitter for iPhone
9,2023-03-05 11:52:00+00:00,1632348229705809920,mercola_korean,Dr. Mercola (Korean),,,"📌성욕에 영향을 미치는 약:
- SSRI 항우울제
- 삼환계 항우울제(TCA)
- 피임약
- 프로페시아(탈모약)
- 프로스카(전립선 비대 치료)
- 항히스타민제
- 카르바마제핀(테그레톨): 항경련제
- 아편유사제(오피오이드)
- 베타차단제(혈압 관리)
- 벤조디아제핀(항불안제)
- 의료용 마리화나 https://t.co/uFmDUpjCB3",0,0,198.0,,"[Photo(previewUrl='https://pbs.twimg.com/media/Fpu7nChaYAAdo-3?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Fpu7nChaYAAdo-3?format=jpg&name=orig', altText=None)]",Twitter Web App
10,2023-02-25 10:38:03+00:00,1629430519879602176,tickethamster,tickethamster,,,펜타닐과 오피오이드 모두 제약회사가 퍼트린 거구나...,0,0,31.0,,,Twitter for Android
11,2023-02-22 07:06:18+00:00,1628290063829180417,Nuhae_Thee,컴션중인 누혜,,서방용 모제스는 모세라고 말합니다,허...미국에서 수의학에서 보편적으로 쓰이는 진정제인 자일라진이랑 다른 오피오이드 약물 혼합하면 카운터 약물이 날록손이 작용이 안되는데 이미 미국에서 이 칵테일 마약이 너무나 성행중이라 답이 없다고.,1,0,153.0,,,Twitter for Android
12,2023-02-21 02:14:06+00:00,1627854144882241536,Marion0411,Marion,,,"그것도 마약보다 훨씬 빠른, 1초도 안 되는 시간 만에 말이다. 섭식의 쾌감을 선사하는 오피오이드, 섭식을 하도록 동기를 유발하는 도파민 등 뇌 신경에 작용하는 몸속 화학물질들은 어서 먹도록, 더 먹도록 사람을 추동한다.",3,0,657.0,,,Twitter for iPhone
13,2023-02-20 03:57:56+00:00,1627517884191633448,wensowatsen,Inn🏳️‍🌈,,,"다른 백인 노동계급 지역과 똑같이 오피오이드/가난/인구 유출 등의 문제로 심각하게 시름하고 있어요. 문화적 보수성-경제적 좌파성이 공존하는 희한한 지역입니다. 올해 11월 주지사 선거에서 어떤 선택을 할지, 나아가 여기처럼 낙후된 WWC 지역의 정치적 선택이 어떻게 흐를지 주목해볼만 해요.",34,22,5082.0,,,Twitter for iPhone
14,2023-02-17 01:28:31+00:00,1626393121759313923,geometryofsleep,김오솔희,,"Seattle, WA","미국 마약 상태가 어느 정도냐면 지역단체가 무료 나르칸 (펜타닐, 오피오이드 또는 헤로인의 과다 복용으로 인해 호흡이 느려졌거나 멈춘 사람들에게 빠르게 정상 호흡을 회복시키기 위해 비강형 스프레이나 주입에 의해 전달될 수 있는 약) 자판기를 설치하고 있을 정도.... -_-.....",32,55,7146.0,,,Twitter Web App
15,2023-02-14 09:56:18+00:00,1625433744890023936,georae_inging,EHEH,,,"세븐틴 앨범 양도
svt sealed album(photocard in album)
미개봉입니다(포카포함)
your choice one side
attacca op.2 op.3
face the sun ep.3 ep.4 ep.5
ray path pioneer
페더썬 유초 유어초이스 원싸 원사이드 아타카 오피투 오피쓰리 에피쓰리 에피포 에피파이브 레이 패쓰 파이오니어 피오니어 https://t.co/HIKF7TogPd",0,0,684.0,,"[Photo(previewUrl='https://pbs.twimg.com/media/Fo6zXGFacAESL2k?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Fo6zXGFacAESL2k?format=jpg&name=orig', altText=None)]",Twitter for Android
16,2023-02-14 08:13:17+00:00,1625407821381767169,Raoulian,Raoul Kim / 김형진,,"37.483573,127.087094",@anarinsk 최근의 오피오이드 유행에 맞선 메스암페타민 세력의 새로운 전략일까요...,0,0,21.0,,,Twitter Web App
17,2023-02-13 10:47:09+00:00,1625084152197558275,blazecyan178,블래,,,"리치가 먹는다고 한게 Oxy(Oxycodone), Diazepam, Dextroamphetamine 인데요
셋 다 의존성입니다 심지어 1번은 오피오이드임 
리치는 불안 장애와 불면증 및 행동 장애를 앓고 있음을 알 수 있어요... 존보다 이쪽이 먼저 병원 갔어야 하지 않을까 싶음",2,0,86.0,,,Twitter Web App
