date,id,user.username,user.displayname,place,user.location,content,likeCount,retweetCount,viewCount,hashtags,media,sourceLabel
2023.3.31 06:40,1.64156E+18,Brittne70253823,FASTice,,,"문의 텔레 @ F a s t i c e119
아이디 변화없이 쭉갑니다 
⚠안전 최우선 ! ⚠
⏩  빠른거래 ⏩
👀대량 소량 샘플 메뉴보고가세요👀
 아이스 찬술 작대기 
엑스터시 캔디 떨액  
시원한술 케이 
브액 빙두 수면제 졸피뎀 
드라퍼 모집 https://t.co/Z8KbdrcQa4",0,0,23,,"[Photo(previewUrl='https://pbs.twimg.com/media/Fsf6eFNaIAEMGQa?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Fsf6eFNaIAEMGQa?format=jpg&name=orig', altText=None)]",Twitter Web App
2023.3.31 01:57,1.64148E+18,songmi1013,지미니또찌미니💜,,대한민국 부산,"here its warmHere the daisies 👨

7k36 #찬술 https://t.co/nyEGUbNMmp",0,0,52,['찬술'],"[Photo(previewUrl='https://pbs.twimg.com/media/Fse5hUTakAAT4d4?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Fse5hUTakAAT4d4?format=jpg&name=orig', altText=None)]",Twitter Web App
2023.3.31 01:23,1.64148E+18,Brittne70253823,FASTice,,,"🍭PINK MAYBACH🍭
🛫입고 🛬
문의 텔레 @ F a s t i c e119
아이디 변화없이 쭉갑니다   
⚠안전 최우선 ! ⚠
⏩ 빠른거래 ⏩
👀대량 소량 샘플 메뉴보고가세요👀
아이스 찬술 작대기
 엑스터시 캔디 떨액 
시원한술 케이 브액 
빙두 수면제 졸피뎀 
드라퍼 모집 https://t.co/mhDtAVoYpc",0,0,23,,"[Photo(previewUrl='https://pbs.twimg.com/media/Fsex25KaQAIXDl2?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Fsex25KaQAIXDl2?format=jpg&name=orig', altText=None)]",Twitter Web App
2023.3.30 19:54,1.64139E+18,LOVEICE124,man@@@,,,"대전에서 한잔할사람~❄️❄️❄️
깔끔하게 놀아요~❄️❄️
#DM #찬술 #아이스 #술친",4,0,613,"['DM', '찬술', '아이스', '술친']",,Twitter for Android
2023.3.30 18:27,1.64137E+18,LMouraIndonesia,Lucas Moura ,,,"▶ 오방약국 텔레그램 &gt; p i n k m a n 1 1 4 &lt; 
  
충청도하선모집  
원석케이구입  
찬술  
수면제  
파티drug  
전북케타민원석  
#작대기  
v",0,0,49,['작대기'],,Twitter Web App
2023.3.30 18:21,1.64137E+18,teamofbeau,team of beau,,,"○ 오방약국 텔레그램 &gt; p i n k m a n 1 1 4 &lt; 
  
찬술  
정글주스  
찬술  
강남포도허브  
액상떨구입방법  
강북캔디  
#부산실시간좌표 https://t.co/w4CUGmL1Wa",0,0,34,['부산실시간좌표'],"[Photo(previewUrl='https://pbs.twimg.com/media/FsdRbNqaQAAo5fL?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FsdRbNqaQAAo5fL?format=jpg&name=orig', altText=None)]",Twitter Web App
2023.3.30 14:23,1.64131E+18,Brittne70253823,FASTice,,,"문의 텔레 @ F a s t i c e119
아이디 변화없이 쭉갑니다 
⚠안전 최우선 ! ⚠
⏩  빠른거래 ⏩
👀대량 소량 샘플 메뉴보고가세요👀
 아이스 찬술 작대기 
엑스터시 캔디 떨액  
시원한술 케이 
브액 빙두 수면제 졸피뎀 
드라퍼 https://t.co/jQix4ht6jS",0,0,26,,"[Photo(previewUrl='https://pbs.twimg.com/media/FscayiHakAEH-2h?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FscayiHakAEH-2h?format=jpg&name=orig', altText=None)]",Twitter Web App
2023.3.30 09:34,1.64124E+18,Brittne70253823,FASTice,,,"🍭PINK MAYBACH🍭
🛫입고 🛬
문의 텔레 @ F a s t i c e119
아이디 변화없이 쭉갑니다   
⚠안전 최우선 ! ⚠
⏩ 빠른거래 ⏩
👀대량 소량 샘플 메뉴보고가세요👀
아이스 찬술 작대기
 엑스터시 캔디 떨액 
시원한술 케이 브액 
빙두 수면제 졸피뎀 
드라퍼 모집 https://t.co/ePW2X48zlE",0,0,34,,"[Photo(previewUrl='https://pbs.twimg.com/media/FsbYur7agAEgshG?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FsbYur7agAEgshG?format=jpg&name=orig', altText=None)]",Twitter Web App
2023.3.30 04:20,1.64116E+18,yhnamislang,사칭조심 랏슈구매 충북최음제(케미컬),,philippine,"☞ ㅌㄹㄱㄹ 24시상담 &gt;&gt; p i n k m a n 1 1 4 &lt;&lt; 
  
충청도대마  
찬술효과  
브액도매  
케이원석사는곳  
우유주사  
경남드랍퍼구인  
  
#하이드로몰핀팔아요 https://t.co/6kwvmShSSA",0,0,53,['하이드로몰핀팔아요'],"[Photo(previewUrl='https://pbs.twimg.com/media/FsaQvI9aMAAg9Ad?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FsaQvI9aMAAg9Ad?format=jpg&name=orig', altText=None)]",Twitter Web App
2023.3.30 02:59,1.64114E+18,RafiieTs,케이 창원케이 허브구입방법(찬술),,,"♠ ㅌㄹㄱㄹ 24시상담 &gt;&gt; p i n k m a n 1 1 4 &lt;&lt; 
  
용인드라퍼모집  
몰리  
강서우유주사  
버드후기  
마취제  
전라도밀크케타민  
  
#콕사는방법 https://t.co/5OssqQljKV",0,0,147,['콕사는방법'],"[Photo(previewUrl='https://pbs.twimg.com/media/FsZ-XqVaYAAhCvM?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FsZ-XqVaYAAhCvM?format=jpg&name=orig', altText=None)]",Twitter Web App
