date,id,user.username,user.displayname,place,user.location,content,likeCount,retweetCount,viewCount,hashtags,media,sourceLabel
2023-02-13 19:25:04+00:00,1625214490529894400,ianaguirrehita,ianaguirrehita,,,"#떨구매처  
♠ 제시핑크맨 ㅌㄹㄱㄹ &lt;&lt; p i n k m a n 114&gt;&gt; 
  
뽕판매합니다  
  
짝대기  
  
하이드로몰핀  
  
충청도대마  
  
북한산아이스판매처  
  
도리도리구매하는법 https://t.co/l9fV41NVKr",0,0,41,['떨구매처'],"[Photo(previewUrl='https://pbs.twimg.com/media/Fo3r78JaUAUgKLc?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Fo3r78JaUAUgKLc?format=jpg&name=orig', altText=None)]",Twitter Web App
2023-02-17 21:52:03+00:00,1626701033958440961,asepmiftahul75,텔레채널 p 텔레 p인증업자 경북안원석케이판매합니다 진통제구매방법 창원마약 엑스터창원하이드,,Bogor,"♧ 문의주세요 텔레 id pinkman114 
  
▶ 1시간이내 좌표발급, 분실사고0% 
케타민원석구하는곳  
엑시터시구입  
충북북한산아이스  
크리스탈  
허브액상구입방법  
졸피뎀구매하는법  
  
#뽕사는방법 https://t.co/XLT47JhD6t",0,0,21,['뽕사는방법'],"[Photo(previewUrl='https://pbs.twimg.com/media/FpMz4YRakAAM_Kh?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FpMz4YRakAAM_Kh?format=jpg&name=orig', altText=None)]",Twitter Web App
2023-02-20 15:26:33+00:00,1627691181844107266,kotedanpantat,,,,@kotedanpantat's account is temporarily unavailable because it violates the Twitter Media Policy. Learn more.,0,0,70,,,Twitter Web App
2023-02-25 13:39:09+00:00,1629476093966311427,userpc456,userpc456,,,"#마약구매하는법  
☏ ㅌㄹㄱㄹ : p i n k m a n 1 1 4 
  
환각제  
경남엑스터시  
대구케타민원석  
경기도케타민원석  
얼음술도매  
울산북한산아이스 https://t.co/NWM749bbFn",0,0,40,['마약구매하는법'],"[Photo(previewUrl='https://pbs.twimg.com/media/Fp0P034aUAAfgZO?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Fp0P034aUAAfgZO?format=jpg&name=orig', altText=None)]",Twitter Web App
2023-02-25 13:44:35+00:00,1629477462420889600,lcuambot,lloyd cuambot,,,"#떨  
○ ㅌㄹㄱㄹ : p i n k m a n 1 1 4 
  
찬술  
발정제  
북한산아이스도매  
고기  
크리스탈효과  
떨판매처 https://t.co/hbceuOBJOh",0,0,79,['떨'],"[Photo(previewUrl='https://pbs.twimg.com/media/Fp0REf1aYAATfGc?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Fp0REf1aYAATfGc?format=jpg&name=orig', altText=None)]",Twitter Web App
2023-02-25 19:33:23+00:00,1629565239036633088,BIGGRANDMAJO,jolynn adams,,,"#떨액구매처  
☏ ㅌㄹㄱㄹ : p i n k m a n 1 1 4 
  
강서액상떨  
히로뽕판매합니다  
강원도뽕아이스  
북한산아이스구입하는법  
경북마리화나  
발정제하는법 https://t.co/JEYuThMGUu",0,0,30,['떨액구매처'],"[Photo(previewUrl='https://pbs.twimg.com/media/Fp1g7mxaQAAgjgD?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Fp1g7mxaQAAgjgD?format=jpg&name=orig', altText=None)]",Twitter Web App
2023-02-27 17:30:59+00:00,1630259210247348230,Cricker756,marline Cricker,,,"♠ 텔레문의 - p i n k m a n 114 
  
#디스펜서리  
떨구매방법  
  
펜타닐  
  
콕  
  
북한산아이스구하는곳  
  
고기구매방법  
  
찬술사는곳 https://t.co/NhMwDtkP0Y",0,0,81,['디스펜서리'],"[Photo(previewUrl='https://pbs.twimg.com/media/Fp_YDHlaIAAJqxH?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Fp_YDHlaIAAJqxH?format=jpg&name=orig', altText=None)]",Twitter Web App
2023-02-27 22:22:04+00:00,1630332465830326273,Pindur45t,aleta Pindur,,,"☎ 텔레문의 - p i n k m a n 114 
  
#MDMA  
패치판매처  
  
케이밀크사는곳  
  
옥시코돈도매  
  
모르핀판매처  
  
북한산아이스하는법  
  
강남좌표딜러구함 https://t.co/dlT3TRPYLz",0,0,14,['MDMA'],"[Photo(previewUrl='https://pbs.twimg.com/media/FqAatjRaUAEMG99?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FqAatjRaUAEMG99?format=jpg&name=orig', altText=None)]",Twitter Web App
2023-02-27 22:46:02+00:00,1630338498288033792,Hamelin55n,cinda Hamelin,,,"☏ 텔레문의 - p i n k m a n 114 
  
#조인트팔아요  
물뽕하는법  
  
울산액상떨  
  
전국섹스마약  
  
충청도케타민  
  
경북북한산아이스  
  
짝대기하는방법 https://t.co/ptbWLwZ4Rb",0,0,80,['조인트팔아요'],"[Photo(previewUrl='https://pbs.twimg.com/media/FqAgLYuacAU4qjp?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FqAgLYuacAU4qjp?format=jpg&name=orig', altText=None)]",Twitter Web App
2023-02-28 00:41:56+00:00,1630367662458163200,renz_jet,raizin macalapan,,,"♠ 텔레24시상담 - p i n k m a n 114 
  
충청도드러그  
충청도북한산아이스  
울산북한산빙두  
모르핀구입하는방법  
떨액  
전라도각성제  
#전남정글주스 https://t.co/etBSEOdF93",0,0,17,['전남정글주스'],"[Photo(previewUrl='https://pbs.twimg.com/media/FqA6svWaUAAvBTP?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FqA6svWaUAAvBTP?format=jpg&name=orig', altText=None)]",Twitter Web App
