date,id,user.username,user.displayname,place,user.location,content,likeCount,retweetCount,viewCount,hashtags,media,sourceLabel
2021-01-14 15:30:53+00:00,1349740779724410881,dont_find_somae,소매,, #SaveTBH,옥시코돈이 마약성 진통제맞지,0,0,,,,Twitter for iPhone
2021-01-24 07:44:41+00:00,1353247335791226880,daleksoup1,Daleksoup-휴식,,대한민국,옥시코딘은 참고로 퍼듀에서 찍어서 판 브랜드명이고 그 옥시코딘의 기본 되는 화합물이 옥시코돈입니다.,4,0,,,,Twitter Web App
2021-01-24 09:18:54+00:00,1353271044795027456,danm00ji,단무지,,,와 옥시코돈 45알? 영원히 잠들수도 잇겟는걸,0,0,,,,Twitter for Android
2021-01-24 19:33:51+00:00,1353425804210782209,Aerycrow,Aerycrow,,눈에 박힌 사과,"바이코딘하고 펜타닐은 아예 금지시켰다고 들었는데 옥시코돈,옥시콘틴은 아직인가보네. 암튼 어떤 경우에서건 펜타닐은 손도 대지 마세요. 문자그대로 진짜 손도 대지 마시길. 사진에 나온 분량이 '중독'될 수 있는 양입니다.
저걸 사탕에 섞어 팔았다는게 어이가 없을 정도임. https://t.co/jTGdGuI4BL",11,20,,,"[Photo(previewUrl='https://pbs.twimg.com/media/EshVQATVoAA9ect?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/EshVQATVoAA9ect?format=jpg&name=orig', altText=None)]",Twitter Web App
2021-01-25 00:43:13+00:00,1353503659464617984,yeoncomi,연어(지원 종료),"Place(id='016f47142c73cfda', fullName='Seongnam-si, Republic of Korea', name='Seongnam-si', type='city', country='Republic of Korea', countryCode='KR')","Edmonton, Alberta",옥시코돈계열은.. 먹지도 받지도 맙시다..,1,1,,,,Twitter for Android
2021-02-27 04:50:34+00:00,1365524703675256836,ManyaCorb,𝚳𝚲𝜨▪︎𝐘𝚲,,,"@monsqoc 옥시코돈! 모르핀! 펜타닐! 하이드로몰핀! 버이코딘!
(대충 내가 아는 마약성 진통제 이름 주워섬기기)",0,0,,,,Twitter for Android
2021-03-07 15:56:10+00:00,1368591311498977280,titopgjhwtggnn,딸기천혜향청포도,,,"뉴 암스테르담에서는 수많은 약물 오남용 중독에 대해서도 나오는데, 의사의 약물 처방 관련해서 우연히 접한 통증 완화에 의한 약물로 인해 중독의 길을 걷게 되는 경우가 많이 나옴, 우연히 넘어져서 크게 다쳤는데 옥시코돈이란 약물을 처방해서 그 약물에 중독되버린 사람 등등.",0,0,,,,Twitter Web App
2021-03-14 06:13:55+00:00,1370981498816393217,12345SEX_N,색시,,,"@NECO_SAMA_1111 

옥시코돈 https://t.co/Gsq73oZltr",0,0,,,"[Photo(previewUrl='https://pbs.twimg.com/media/Ewa0aFOUcAAFZKH?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Ewa0aFOUcAAFZKH?format=jpg&name=orig', altText=None)]",Twitter for iPhone
2021-03-26 07:42:12+00:00,1375352369987260416,nyamantic_,냥만,,렛츠런파크부산경남,@no32_matz 옥시코돈+펜타닐 각이다,0,0,,,,Twitter for Android
2021-03-29 12:43:19+00:00,1376515312229617668,Aerycrow,Aerycrow,,눈에 박힌 사과,"https://t.co/FxeNwCbQ1M
이 타래에 나오는 약이 바로 펜타닐(을 포함해서 옥시코돈,하이드로코돈까지)임. 이 3마약성 진통제중에 가장 강력한게 펜타닐.
우리나라 의사들도 HOXY 펜타닐 제조사한테 돈처먹고 처방하고 있는건 아니겠지?",3,4,,,,Twitter Web App
2021-04-16 07:30:05+00:00,1382959467692580868,edrdmayne,학🦁,,WIN OR WOW,올리버쌤 유튭 보는데 옥시코돈이랑 펜타닐을 걍 약으로 준다니,0,0,,,,Twitter for Android
2021-04-16 07:33:54+00:00,1382960425856159745,showtime_kr,건국 백년_새로운 꿈,,"seoul, Korea","하이드로코돈, 옥시코돈, 펜타닐등이 함유된 진통제는 모두 마약성 진통제. 미국에서는 이런걸 임산부에게도 처방하는 경우.. 정말로 큰 수술 받고 일시적으로 복용하는게 아니라면 심각한 부작용 가능성.. 출산시 병원비도 미국은 어마어마.. 😱

역시, 대한민국이 쵝오 👍
https://t.co/UrXzA3psBr",1,0,,,,Twitter Web App
2021-04-19 18:52:01+00:00,1384218243976417281,tiny_wings_,그랑죠,,인터넷,"옥시콘틴을 출시해서 미국의 opioid crisis를 주도했다는 평가를 받고 있는 퍼듀 파마의 오너 새클러 패밀리에 대한 책을 쓴 저자와의 인터뷰. 딱히 인터뷰에 새로운 내용은 없는데 이슈를 정리하기 좋은 인터뷰인거 같음. 옥시코돈을 서서히 방출되게 한 서방정 옥시콘틴이 어떻게 개발되었는지,",6,7,,,,Twitter Web App
2021-04-21 08:22:40+00:00,1384784639617761280,ya0248,송경 (松徑) 소나무 숲 속에 난 작은 길.,,,"@xodmfal 진통제로 옥시코돈 복용할때 중독 될까봐
떨었음 ㅜ
다행히 중독은 됐지만",2,0,,,,Twitter Web App
2021-05-02 03:22:53+00:00,1388695463809871874,ulyssesthejoyce,娺朗朗,,somewhere in between,"알 수 없는 허리 다리 통증은 디스크로 추정되고 (닥터왈)덕분에 나흘동안 죽는 소리를 내며 침대에 몸을 맡긴 채 그렇게 보냈다. 파스를 붙이면 피부 알러지때메 가렵지만 아픔을 잠시라도 잊어 보겠다고 계속 붙이고 있고, 열심히 진통제를 먹고 있다. 지금은 좀 살만하다. 진심 옥시코돈 처방 요청",0,0,,,,Twitter for iPhone
2021-05-03 11:17:14+00:00,1389177225610612738,ulyssesthejoyce,娺朗朗,,somewhere in between,"트라마돌+아세트아미노펜으로도 부족했는데, 그래서 옥시코돈이 생각났는데, 가바펜틴을 추가하니 조금 나아지는 기분이다. 근데 졸린 건 기분 탓일까? 내가 검토하던 것들을 내가 먹고 있다.",0,0,,,,Twitter for iPhone
2021-06-14 12:06:59+00:00,1404410032268013568,Giantslovesyou,세미¹⁰,,' 중심 타자는 타점을 만들어야 한다. ',"형평성이 엉망진창이잖아ㅋㅋ 경기력 향상 목적으로 약 먹은 사람들은 10경기 30경기 정지
근데 아두치는 백패인으로 옥시코돈(마약성 진통제) 먹었다고 36경기 정지에
가지고 있기만 한 사람은 72경기ㅋㅋㅋ
앞에 롯데가 붙냐 마냐가 이렇게 큰 차이일줄은ㅋㅋ",6,44,,,,Twitter for Android
2021-06-27 13:40:16+00:00,1409144554096189447,juuuuu_uuu,주,,감자밭,옥시코돈?그거도트가마약만들던거아니엇나,0,0,,,,Twitter for iPhone
2021-07-07 02:51:57+00:00,1412605276197298180,blazecyan178,블래,,,근데 옥시코돈 - 디아제팜 - 덱스트로암페타민을 한꺼번에 먹어도 됨??? 뉴캐슬보다 약 때문에 먼저 갈 것 같은디??,0,0,,,,Twitter Web App
2021-07-20 16:54:43+00:00,1417528406816657409,luv__0_0,🍎(반동결)책상,,🍎요한성우님🍎 21.03.27~🔥,"@Johnfanim ㅋㅋㅋㅋㄱ앗 저만 그런 느낌을 받은 게 아니군요!!! 약이름 읽으실 때 더 힘주시는 것 같아요(기분탓) ''옥시코돈''은 이런느낌,,,,,,,ㅎㅎㅎㅎ",1,0,,,,Twitter for Android
2021-08-06 08:50:58+00:00,1423567261328035840,Elfi_Giants,Elfi,,,"본인이 아파서 도핑에 해당하는 특정 약을 먹어야 하면, 그 약 복용에 대해 도핑위원회에 미리 소명하고 허가받으면 됩니다.
롯데 아두치는 허리디스크로 옥시코돈 (마약성 진통제, 경기력 향상보다는 마약이라 도핑에 해당)을 사전 고지 없이 복용하여 출장 정지 처분을 받았던 전례가 있습니다.",1,32,,,,Twitter Web App
2021-08-06 08:50:58+00:00,1423567262506573834,Elfi_Giants,Elfi,,,"옥시코돈의 경우 사전 고지하고 허가받기 쉬운 종류의 약이었는데도 불구하고 선수가 하지 않았죠. 물론, 자신의 부상 상태를 쉽게 말할 수 없는 외국인 선수 신분이어서 그랬던 선택이었을 겁니다. 그래서 다들 안타까워했지만 도핑은 도핑이죠.",0,10,,,,Twitter Web App
2021-08-06 09:04:11+00:00,1423570586047979530,Giantslovesyou,세미¹⁰,,' 중심 타자는 타점을 만들어야 한다. ',도핑테스트의 한계 어쩌고 하는 저 사람도 잘 모르는 거 아닌가.. 아프다고 해서 무조건 참기만 하라는 거 아님 우리 팀에 있었던 아두치도 사전에 신고를 안해서 그렇지 옥시코돈 베이스의 마약성 진통제는 그냥 복용하면 당연히 걸리지만 사전에 사유와 함께 신고하면 복용 가능한 약물임,3,0,,,,Twitter for Android
2021-08-07 01:44:41+00:00,1423822371106918406,Schirm_Excert,쉶,,"대한민국 부산광역시/ Busan, R.O.K","아두치 씨발아!!
(크보시절 금지 약물류인 진통제 옥시코돈 의료용 사용 신고 안하고 쓰다가 걸림)",5,17,,,,Twitter for iPhone
2021-08-07 02:24:09+00:00,1423832303634030596,4A6741,일로미나티,,안전 가옥,"탄탄한 역기력파 배우진도 마음에 들고 옥시코돈을 소재로 한 것도 좋네
https://t.co/uBapVQtyh2",0,0,,,,Twitter for Android
2021-08-11 04:06:17+00:00,1425307559544516610,marevitreum,뾰,,뾰🎗#1105,저 어제 치질수술하고 환자 본인은 퇴원해서 집에서 멍때리고 있는데 (마약성 진통제 처방받은 것도 모르더라) 의사가 옥시코돈 5mg-10mg 하루 6회 복용 처방한거 보고 어이가 없어서 ㅎ,6,1,,,,Twitter for Android
2021-08-18 02:20:35+00:00,1427817671484067841,Peria1024,김에밀,,Heroes No.30,"ex) 아두치 - 옥시코돈(특정약물)이라 KADA에서 임시출전정지 안 줬음

최경철 - 스타노조롤(비특정약물)이라 KADA에서 의무적으로 출전정지 줬음

두산선수 A - 애초에 금지약물이 검출된 게 아니라서 해당사항 없음",3,6,,,,Twitter Web App
2021-08-20 16:04:40+00:00,1428749835763556361,FV__F,에프어쩌곰,,,"진통제.... ..... ...... ......
처음엔 이렇게까지 비중을 둘 생각은 없었는데
계획은 깨지라고있는거더군요
아마 바이코딘-옥시코돈-펜타닐 레벨의 마약성 진통제였던 것 같고...........네
진통제중독이네요",7,0,,,,Twitter for Android
2021-08-25 09:10:28+00:00,1430457538139496451,tiny_wings_,그랑죠,,인터넷,@seongjaelee 오 말로만듣던 옥시코돈 뭐 그런건가요,1,0,,,,Tweetbot for Mac
2021-08-25 09:19:46+00:00,1430459879018274820,seongjaelee,Seongjae Lee,,,@tiny_wings_ 옥시코돈인지 바이카딘인지 여튼 그쪽 계통이었던 거 같아요.,2,0,,,,Twitter for iPhone
2021-08-25 09:59:10+00:00,1430469794172530692,operationoxygen,GG🌱,,대한민국,"@tiny_wings_ @seongjaelee 헉 저요 저요..
미국 간 첫 해에, 사랑니 4개를 전신마취후 한번에 다 뽑았는데,
그뒤 그 옥시코돈 계열 진통제를 먹고 연구실에 앉아있는데, 갑자기 오한이 심하게 오고 얼굴이 창백해지고..동료들이 너 그거 먹었으면 집에가야 한다고 해서, 집에 오는 길에 마트 들어갔는데, 그 뒤로 저는 기억이",1,0,,,,Twitter Web App
2021-08-25 12:03:46+00:00,1430501152291008521,nobody_indepth,Nobody,,,@seongjaelee @operationoxygen @tiny_wings_ 저기 옥시코돈*을 .... 직업병이라고 봐주세요 ㅠㅠ,1,0,,,,Twitter Web App
2021-08-25 12:07:04+00:00,1430501982926561281,tiny_wings_,그랑죠,,인터넷,@seongjaelee @nobody_indepth @operationoxygen 헉 그러게요 위산역류에 옥시코돈이라 ㄷㄷ 전 걍 아무데서나 파는 펩시드 (..) 잘 듣던데 이정도로 해결될게 아니셔서 병원을 가셨던 거겠죠 ㄷㄷ,0,0,,,,Tweetbot for Mac
2021-08-25 12:27:05+00:00,1430507020122161152,tiny_wings_,그랑죠,,인터넷,@seongjaelee @nobody_indepth @operationoxygen 세상에 감기에 옥시코돈! 짱인데요?... (물론 안좋은 의미로..),0,0,,,,Tweetbot for Mac
2021-09-08 06:18:41+00:00,1435487737528815618,hoi0519,김징징¹⁰,,,코데인 옥시코돈은 마약이 아니냐,0,0,,,,Twitter for Android
2021-09-09 05:10:07+00:00,1435832869000077312,rikanuna0102,리카대표,,지금은 일본,"오피/오이도의존증은 미국의 큰 사회문제에서, 의료현장에서도 통감합니다. 요즘은, 나돌고 있는 헤로인이나 옥시 코돈에 강력한 펜타닐이 섞어져 있는 것이 있어, 알아차리지 않고 과잉섭취 해서 돌아가시는 분이 급증하고 있습니다. 꼭 조심해 주세요. 
https://t.co/VdGtyc6qyh",0,0,,,,Twitter for iPad
