date,id,user.username,user.displayname,place,user.location,content,likeCount,retweetCount,viewCount,hashtags,media,sourceLabel
2023-03-30 20:25:43+00:00,1641537209743605760,E_RUMMDA,이룸,,벤티최애 || 탐카베 / 사이나리 / 종려소 좌우고정,"사이나리로 타이나리 플레이 영상에서 지가 환각버섯 먹고 잠깐 기절?햇잖아.. 막 환각보고... 그거 뇌절 치고싶다

독특하게 생긴 버섯봤는데 난생 처음보는 거라 잠시 고민하는 타이나리...
독이 있을 것 같진 않은데 묘하게 자꾸 끌리게 생김

또 고민하다 결국 주섬주섬 자리를 잡고",2,0,259.0,,,Twitter for Android
2023-03-30 12:28:59+00:00,1641417233539923973,d06df4c4cc,남덕우,,,"╓══Ｋạ톡 🆔══╖

#엑스터ㅅㅣ 

환각버섯 구매

전신 수면 마취제 에토미데이트 주사

╙══Knocc══╜

휴대폰 육덕성애자 일탈계 편의점",0,0,46.0,['엑스터ㅅㅣ'],,Twitter Web App
2023-03-30 10:03:49+00:00,1641380701928030208,teamofbeau,team of beau,,,"▶ 오방약국 텔레그램 &gt; p i n k m a n 1 1 4 &lt; 
  
사탕  
서울대마  
섹스마약구매방법  
케타민원석  
환각버섯사는방법  
케이캔디  
#수면보조제 https://t.co/ij6JB0aoeZ",0,0,132.0,['수면보조제'],"[Photo(previewUrl='https://pbs.twimg.com/media/FsdbBVzaQAIkZTR?format=png&name=small', fullUrl='https://pbs.twimg.com/media/FsdbBVzaQAIkZTR?format=png&name=orig', altText=None)]",Twitter Web App
2023-03-30 09:41:04+00:00,1641374978909290496,Jhenbatar,Jhen batar,,,"★ 오방약국 텔레그램 &gt; p i n k m a n 1 1 4 &lt; 
  
강북합성떨  
환각버섯사는곳  
전라도뽕아이스  
MDMA구매처  
부산마약  
케타민밀크  
#작대기구매방법 https://t.co/ZkXokyySqV",0,0,115.0,['작대기구매방법'],"[Photo(previewUrl='https://pbs.twimg.com/media/FsdV0vvaYAIjfr9?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FsdV0vvaYAIjfr9?format=jpg&name=orig', altText=None)]",Twitter Web App
2023-03-30 08:13:45+00:00,1641353003738484736,asdcv5e8cvo,김다인,,,"예약⋟－Аҳŗịṅḡ－⋞

환각버섯 팝니다

#벤조ㄷㅣ아ㅈㅔ핀

에토미데이트 팝니다

강원도 강원  오늘🌙밤 도착",0,0,33.0,['벤조ㄷㅣ아ㅈㅔ핀'],,Twitter Web App
2023-03-30 07:36:25+00:00,1641343606316470275,eh6cxccc10,박은향,,,"예약⋟－Аҳŗịṅḡ－⋞

Rush Poppers 구매 

#환각버섯

수면보조제 판매

충남  아산  오늘🌙밤 도착",0,0,22.0,['환각버섯'],,Twitter Web App
2023-03-29 17:50:14+00:00,1641135690871341056,sjhseojoo1587,강남엘에스디 부산뽕아이스 케이(전국하선구함),,,"♠ ㅌㄹㄱㄹ 24시상담 &gt;&gt; p i n k m a n 1 1 4 &lt;&lt; 
  
환각버섯  
대구우유주사  
충북떨액  
클럽파티  
전남엑시터시  
엑스터시  
  
#부산드랍퍼 https://t.co/BfnmMsFLRg",0,0,56.0,['부산드랍퍼'],"[Photo(previewUrl='https://pbs.twimg.com/media/FsZ8LuaaAAAeQXV?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FsZ8LuaaAAAeQXV?format=jpg&name=orig', altText=None)]",Twitter Web App
2023-03-29 15:29:44+00:00,1641100332771180550,cians123,케미컬경기도엘에스디 경상도졸피뎀 액브판매합니다(작대기아이스),,,"♥ ㅌㄹㄱㄹ 24시상담 &gt;&gt; p i n k m a n 1 1 4 &lt;&lt; 
  
환각버섯  
케이캔디사는방법  
코카인  
경상도각성제  
아이스뽕  
스틸녹스파는곳  
  
#합성떨 https://t.co/Y03aodTTWp",0,0,98.0,['합성떨'],"[Photo(previewUrl='https://pbs.twimg.com/media/FsZcCSLaYAAjg29?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FsZcCSLaYAAjg29?format=jpg&name=orig', altText=None)]",Twitter Web App
2023-03-29 14:46:12+00:00,1641089380428414976,brbrnrn,강북보안작대기아이수면보조제 몰리 울산해시시(경북히로뽕),,,"★ ㅌㄹㄱㄹ 24시상담 &gt;&gt; p i n k m a n 1 1 4 &lt;&lt; 
  
충남보안드랍  
보안드랍  
환각버섯  
엑시터시  
경상도하선모집  
대마초  
  
#코카인구입방법 https://t.co/oaLlzKxmTs",0,0,31.0,['코카인구입방법'],"[Photo(previewUrl='https://pbs.twimg.com/media/FsZSCi4agAEAyOm?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FsZSCi4agAEAyOm?format=jpg&name=orig', altText=None)]",Twitter Web App
2023-03-29 13:55:41+00:00,1641076664074637313,Khalelpasion,밀크케이구케미컬용인성남하선모집 액상대마 합성대마구매처(고농축),,,"◈ ㅌㄹㄱㄹ 24시상담 &gt;&gt; p i n k m a n 1 1 4 &lt;&lt; 
  
헤로인하는법  
대구헤로인  
환각버섯가격  
에더블  
고퀄아이스  
작대기아이스  
  
#매직머쉬룸하는법 https://t.co/u9Zzcw5NMK",0,0,56.0,['매직머쉬룸하는법'],"[Photo(previewUrl='https://pbs.twimg.com/media/FsZGdrfaEAAcIe4?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FsZGdrfaEAAcIe4?format=jpg&name=orig', altText=None)]",Twitter Web App
