date,id,user.username,user.displayname,place,user.location,content,likeCount,retweetCount,viewCount,hashtags,media,sourceLabel
2021-01-01 13:47:08+00:00,1345003627480449030,yVyXBpy24mFZtrQ,다시 일어서자.2026년까지 100억대 부자가 된다.,,,@2chaemin1010 돼지발정제 효과없어,0,0,,,,Twitter for Android
2021-01-02 11:43:31+00:00,1345334907967401984,leaves0122,ⓥ이파리🌿,,,"얼른 새끼 낳고 우유 나오게 하려고 인간이 암소 자궁에 강제로 정액을 삽입하는 영상도 봤다. 짝짓기를 시킨다고 하더라도 별 다를 건 없다. 암소를 도망 못 가는 우리에 가둬놓고, 숫소한테 발정제를 맞춰 흥분시켜 양옆 막히고 앞으로 전진만 가능한 우리에 욱여넣어 강간하게 만든다.",39,65,,,,Twitter for iPhone
2021-01-02 19:01:29+00:00,1345445126269636610,sapok_furryer,사폭⭐️8큐티뽀짝곤듀 퓨리러,,알프스 산맥 상공의 P-12전투기,돼지발정제를 포함한 환각약물 주사,1,0,,,,Twitter for Android
2021-01-05 22:34:53+00:00,1346585992694620162,kTnoET2DNYT0mk7,독립운동은 못했어도 윤석렬퇴진집회엔 참석한다.,,,"@joongangilbo 그래서 어쩌라고?
돼지발정제를 이용해서 성폭행하겠다는 범죄모의에 참여했던 자도 대선에 나오고 사기꾼도 검찰의 비호아래 대통령을 했던 나라를 이런잣대로 막아보지 그랬냐??

음주운전사고후 운전자바꿔치기를 시도한 범법자의 애비도 당당히 뺏지달고 발광하는 꼴은 안보이냐??",0,0,,,,Twitter for Android
2021-01-06 01:46:55+00:00,1346634319100485632,Moon_J_I_BRAND,Brand 문재인,,가로수길,＂패싸움 자퇴...꿈은 여가부 장관＂ 자서전 속 비행청소년 박범계 (출처 : 중앙일보 | 네이버 뉴스) https://t.co/I7KwujPoOf  &lt;&lt; 홍준표 의원한테 돼지발정제 운운하던 대깨문들에게 박범계는 조폭양아치 아니냐? 석렬이형 운운하던 사법연수원 동긴데?? 조국수호하면 쉴드쳐줌??? #문재인,0,0,,['문재인'],,Twitter Web App
2021-01-06 03:47:49+00:00,1346664744359325696,BBIGBOO_,삒뿌,,굴다리즈 좋아합니다 최애는 이현걸,"흐읏 -&gt; ❤️
성ㄱㅣ -&gt; ㄲ추
발정ㅈㅔ-&gt; 마약",5,3,,,,Twitter for iPhone
2021-01-06 03:57:42+00:00,1346667230285627393,prayformaria_,뽀마,,불최유속,"성기-&gt;ㄲ추
발정제-&gt;마약
흐읏-&gt;❤️
레즈비언~&gt;삭제함",22,17,,,,Twitter for iPhone
2021-01-06 04:18:00+00:00,1346672341300887553,Taae0107,타애,,,"성기는 그냥 신체부위인데 ㄲ추는 뭔가 천박하고 작아보이고, 발정제는 쟤가 발정났나 하는 뜻인데 마약은 마약 먹으면 딸친다는 말이라 더 이상하고, 흐읏은 그냥 신음소리인데 ❤는 감정 담은 것 같잖아ㅋㅋㅋ",4,1,,,,Twitter for Android
2021-01-06 07:37:18+00:00,1346722497366921217,nana_ccorn,◠‿◠(내가웃고잇나요),,,홯혆진 씨발 너는 인간발정제 정력착즙기 고추폭격기,1,0,,,,Twitter for Android
2021-01-07 00:56:59+00:00,1346984141028425730,asdq8945105,오늘도 한 잔,,,"홍준표는 자서전에 돼지 발정제를 친구에게 주었었다는 걸 고백해서 홍발정이란 별명을 얻었는 데,
이번엔 박벙개가 자서전에 고교시절 패싸움을 해서 학교를 자퇴했었다고 해서 벙개일진이란 별명을 얻었다.
자서전이란 게 자신의 과거를 솔직하게 기술하는 거라지만 그런 사소한 것까지 써야 했을까?",0,0,,,,Twitter for Android
