date,id,user.username,user.displayname,place,user.location,content,likeCount,retweetCount,viewCount,hashtags,media,sourceLabel
2021-01-01 13:54:46+00:00,1345005547410444289,zatboong,자퉁,,※RT끄기 추천※,요즘 단모 스킨딥전 의신이가 살인사건에대해얘기할때 시종일관 생글거리는거 귀여움.. 의신이 화낼때까지만해도 다 우리를위한일이었다고 입꼬리 끌어올리다가 의신이 울때부터 갑자기 당황하고 안절부절하는거 너무귀여움 의신의 눈물에 약한고양이야,9,0,,,,Twitter Web App
2021-01-02 13:27:07+00:00,1345360979027058688,neosilly1,내 관할 아님,,,"@zes_tory @sldn1206 보드카!! 감자에서 흘러내린 신의 눈물 올시다!
숙취없는 음료, 보드카!",0,0,,,,Twitter for Android
2021-01-03 10:00:21+00:00,1345671332491481089,hodu232,❄아루💊,,토끼본하 챠님 / 보고 싶어서 그래 보고 싶어서,@chocosora_pang 알지만... 생생한 그느낌이.... 서로 기대앉아서 웃는 모습이 햇살같고 의신의 눈물이 끝없이 떨어진거밖에 그리고 조몀렬 캐해 넘 어려워욤ㅜ,0,0,,,,Twitter for Android
2021-01-09 02:18:36+00:00,1347729455398088704,Mariana47241037,텔레그램 candys1004,,,"신의눈물 사끼 레드불

엘
차가운술소량입고
엑스터시구입
캐너비스
위드정품

지방권도 가능!! https://t.co/MO4UlvQ31M",0,0,,,"[Photo(previewUrl='https://pbs.twimg.com/media/ErQYx1JUcAAnH7c?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/ErQYx1JUcAAnH7c?format=jpg&name=orig', altText=None)]",Twitter Web App
2021-01-10 16:17:11+00:00,1348302878604083202,newyear_0shin,송구영신,,,"얇은 저고리로 눈이 닿였다 녹았다. 작은 영신이 몸을 덜덜 떨려온다. 숨을 쉬고 뱉을 때마다 하얀 입김이 부서진다. 아직 3리도 채 못갔는데 다리가 휘청거렸지만 다시 한발자국을 내딛는다. 해가 서서히 밝아오고 있었다. 그제야 깨닳았다.
""내가 나리를.. 연모했구나""
영신의 눈물이 툭툭 떨어진다.",12,1,,,,Twitter for Android
2021-01-13 06:38:09+00:00,1349244325712916481,Pud_commu,류 딩푸ㅣ본계로 감,,La Strada,"@Noel43659721 흰사슴하니까 모노노케히메의 그 사슴 생각나는군요...
어휴 아무튼 노엘 보석 끝판왕 손에 넣은 자는 그 빛에 홀려서 저주받게 된다는 치명적인 아름다움의 소유자 
기꺼이 구둣발을 핥게 하고 더러운 손으로 마저 탐하고 싶게 만드는 천상의 뷰티 신의 눈물 뭐 그런 거죠",0,0,,,,Twitter Web App
2021-01-13 16:37:05+00:00,1349395051059634177,newyear_0shin,송구영신,,,"애련정에 영신을 앉힌 창이 영신의 눈물 젖은 뺨을 어루만진다.
""이 조그만 머리엔 꾀가 그득하더니 눈망울엔 눈물이 그득하구나. 울지말거라""
창이 영신을 다독이며 영신의 손을 꼭 잡는다. 해원조씨의 적장자가 진정으로 연모한 이 천한 음인이 그의 가장 치명적인 약점이니 내가 가지고 있어야겠군.",7,0,,,,Twitter for Android
2021-01-16 06:07:57+00:00,1350323890602405888,newyear_0shin,송구영신,,,"영신의 눈물을 닦아주려는 듯 손을 뻗었다가 차마 만지지 못하고 영신의 머리에 붙은 티끌을 때준다. 범일이 몇발자국 뒤로 물러나자 영신이 범일의 옷을 잡았다.
""김내관, 영신일 처소로 데려가거라""
""네, 저하""
내관이 영신에게 다가오고. 영신이 그 손을 뿌리친다.
""저하의 명일세. 어서 따라오게""",5,0,,,,Twitter for Android
2021-01-21 16:20:07+00:00,1352289885504225280,MeganHouchens2,텔레그램 tkwk21,,,"문아이스 문의주세요
고급북술 확보

액상떨구입처
케타민
찬술
신의눈물

디엠티 캔디구매 고기정품 암페타민",0,0,,,,Twitter Web App
2021-01-25 13:40:51+00:00,1353699356478586880,starlove_1ight,☔빛🌈,,내가 사랑한 순간들로 나는 집을 짓고🔮,신의눈물 미칠듯,0,0,,,,Twitter for Android
2021-02-06 14:22:20+00:00,1358058451130191876,swamp_sung4,성사,,DO NOT REPOST OR USE  MY ART ,몽님 말 듣고 마약 신의 눈물 검색해ㅂ느ㅏㅆ다가 틔터에 진짜 마약 판매글보고 당황함,0,0,,,,Twitter for Android
2021-02-07 06:00:41+00:00,1358294593708544001,winter__bot,윈터,,P @isnxuns H @tree__197,나의 죄는 신의 눈물만이 씻길 수 있으리니...,0,0,,,,Cubi.so
2021-02-07 14:22:06+00:00,1358420778526511105,bobbobbob_0126,바바밥,,,"2021.02.07 배니싱 밤공

- 오늘의 햇빛맆은 피땀눈물이었다.
쿨럭 할때마다 뿜어내는 윱케이의 피🩸
그를 끌어안고 후두두둑 떨어지는 규의신의 땀💦 그리고... 고맙고 미안하다고 말하는 케이를 바라보며 주룩 주룩 흘러내리는 규의신의 눈물😭 함께 가자는 말에 또로록 흘러내리던 윱케이의 눈물😢 https://t.co/wmCT31FT8B",0,0,,,"[Photo(previewUrl='https://pbs.twimg.com/media/EtoUfFzUYAAcdKV?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/EtoUfFzUYAAcdKV?format=jpg&name=orig', altText=None)]",Twitter for Android
