date,id,user.username,user.displayname,place,user.location,content,likeCount,retweetCount,viewCount,hashtags,media,sourceLabel
2022-09-20 07:25:38+00:00,1572124810695815171,ariawkd,해킹당한 계정입니다,,,"⚠⚠⚠
여당 브리츠 시외버스터미널역유흥 빙두 신촌여행 
#출장서비스",0,0,,['출장서비스'],,Twitter for Android
2022-09-20 11:14:34+00:00,1572182424007872515,ariawkd,해킹당한 계정입니다,,,"⚠⚠⚠
마포여행 빙두 여성사정 후원 보빨 
#섹스",0,0,,['섹스'],,Twitter for Android
2022-09-21 14:09:31+00:00,1572588838488506370,o1x173Ax8d2dMlt,🎯,,,"#오피만남
빙두 군대 곡성콜걸 스릴 남원시 
https://t.co/4JCOktet0O",0,0,,['오피만남'],,Twitter for Android
2022-09-22 11:46:07+00:00,1572915139363622913,Vsundong,Seon Joo Dong,,"37.374298,126.9400083","텔 레 i c e p i c k s

❣ 아이스픽2 ♠
샘플 20만 아이스작대기

클럽캔디 빙두팜 아이스사용후기
부부만남

떨 케타민 떨느낌
 최음제 강남파티

차가운술 작대기 떨
아이스샘플20만 차가운술

#작대기 https://t.co/4S3DtN0iGM",0,0,,['작대기'],"[Photo(previewUrl='https://pbs.twimg.com/media/FdQd9xmakAAtQCq?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FdQd9xmakAAtQCq?format=jpg&name=orig', altText=None)]",Twitter Web App
2022-09-22 13:49:42+00:00,1572946239788027904,tjsc188,지원,,대구,"텔레:MooNice777

아이스샘플:20만
아이스0.5:40만
아이스1.G:70만
캔디 케이 브액 떨 액상 대마 브액 

아이스판매처 강간데이트 아이스얼음주사사용방법

떨느낌 떨구입 파티약

떨 캔디케이 아이스작대기

#작대기후기
#빙두 https://t.co/RSVGFIMQkx",0,0,,"['작대기후기', '빙두']","[Photo(previewUrl='https://pbs.twimg.com/media/FdQ6QM4aUAE7Mn4?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FdQ6QM4aUAE7Mn4?format=jpg&name=orig', altText=None)]",Twitter Web App
2022-09-23 06:06:33+00:00,1573192074404429826,swonahn,swonahn,,,"☯ 텔 레 그 램 J R i c e 1 ☯

☑아이스작대기 무한☀

인천아이스 아이스사용후기 
아이스팝니다 케이 샘플20만 떨액

허브 하이든 떨구입 

 허브 인디카 

아이스술 아이스드랍 엘에디

 엘에디 빙두

#아이스작대기
#빙두 https://t.co/FP2bTbB0wh",0,0,,"['아이스작대기', '빙두']","[Photo(previewUrl='https://pbs.twimg.com/media/FdUZ1rKVQAAGBHt?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FdUZ1rKVQAAGBHt?format=jpg&name=orig', altText=None)]",Twitter Web App
2022-09-23 06:07:36+00:00,1573192339610537985,Table_Storys,반동결 테이블 Table,,뒤앙민크,@rtrv_hoisu500 여담이지만 북한에서도 빙두 소비율이 매우 높대요,0,0,,,,Twitter for Android
2022-09-23 11:05:07+00:00,1573267208662577152,lAuwQnVa5KiRb9s,뷰,,,"↘ 텔 레 그 램 J R i c e 1 ☣

↘아이스작대기 무한☯

한작대기 김치 
아이스드랍 인디카 빙두 케이

떨 허브액상 클럽파티 

 하이든 케타민 

아이스드랍 엘에디 아이스

 아이스작대기 작대기

#작대기아이스 https://t.co/FrNT3oSztk",0,0,,['작대기아이스'],"[Video(thumbnailUrl='https://pbs.twimg.com/ext_tw_video_thumb/1573267160197369856/pu/img/OZEfiMkMAiQ9kf6E.jpg', variants=[VideoVariant(url='https://video.twimg.com/ext_tw_video/1573267160197369856/pu/vid/480x508/YOz_ADH-vhbMWxy2.mp4?tag=12', contentType='video/mp4', bitrate=950000), VideoVariant(url='https://video.twimg.com/ext_tw_video/1573267160197369856/pu/pl/OnI6zsH0n_Yaxkxt.m3u8?tag=12&container=fmp4', contentType='application/x-mpegURL', bitrate=None), VideoVariant(url='https://video.twimg.com/ext_tw_video/1573267160197369856/pu/vid/320x338/YSRf1oFwITxTWiTS.mp4?tag=12', contentType='video/mp4', bitrate=632000), VideoVariant(url='https://video.twimg.com/ext_tw_video/1573267160197369856/pu/vid/720x762/69kt3JyR_iiFWyJu.mp4?tag=12', contentType='video/mp4', bitrate=2176000)], duration=15.58, views=9, altText=None)]",Twitter Web App
2022-09-23 11:47:51+00:00,1573277964275699713,tjsc188,지원,,대구,"텔레:MooNice777

아이스샘플:20만
아이스0.5:40만
아이스1.G:70만
캔디 케이 브액 떨 액상 대마 브액 

작대기퀄리티 아이스게이 술의효능

떨가격 떨삽니다 대마

아이스팝니다 아이스작대기 브액

#샘플
#빙두 https://t.co/8nTdr0ljyH",0,0,,"['샘플', '빙두']","[Photo(previewUrl='https://pbs.twimg.com/media/FdVn8-8VUAAcloJ?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FdVn8-8VUAAcloJ?format=jpg&name=orig', altText=None)]",Twitter Web App
2022-09-25 02:13:19+00:00,1573858154726948864,FaDndDHMHGQAFED,박찬호,,,"☠ 텔 레 그 램 J R i c e 1 ♨

☀아이스작대기 무한☯

아이스술 ㅇㅇㅅ팝니다 
아이스드랍 캔디 아이스1G 하이든

최음제 클럽파티 떨후기 

 떨구입 클럽약 

차가운술 아이스팝니다 아이스드랍

 아이스팝니다 빙두

#작대기아이스 https://t.co/VE0pQbFK17",0,0,,['작대기아이스'],"[Photo(previewUrl='https://pbs.twimg.com/media/Fdd3oqnaUAAT4zu?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Fdd3oqnaUAAT4zu?format=jpg&name=orig', altText=None)]",Twitter Web App
