date,id,user.username,user.displayname,place,user.location,content,likeCount,retweetCount,viewCount,hashtags,media,sourceLabel
2023-03-30 02:09:42+00:00,1641261388768366592,DenmonicL,다벨,,리부트 월드/275 kaiser,@Renyu_New 사진이 몰리기 전에 서울 한복판에 거대 괴수가 출현했다고 방송국 카메라가 몰리지 않을까? ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0,0,14.0,,,Twitter for Android
2023-03-28 23:00:30+00:00,1640851384512958464,redgari1,Secret Agent,,6F,"&gt;매일경제가 명동과 강남 등을 둘러본 결과 서울 시내 주요 상권들이 조금씩, 그러나 뚜렷이 활기를 되찾아가는 모양새인 것으로 나타나. 가게마다 차이는 있지만 매출도 코로나19 이전의 80% 수준까지 회복세를 보이고 있고, 강남 상권에선 MZ세대들이 몰리며 코로나19 이전보다도 오히려 매출이",0,0,198.0,,,Twitter for Android
2023-03-27 23:37:39+00:00,1640498345637740545,sldn1206,잔혹짐승형 담륜,,국제부두연맹,"@1_djr123 @MostTrollist 아 그런 계층들에 대한 얘기입니다 ㅋㅋ 서울에 집이 있고, 부모를 부양하기는 커녕 용돈도 가끔 받으며, 생활비용 다수를 집안에 외주줄 수 있는 분들은 200은 커녕 170을 준다 해도 몰리거든요 ㅋㅋ",0,0,316.0,,,Twitter for Android
2023-03-26 12:26:32+00:00,1639967068832534528,Onhwa_0876,이온화,,우주,하 서울중심사회 이러니까 사람들이 수도권에만 몰리지,0,0,163.0,,,Twitter for Android
2023-03-22 12:56:24+00:00,1638525029913870336,PTGPJun,포토그래퍼 준 / 4코스트릿 토,,,@rurabada1 경기권까지 생각해보는 중입니다.ㅠㅠ 서울은 워낙 사람이 많이 몰리네요,0,0,48.0,,,Twitter for Android
2023-03-22 02:12:18+00:00,1638362938825388034,K68922844,K그로우,,서울시 마포구 월드컵북로 56길 19(상암동 드림타워),"‘역전세난’ 청량리역 일대…집주인들, 세입자 모시기 혈안 https://t.co/IfSVVa1hsQ #k그로우 #부동산 #청량리 #입주 #역전세난 #입주폭탄 #청량리 #해링턴플레이스
[K그로우 김명호 기자] 서울 동대문구 청량리역 일대가 새 아파트 입주물량이 한꺼번에 몰리며 '역전세난' 우려가 커지고 있다...",0,0,171.0,"['k그로우', '부동산', '청량리', '입주', '역전세난', '입주폭탄', '청량리', '해링턴플레이스']",,Twitter Web App
2023-03-17 21:10:16+00:00,1636837379213496320,gomezmarvin87,Marvin Gomez,,,"♥ 텔레채널검색하세요 p i n k m a n 1 1 4 
  
마리화나파는곳  
강동신속배송  
강서안전좌표  
서울프로포폴  
창원물뽕  
몰리  
#케이구하는곳 https://t.co/NA7GN2qdbd",0,0,130.0,['케이구하는곳'],"[Photo(previewUrl='https://pbs.twimg.com/media/Frc25YCaEAAwjdN?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Frc25YCaEAAwjdN?format=jpg&name=orig', altText=None)]",Twitter Web App
2023-03-17 12:36:42+00:00,1636708132570402819,Y_nyxnox,진,,,출생률 준다고 서울에 집사는게 미친짓이라고 욕하다니 ㅋㅋ그럴수록 더 수도권에만 몰리겠지...,0,0,24.0,,,Twitter for iPhone
2023-03-16 15:13:03+00:00,1636385095245524994,ErinnBillie,Billie Erinn,,,"★ 텔레채널검색 p i n k m a n 1 1 4 0 
  
광주보안드랍  
몰리  
서울합성떨  
아이스작대기  
충남몰리  
성남드라퍼구인  
  
#대전밀크케이 https://t.co/LDFpGoqNlK",0,0,6.0,['대전밀크케이'],"[Photo(previewUrl='https://pbs.twimg.com/media/FrWbiMzaQAIPBNP?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FrWbiMzaQAIPBNP?format=jpg&name=orig', altText=None)]",Twitter Web App
2023-03-16 11:59:25+00:00,1636336364848570368,GlynisLurline,파티마광주보안딜러 펜타닐 시원한술(정글주스팔아요),,,"♧ ㅌㄹㄱㄹ문의 : p i n k m a n 1 1 4 
삥두  
짝대기  
환각버섯판매  
서울마취제  
몰리  
부산옥시코돈  
#충청도머쉬룸 https://t.co/XfdpNYDEF6",0,0,114.0,['충청도머쉬룸'],"[Photo(previewUrl='https://pbs.twimg.com/media/FrVvNvFaEAEsu8D?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FrVvNvFaEAEsu8D?format=jpg&name=orig', altText=None)]",Twitter Web App
2023-03-16 07:08:22+00:00,1636263117553545216,AnderaCandace,파티마대전남좌표딜암페타민 경기도드랍퍼구인 케이밀크구입(케타민원석),,,"● ㅌㄹㄱㄹ문의 : p i n k m a n 1 1 4 
몰리  
서울수면유도제  
북한산술  
충북드랍퍼  
정글주스구하는곳  
파퍼  
#강북크리스탈 https://t.co/AaIBzC4BQv",0,0,40.0,['강북크리스탈'],"[Photo(previewUrl='https://pbs.twimg.com/media/FrUsnZfacAAfZ1k?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FrUsnZfacAAfZ1k?format=jpg&name=orig', altText=None)]",Twitter Web App
2023-03-15 07:00:17+00:00,1635898697719640064,wawak101,BBududuK,,,"완성해보자
낮숯
미세먼지
몰리멜리
해외여행
아시아챔피언
뉴스 맛집 서울 대구 연예인트
어텐션
산스타그램
가방추천
강동원
아이들전소연 https://t.co/R9oSie0xiT",0,0,223.0,,"[Photo(previewUrl='https://pbs.twimg.com/media/FrPhMg2agAEqAsW?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FrPhMg2agAEqAsW?format=jpg&name=orig', altText=None)]",Twitter for Android
