date,id,user.username,user.displayname,place,user.location,content,likeCount,retweetCount,viewCount,hashtags,media,sourceLabel
2021-01-09 02:18:36+00:00,1.34773E+18,Mariana47241037,텔레그램 candys1004,,,"신의눈물 사끼 레드불

엘
차가운술소량입고
엑스터시구입
캐너비스
위드정품

지방권도 가능!! https://t.co/MO4UlvQ31M",0,0,,,"[Photo(previewUrl='https://pbs.twimg.com/media/ErQYx1JUcAAnH7c?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/ErQYx1JUcAAnH7c?format=jpg&name=orig', altText=None)]",Twitter Web App
2021-01-21 16:20:07+00:00,1.35229E+18,MeganHouchens2,텔레그램 tkwk21,,,"문아이스 문의주세요
고급북술 확보

액상떨구입처
케타민
찬술
신의눈물

디엠티 캔디구매 고기정품 암페타민",0,0,,,,Twitter Web App
2021-11-25 05:26:47+00:00,1.46374E+18,s618124794,❤텔＿레 친🧡＿구 맺💛＿기Αpm８８８💚💙,,,"ss than he i🌳 #환각주ㅅㅏ🎍 ♡ͣ ♡ͤ ♡ͥ ♡ͦ ♡ͧ ♡ͨ ♡ͩ ♡ͪ ♡ͫ ♡ͬ ♡ͭ ♡ͮ ♡ͯ 

s for his fil🌴 #환각ㅁㅏ약🎋 ♡ͣ ♡ͤ ♡ͥ ♡ͦ ♡ͧ ♡ͨ ♡ͩ ♡ͪ ♡ͫ ♡ͬ ♡ͭ ♡ͮ ♡ͯ

m roles, de🌱 #신의눈물🍃

 ♡ͣ ♡ͤ ♡ͥ ♡ͦ ♡ͧ ♡ͨ ♡ͩ ♡ͪ ♡ͫ ♡ͬ ♡ͭ ♡ͮ ♡ͯ 
spite havin🌿 #우유주ㅅㅏ🍂",0,0,,"['환각주ㅅㅏ', '환각ㅁㅏ약', '신의눈물', '우유주ㅅㅏ']",,Twitter Web App
2022-04-19 12:29:30+00:00,1.51639E+18,kPTODajzeSAnksd,최기영,,,"💱정량&amp;안전거래원칙♑

#아이스작대기 판매방법

♀텔레cok778🔛

암페타민 필로폰 복용🕊

♂충북채팅사이트⊥

셔츠룸💊 VS 신의눈물
~(￣▽￣)~ https://t.co/9RwjYK9MbU",0,0,,['아이스작대기'],"[Photo(previewUrl='https://pbs.twimg.com/media/FQtPsHDagAU4_6O?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FQtPsHDagAU4_6O?format=jpg&name=orig', altText=None)]",Twitter Web App
2022-10-31 05:35:03+00:00,1.58695E+18,gaulgulum,가을구름,,Seoul.Korea,"Ka↪️Kao
🆔➡️
❥Mye９❥

ఇ 환각마약 

ఒ 서울 #금천

깔*끔하고
거*짓없는
거*래

ఓ #신의눈물

ಒ 초강력 수면제",0,0,,"['금천', '신의눈물']",,Twitter Web App
2022-10-31 10:03:23+00:00,1.58702E+18,gaulgulum,가을구름,,Seoul.Korea,"Ka↪️Kao
🆔➡️
➥Mye９➥

𝄴 환각제 신의눈물

𝅋 #엑스터시 

𝅃 경기 #안양

𝇏 마약성 진통제 

깔*끔하고
거*짓없는
거*래",0,0,,"['엑스터시', '안양']",,Twitter Web App
2023-01-12 07:15:38+00:00,1.61343E+18,SeoHyun5236,환각제사는방법 신의눈물구입 캔디케이 코카인(필로폰효능),,"Gauteng, South Africa","ㅌㄹ &gt;&gt;Nezuko450&lt;&lt; ☆ 
  
후리  
작대기술구입하는법  
부산안전업체  
합성대마  
  
#광주총알좌표  
#신의눈물 https://t.co/0cz00ICK8v",0,0,295,"['광주총알좌표', '신의눈물']","[Photo(previewUrl='https://pbs.twimg.com/media/FmQSEFNaYAA557e?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FmQSEFNaYAA557e?format=jpg&name=orig', altText=None)]",Twitter Web App
2023-01-12 11:12:33+00:00,1.61349E+18,happymizimalulu,파티마약 고기판매 헤로인판매(졸피뎀효능),,Bongo TZ,"🛺상담텔레 Riven420 💎후기인증텔레 Riven_420 ▷ 
  
세종전문딜러 수면제 
신의눈물효능 옥시코돈가격 
  
#대전보안딜러  
#뽕아이스 https://t.co/GVeQcMOQMm",0,0,74,"['대전보안딜러', '뽕아이스']","[Photo(previewUrl='https://pbs.twimg.com/media/FmRIVlHaEAA8O_9?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FmRIVlHaEAA8O_9?format=jpg&name=orig', altText=None)]",Twitter Web App
2023-01-13 00:43:31+00:00,1.6137E+18,phildan02,코데인구매 짝대기판매합니다 마리화나(케이하는법),,Ur corner,"Riven420 ← 텔레 리븐 24시간 상담 ☆ 
  
신의눈물효능 대마효과 
  
하이드로몰핀하는법 1g가격 
  
#대마가격 #강동실시간좌표 https://t.co/VbxhKOxJCz",0,0,46,"['대마가격', '강동실시간좌표']","[Photo(previewUrl='https://pbs.twimg.com/media/FmUB5MAakAAlc6I?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FmUB5MAakAAlc6I?format=jpg&name=orig', altText=None)]",Twitter Web App
2023-01-13 17:28:47+00:00,1.61395E+18,MiyyCie,전남드랍퍼구인 액상대마(파퍼구매처),,Lahad Datu town,"☞ 텔 레 그 램 채널검색 &gt;&gt; Nicosi_152 
  
☞ ▣인증보안딜러📛 좌표 최대 1시간 발급🐋 
  
#합성대마팝니다 #서울총알드랍 
  
강북드라퍼  
신의눈물판매합니다  
발정제사는곳  
작대기구하는법 https://t.co/02rZZWs55Y",0,0,44,"['합성대마팝니다', '서울총알드랍']","[Photo(previewUrl='https://pbs.twimg.com/media/FmXoCQbagAA_sFA?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FmXoCQbagAA_sFA?format=jpg&name=orig', altText=None)]",Twitter Web App
2023-01-14 01:57:05+00:00,1.61408E+18,MniaEmna,케이하는법 파퍼(환각제하는방법),,,"카카오,파란나라 인증딜러 니코시채널 &lt;ㅌㄹㄱㄹ:Nicosi_152&gt; ☏ 
  
삥두효과  
보안드랍  
러쉬사는방법  
신의눈물구하는법  
#케이캔디구입하는법 #러쉬구입 #고퀄아이스구매방법 https://t.co/wpaLJnOa5z",0,0,40,"['케이캔디구입하는법', '러쉬구입', '고퀄아이스구매방법']","[Photo(previewUrl='https://pbs.twimg.com/media/FmZcYD1akAAgzXI?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FmZcYD1akAAgzXI?format=jpg&name=orig', altText=None)]",Twitter Web App
2023-01-15 00:57:35+00:00,1.61443E+18,mohamadhaffiza,인증딜러 경기도안전드랍 포도허브구입방법(브액),,,"☏ BRN70008 &lt;&lt; 텔레 인증채널 검색 
  
도파민  
아이스구매하는법  
신의눈물  
Molly구입하는방법  
#엑스터시구입방법  
#디스펜서리판매처  
#대마초판매합니다 https://t.co/yV6LlYhpNn",0,0,17,"['엑스터시구입방법', '디스펜서리판매처', '대마초판매합니다']","[Photo(previewUrl='https://pbs.twimg.com/media/FmeYW0daEAAFJlE?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FmeYW0daEAAFJlE?format=jpg&name=orig', altText=None)]",Twitter Web App
2023-01-15 05:20:36+00:00,1.61449E+18,mohamed_shaeed,T E L : NRB4545 인증딜러입니다(강원도인증딜러),,,"☞ 🍬 BRN7008텔레상담 🍬 
  
졸피뎀팔아요  
뽕아이스팝니다  
대마  
신의눈물하는법  
#진통제효과  
#고기구매방법  
#충남안전업체 https://t.co/cs1UpOqA7b",0,0,46,"['진통제효과', '고기구매방법', '충남안전업체']","[Photo(previewUrl='https://pbs.twimg.com/media/FmfUi3ragAA_xQD?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FmfUi3ragAA_xQD?format=jpg&name=orig', altText=None)]",Twitter Web App
2023-01-18 14:15:32+00:00,1.61571E+18,ritasetya37,pinkman114 텔레 검색(사탕판매처),,Jakarta,"○
pinkman114 ← 텔레 핑크맨 24시간 상담
 ♧
차원이 다른 성인약국🐳
사탕판매처
신의눈물판매합니다
진통제
옥시코돈사는곳
대구드라퍼
#수면제팔아요 https://t.co/ff9wUDWYFR",0,0,35,['수면제팔아요'],"[Photo(previewUrl='https://pbs.twimg.com/media/FmwrvGfaEAoxZss?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FmwrvGfaEAoxZss?format=jpg&name=orig', altText=None)]",Twitter Web App
2023-01-21 18:17:49+00:00,1.61686E+18,lorinnfjao,고기효과 헤로인 샘플(트라마돌하는법),,,"○ Riven_420 &lt;&lt; 텔레 채널검색 
인천 서울 품절, 서울 대구 부산 가능 ☞ 
  
밀크케타민사는방법 신의눈물구매 대마액상판매 
  
마약효과 전국신속드랍 강원도인증업자 
  
#사끼사는곳 https://t.co/APqzibMhzP",0,0,141,['사끼사는곳'],"[Photo(previewUrl='https://pbs.twimg.com/media/FnA_9XPaUAAPvet?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FnA_9XPaUAAPvet?format=jpg&name=orig', altText=None)]",Twitter Web App
